timestamp,esgScore,governanceScore,environmentScore,socialScore
1491004800,51.59,61.25,47.91,48.9
1493596800,51.59,61.25,47.91,48.9
1496275200,51.59,61.25,47.91,48.9
1498867200,51.59,61.25,47.91,48.9
1501545600,51.59,61.25,47.91,48.9
1504224000,51.59,61.25,47.91,48.9
1506816000,51.47,55.45,49.84,50.5
1509494400,51.47,55.45,49.84,50.5
1512086400,51.47,55.45,49.84,50.5
1514764800,51.47,55.45,49.84,50.5
1517443200,51.47,55.45,49.84,50.5
1519862400,51.47,55.45,49.84,50.5
1522540800,51.47,55.45,49.84,50.5
1525132800,52.22,52.85,50.64,53.57
1527811200,52.22,52.85,50.64,53.57
1530403200,52.22,52.85,50.64,53.57
1533081600,52.22,52.85,50.64,53.57
1535760000,52.22,52.85,50.64,53.57
1538352000,53.76,52.85,54.49,53.57
1541030400,53.76,52.85,54.49,53.57
1543622400,53.76,52.85,54.49,53.57
1546300800,53.76,52.85,54.49,53.57
1548979200,53.76,52.85,54.49,53.57
1551398400,52.22,52.85,50.64,53.57
1554076800,52.22,52.85,50.64,53.57
1556668800,52.22,52.85,50.64,53.57
1559347200,54.89,52.85,57.3,53.57
1561939200,54.89,52.85,57.3,53.57
1564617600,54.89,52.85,57.3,53.57
1567296000,54.89,52.85,57.3,53.57
1569888000,54.89,52.85,57.3,53.57
1572566400,54.94,53.05,57.3,53.57
1575158400,54.52,52.55,56.47,53.68
1577836800,19.52,8.96,0.91,9.64
1580515200,19.52,8.96,0.91,9.64
1583020800,19.52,8.96,0.91,9.64
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,19.35,8.8,0.91,9.64
1596240000,17.62,8.16,0.4,9.06
1598918400,,,,
1601510400,17.62,8.16,0.4,9.06
1604188800,,,,
1606780800,,,,
1609459200,17.62,8.16,0.4,9.06
1612137600,17.62,8.16,0.4,9.06
1614556800,17.62,8.16,0.4,9.06
1617235200,,,,
1619827200,17.62,8.16,0.4,9.06
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,17.89,8.43,0.4,9.06
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,17.8,8.34,0.4,9.06
1646092800,,,,
1648771200,,,,
1651363200,16.76,7.47,0.4,8.88
1654041600,,,,
1656633600,,,,
1659312000,16.4,7.11,0.4,8.88
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,16.4,7.11,0.4,8.88
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,16.67,7.39,0.4,8.88
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,13.71,5.1,0.58,8.02
1733011200,,,,
1735689600,16.53,4.88,4.1,7.54
1738368000,16.53,4.88,4.1,7.54
1740787200,16.53,4.88,4.1,7.54
1743465600,16.53,4.88,4.1,7.54
1746057600,16.53,4.88,4.1,7.54
