timestamp,esgScore,governanceScore,environmentScore,socialScore
1472688000,46.51,57.85,43.25,42.14
1475280000,46.51,57.85,43.25,42.14
1477958400,46.51,57.85,43.25,42.14
1480550400,46.51,57.85,43.25,42.14
1483228800,46.51,57.85,43.25,42.14
1485907200,46.51,57.85,43.25,42.14
1488326400,46.51,57.85,43.25,42.14
1491004800,46.51,57.85,43.25,42.14
1493596800,46.51,57.85,43.25,42.14
1496275200,46.51,57.85,43.25,42.14
1498867200,46.51,57.85,43.25,42.14
1501545600,46.51,57.85,43.25,42.14
1504224000,46.87,61.45,42.69,41.25
1506816000,47.18,58.45,44.04,42.71
1509494400,47.18,58.45,44.04,42.71
1512086400,47.18,58.45,44.04,42.71
1514764800,47.18,58.45,44.04,42.71
1517443200,47.18,58.45,44.04,42.71
1519862400,47.18,58.45,44.04,42.71
1522540800,47.18,58.45,44.04,42.71
1525132800,47.18,58.45,44.04,42.71
1527811200,47.18,58.45,44.04,42.71
1530403200,47.18,58.45,44.04,42.71
1533081600,47.18,58.45,44.04,42.71
1535760000,47.43,59.45,44.04,42.71
1538352000,47.43,59.45,44.04,42.71
1541030400,47.33,59.05,44.04,42.71
1543622400,46.73,59.05,44.04,41.0
1546300800,46.73,59.05,44.04,41.0
1548979200,46.73,59.05,44.04,41.0
1551398400,46.73,59.05,44.04,41.0
1554076800,46.73,59.05,44.04,41.0
1556668800,46.73,59.05,44.04,41.0
1559347200,46.69,58.89,44.04,41.0
1561939200,46.61,58.59,44.04,41.0
1564617600,46.61,58.59,44.04,41.0
1567296000,46.61,58.59,44.04,41.0
1569888000,46.61,58.59,44.04,41.0
1572566400,46.61,58.59,44.04,41.0
1575158400,46.18,59.79,42.0,41.24
1577836800,25.14,7.27,13.6,4.27
1580515200,32.05,7.6,9.53,14.92
1583020800,32.05,7.6,9.53,14.92
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,32.05,7.6,9.53,14.92
1596240000,32.56,8.12,9.53,14.92
1598918400,,,,
1601510400,32.56,8.12,9.53,14.92
1604188800,,,,
1606780800,,,,
1609459200,32.56,8.12,9.53,14.92
1612137600,32.56,8.12,9.53,14.92
1614556800,32.56,8.12,9.53,14.92
1617235200,,,,
1619827200,25.53,6.8,7.12,11.61
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,25.2,6.47,7.12,11.61
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,25.2,6.47,7.12,11.61
1646092800,,,,
1648771200,,,,
1651363200,25.2,6.47,7.12,11.61
1654041600,,,,
1656633600,,,,
1659312000,24.2,6.24,7.12,10.84
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,25.43,6.27,7.29,11.87
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,25.44,6.42,7.15,11.87
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,26.82,6.61,6.65,13.55
1733011200,26.82,6.61,6.65,13.55
1735689600,26.82,6.61,6.65,13.55
1738368000,26.82,6.61,6.65,13.55
1740787200,26.82,6.61,6.65,13.55
1743465600,26.82,6.61,6.65,13.55
1746057600,28.55,5.72,10.67,12.15
