timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,53.0,54.0,47.0,58.0
1412121600,53.0,54.0,47.0,58.0
1414800000,53.0,54.0,47.0,58.0
1417392000,58.0,59.0,45.0,68.0
1420070400,58.0,59.0,45.0,68.0
1422748800,58.0,59.0,45.0,68.0
1425168000,58.0,59.0,45.0,68.0
1427846400,58.0,59.0,45.0,68.0
1430438400,58.0,59.0,45.0,68.0
1433116800,58.0,59.0,45.0,68.0
1435708800,58.0,59.0,45.0,68.0
1438387200,58.0,59.0,45.0,68.0
1441065600,58.0,59.0,45.0,68.0
1443657600,58.0,59.0,45.0,68.0
1446336000,58.0,59.0,45.0,68.0
1448928000,58.0,59.0,45.0,68.0
1451606400,57.6,59.06,45.17,67.56
1454284800,58.26,57.66,45.91,69.44
1456790400,58.26,57.66,45.91,69.44
1459468800,57.29,57.66,46.63,66.39
1462060800,57.29,57.66,46.63,66.39
1464739200,57.29,57.66,46.63,66.39
1467331200,56.9,57.66,45.51,66.39
1470009600,56.9,57.66,45.51,66.39
1472688000,56.9,57.66,45.51,66.39
1475280000,56.9,57.66,45.51,66.39
1477958400,56.9,57.66,45.51,66.39
1480550400,56.9,57.66,45.51,66.39
1483228800,56.9,57.66,45.51,66.39
1485907200,57.0,57.82,45.51,66.54
1488326400,64.44,64.02,56.45,71.69
1491004800,64.44,64.02,56.45,71.69
1493596800,63.83,66.26,53.1,71.69
1496275200,63.83,66.26,53.1,71.69
1498867200,63.83,66.26,53.1,71.69
1501545600,63.77,66.26,53.1,71.54
1504224000,63.77,66.26,53.1,71.54
1506816000,62.88,64.02,51.43,72.2
1509494400,62.88,64.02,51.43,72.2
1512086400,62.84,63.86,51.43,72.2
1514764800,62.84,63.86,51.43,72.2
1517443200,62.84,63.86,51.43,72.2
1519862400,62.84,63.86,51.43,72.2
1522540800,62.84,63.86,51.43,72.2
1525132800,62.84,63.86,51.43,72.2
1527811200,62.84,63.86,51.43,72.2
1530403200,62.84,63.86,51.43,72.2
1533081600,62.84,63.86,51.43,72.2
1535760000,62.84,63.86,51.43,72.2
1538352000,62.55,63.86,50.58,72.2
1541030400,65.98,64.1,52.21,79.2
1543622400,65.68,64.1,51.36,79.2
1546300800,65.68,64.1,51.36,79.2
1548979200,65.68,64.1,51.36,79.2
1551398400,66.27,64.1,53.06,79.2
1554076800,66.27,64.1,53.06,79.2
1556668800,66.27,64.1,53.06,79.2
1559347200,66.27,64.1,53.06,79.2
1561939200,66.27,64.1,53.06,79.2
1564617600,66.27,64.1,53.06,79.2
1567296000,66.27,64.1,53.06,79.2
1569888000,68.67,64.26,58.09,80.69
1572566400,68.67,64.26,58.09,80.69
1575158400,68.02,62.9,58.85,79.25
1577836800,37.7,8.75,21.18,7.77
1580515200,37.7,8.75,21.18,7.77
1583020800,37.7,8.75,21.18,7.77
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,39.05,8.35,21.83,8.88
1596240000,39.05,8.35,21.83,8.88
1598918400,,,,
1601510400,39.23,8.37,21.98,8.88
1604188800,,,,
1606780800,,,,
1609459200,38.81,7.96,21.98,8.88
1612137600,38.81,7.96,21.98,8.88
1614556800,38.81,7.96,21.98,8.88
1617235200,,,,
1619827200,,,,
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,,,,
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,,,,
1646092800,,,,
1648771200,,,,
1651363200,,,,
1654041600,,,,
1656633600,,,,
1659312000,,,,
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,,,,
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,43.08,7.12,27.69,8.26
1730419200,43.08,7.12,27.69,8.26
1733011200,43.08,7.12,27.69,8.26
1735689600,43.08,7.12,27.69,8.26
1738368000,43.08,7.12,27.69,8.26
1740787200,39.75,7.24,23.47,9.04
1743465600,38.35,7.24,22.07,9.04
1746057600,38.35,7.24,22.07,9.04
