timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,69.0,63.0,85.0,64.0
1412121600,69.0,63.0,85.0,64.0
1414800000,69.0,63.0,85.0,64.0
1417392000,69.0,63.0,85.0,64.0
1420070400,69.0,63.0,85.0,64.0
1422748800,69.0,63.0,85.0,64.0
1425168000,69.0,63.0,84.0,64.0
1427846400,69.0,63.0,84.0,64.0
1430438400,69.0,63.0,84.0,64.0
1433116800,66.0,63.0,84.0,59.0
1435708800,66.0,63.0,84.0,59.0
1438387200,66.0,63.0,84.0,59.0
1441065600,66.0,63.0,84.0,59.0
1443657600,66.0,62.0,83.0,60.0
1446336000,66.0,62.0,83.0,60.0
1448928000,66.0,62.0,83.0,60.0
1451606400,66.25,62.36,82.6,59.77
1454284800,66.25,62.36,82.6,59.77
1456790400,66.25,62.36,82.6,59.77
1459468800,65.01,62.37,82.6,57.01
1462060800,65.01,62.37,82.6,57.01
1464739200,65.01,62.37,82.6,57.01
1467331200,65.01,62.37,82.6,57.01
1470009600,65.01,62.37,82.6,57.01
1472688000,65.01,62.37,82.6,57.01
1475280000,65.01,62.37,82.6,57.01
1477958400,64.68,62.37,82.6,56.27
1480550400,64.68,62.37,82.6,56.27
1483228800,64.68,62.37,82.6,56.27
1485907200,64.68,62.37,82.6,56.27
1488326400,65.43,64.87,82.6,56.27
1491004800,65.43,64.87,82.6,56.27
1493596800,64.93,64.87,80.6,56.27
1496275200,64.93,64.87,80.6,56.27
1498867200,64.93,64.87,80.6,56.27
1501545600,64.93,64.87,80.6,56.27
1504224000,64.93,64.87,80.6,56.27
1506816000,65.12,63.12,81.6,57.31
1509494400,65.12,63.12,81.6,57.31
1512086400,65.12,63.12,81.6,57.31
1514764800,64.76,60.62,81.0,58.51
1517443200,64.76,60.62,81.0,58.51
1519862400,64.76,60.62,81.0,58.51
1522540800,64.66,60.28,81.0,58.51
1525132800,64.66,60.28,81.0,58.51
1527811200,64.66,60.28,81.0,58.51
1530403200,64.66,60.28,81.0,58.51
1533081600,64.66,60.28,81.0,58.51
1535760000,64.66,60.28,81.0,58.51
1538352000,64.61,60.28,81.0,58.4
1541030400,64.71,60.62,81.0,58.4
1543622400,61.72,60.62,81.0,51.74
1546300800,61.72,60.62,81.0,51.74
1548979200,61.72,60.62,81.0,51.74
1551398400,62.09,60.62,82.5,51.74
1554076800,62.09,60.62,82.5,51.74
1556668800,62.09,60.62,82.5,51.74
1559347200,62.09,60.62,82.5,51.74
1561939200,62.09,60.62,82.5,51.74
1564617600,62.34,61.45,82.5,51.74
1567296000,62.34,61.45,82.5,51.74
1569888000,62.34,61.45,82.5,51.74
1572566400,62.29,61.45,82.3,51.74
1575158400,32.94,11.06,3.4,18.48
1577836800,32.94,11.06,3.4,18.48
1580515200,32.94,11.06,3.4,18.48
1583020800,32.72,10.77,3.55,18.4
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,31.74,10.31,3.37,18.06
1596240000,31.74,10.31,3.37,18.06
1598918400,,,,
1601510400,31.76,10.33,3.37,18.06
1604188800,,,,
1606780800,,,,
1609459200,31.36,9.91,3.37,18.08
1612137600,28.57,9.5,3.37,15.69
1614556800,28.57,9.5,3.37,15.69
1617235200,,,,
1619827200,29.0,9.47,3.83,15.69
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,29.01,9.47,3.83,15.71
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,28.31,9.34,3.83,15.14
1646092800,,,,
1648771200,,,,
1651363200,26.47,7.48,3.7,15.29
1654041600,,,,
1656633600,,,,
1659312000,26.74,7.48,3.7,15.56
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,23.82,7.13,3.04,13.65
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,23.67,6.72,3.23,13.72
1733011200,23.67,6.72,3.23,13.72
1735689600,23.67,6.72,3.23,13.72
1738368000,23.67,6.72,3.23,13.72
1740787200,23.67,6.72,3.23,13.72
1743465600,23.67,6.72,3.23,13.72
1746057600,20.97,4.94,2.77,13.26
