timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,55.0,62.0,59.0,47.0
1412121600,55.0,62.0,59.0,47.0
1414800000,55.0,62.0,59.0,47.0
1417392000,55.0,62.0,59.0,47.0
1420070400,64.0,66.0,74.0,51.0
1422748800,64.0,66.0,74.0,51.0
1425168000,64.0,66.0,74.0,51.0
1427846400,64.0,66.0,74.0,51.0
1430438400,64.0,66.0,74.0,51.0
1433116800,64.0,66.0,74.0,51.0
1435708800,64.0,66.0,74.0,51.0
1438387200,64.0,66.0,74.0,51.0
1441065600,64.0,66.0,74.0,51.0
1443657600,64.0,66.0,73.0,51.0
1446336000,64.0,66.0,73.0,51.0
1448928000,64.0,66.0,74.0,51.0
1451606400,63.84,65.82,73.59,51.28
1454284800,64.84,62.82,72.21,57.85
1456790400,64.84,62.82,72.21,57.85
1459468800,63.88,62.82,72.17,55.16
1462060800,63.12,59.78,72.17,55.16
1464739200,63.12,59.78,72.17,55.16
1467331200,61.59,59.78,68.35,55.16
1470009600,61.59,59.78,68.35,55.16
1472688000,61.59,59.78,68.35,55.16
1475280000,61.59,59.78,68.35,55.16
1477958400,61.59,59.78,68.35,55.16
1480550400,61.59,59.78,68.35,55.16
1483228800,61.63,59.78,68.43,55.17
1485907200,61.63,59.78,68.43,55.17
1488326400,61.63,59.78,68.43,55.17
1491004800,62.59,56.28,70.41,58.16
1493596800,61.84,56.28,69.7,56.8
1496275200,61.84,56.28,69.7,56.8
1498867200,61.84,56.28,69.7,56.8
1501545600,61.84,56.28,69.7,56.8
1504224000,61.84,56.28,69.7,56.8
1506816000,59.78,50.78,70.27,54.2
1509494400,59.78,50.78,70.27,54.2
1512086400,59.78,50.78,70.27,54.2
1514764800,59.78,50.78,70.27,54.2
1517443200,59.78,50.78,70.27,54.2
1519862400,59.78,50.78,70.27,54.2
1522540800,59.78,50.78,70.27,54.2
1525132800,59.78,50.78,70.27,54.2
1527811200,59.82,54.68,70.27,51.54
1530403200,59.82,54.68,70.27,51.54
1533081600,59.82,54.68,70.27,51.54
1535760000,59.82,54.68,70.27,51.54
1538352000,59.74,54.68,70.05,51.54
1541030400,59.44,53.48,70.05,51.54
1543622400,59.44,53.48,70.05,51.54
1546300800,59.44,53.48,70.05,51.54
1548979200,59.44,53.48,70.05,51.54
1551398400,59.58,53.48,70.41,51.54
1554076800,59.62,53.65,70.41,51.54
1556668800,59.62,53.65,70.41,51.54
1559347200,59.62,53.65,70.41,51.54
1561939200,59.62,53.65,70.41,51.54
1564617600,60.13,53.95,70.77,52.37
1567296000,60.13,53.95,70.77,52.37
1569888000,60.13,53.95,70.77,52.37
1572566400,60.13,53.95,70.77,52.37
1575158400,37.74,9.79,7.24,20.7
1577836800,37.74,9.79,7.24,20.7
1580515200,37.74,9.79,7.24,20.7
1583020800,37.74,9.79,7.24,20.7
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,37.02,9.66,7.23,20.12
1596240000,39.33,8.87,10.72,19.74
1598918400,,,,
1601510400,39.35,8.89,10.72,19.74
1604188800,,,,
1606780800,,,,
1609459200,39.35,8.89,10.72,19.74
1612137600,39.25,8.89,10.72,19.63
1614556800,39.25,8.89,10.72,19.63
1617235200,,,,
1619827200,39.12,8.89,10.59,19.63
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,34.28,8.62,7.18,18.47
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,34.28,8.62,7.18,18.47
1646092800,,,,
1648771200,,,,
1651363200,34.28,8.62,7.18,18.47
1654041600,,,,
1656633600,,,,
1659312000,34.18,8.47,7.18,18.52
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,36.17,8.06,10.43,17.69
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,28.33,6.39,10.17,11.77
1733011200,28.33,6.39,10.17,11.77
1735689600,28.33,6.39,10.17,11.77
1738368000,28.33,6.39,10.17,11.77
1740787200,28.33,6.39,10.17,11.77
1743465600,28.33,6.39,10.17,11.77
1746057600,28.33,6.39,10.17,11.77
