timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,60.0,74.0,51.0,64.0
1412121600,60.0,74.0,51.0,64.0
1414800000,60.0,74.0,51.0,64.0
1417392000,60.0,74.0,51.0,64.0
1420070400,60.0,74.0,51.0,64.0
1422748800,60.0,74.0,51.0,64.0
1425168000,58.0,74.0,46.0,64.0
1427846400,58.0,74.0,46.0,64.0
1430438400,58.0,74.0,46.0,64.0
1433116800,58.0,74.0,46.0,64.0
1435708800,58.0,74.0,46.0,64.0
1438387200,58.0,74.0,46.0,64.0
1441065600,58.0,74.0,46.0,64.0
1443657600,58.0,74.0,46.0,64.0
1446336000,58.0,74.0,46.0,64.0
1448928000,57.0,72.0,46.0,62.0
1451606400,57.37,72.35,45.88,62.12
1454284800,57.37,72.35,45.88,62.12
1456790400,57.37,72.35,45.88,62.12
1459468800,57.09,72.35,46.42,60.39
1462060800,57.09,72.35,46.42,60.39
1464739200,57.09,72.35,46.42,60.39
1467331200,57.09,72.35,46.42,60.39
1470009600,57.09,72.35,46.42,60.39
1472688000,57.09,72.35,46.42,60.39
1475280000,57.09,72.35,46.42,60.39
1477958400,57.09,72.35,46.42,60.39
1480550400,55.94,69.85,44.84,61.0
1483228800,53.24,69.85,38.85,61.0
1485907200,53.24,69.85,38.85,61.0
1488326400,53.24,69.85,38.85,61.0
1491004800,53.24,69.85,38.85,61.0
1493596800,53.24,69.85,38.85,61.0
1496275200,53.24,69.85,38.85,61.0
1498867200,53.24,69.85,38.85,61.0
1501545600,53.24,69.85,38.85,61.0
1504224000,53.28,69.85,38.85,61.14
1506816000,53.89,66.05,41.75,61.97
1509494400,53.89,66.05,41.75,61.97
1512086400,57.34,68.15,48.69,61.32
1514764800,57.34,68.15,48.69,61.32
1517443200,57.34,68.15,48.69,61.32
1519862400,57.34,68.15,48.69,61.32
1522540800,57.34,68.15,48.69,61.32
1525132800,57.34,68.15,48.69,61.32
1527811200,57.34,68.15,48.69,61.32
1530403200,57.34,68.15,48.69,61.32
1533081600,57.34,68.15,48.69,61.32
1535760000,57.3,68.15,48.69,61.19
1538352000,57.3,68.15,48.69,61.19
1541030400,57.4,68.55,48.69,61.19
1543622400,57.4,68.55,48.69,61.19
1546300800,57.4,68.55,48.69,61.19
1548979200,57.4,68.55,48.69,61.19
1551398400,57.4,68.55,48.69,61.19
1554076800,63.06,79.35,51.21,67.27
1556668800,63.06,79.35,51.21,67.27
1559347200,63.24,80.05,51.21,67.27
1561939200,63.24,80.05,51.21,67.27
1564617600,63.24,80.05,51.21,67.27
1567296000,63.24,80.05,51.21,67.27
1569888000,63.24,80.05,51.21,67.27
1572566400,63.24,80.05,51.21,67.27
1575158400,61.8,78.85,48.68,67.27
1577836800,31.95,6.44,13.77,11.75
1580515200,31.55,6.03,13.77,11.75
1583020800,31.55,6.03,13.77,11.75
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,31.55,6.03,13.77,11.75
1596240000,31.41,6.03,13.9,11.48
1598918400,,,,
1601510400,31.43,6.06,13.9,11.48
1604188800,,,,
1606780800,,,,
1609459200,35.52,5.74,17.85,11.93
1612137600,35.65,5.88,17.85,11.93
1614556800,35.65,5.88,17.85,11.93
1617235200,,,,
1619827200,35.42,5.88,17.69,11.85
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,35.42,5.88,17.69,11.85
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,25.56,5.42,10.58,9.56
1646092800,,,,
1648771200,,,,
1651363200,25.56,5.42,10.58,9.56
1654041600,,,,
1656633600,,,,
1659312000,25.56,5.42,10.58,9.56
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,25.56,5.42,10.58,9.56
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,28.73,5.14,12.92,10.67
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,24.78,3.77,11.34,9.67
1733011200,24.78,3.77,11.34,9.67
1735689600,24.78,3.77,11.34,9.67
1738368000,24.96,3.77,11.31,9.87
1740787200,24.96,3.77,11.31,9.87
1743465600,24.96,3.77,11.31,9.87
1746057600,24.96,3.77,11.31,9.87
