timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,65.0,64.0,67.0,65.0
1412121600,65.0,64.0,67.0,65.0
1414800000,65.0,64.0,67.0,65.0
1417392000,65.0,64.0,67.0,65.0
1420070400,68.0,67.0,70.0,68.0
1422748800,68.0,67.0,70.0,68.0
1425168000,68.0,67.0,69.0,68.0
1427846400,68.0,67.0,69.0,68.0
1430438400,68.0,67.0,69.0,68.0
1433116800,68.0,67.0,69.0,68.0
1435708800,68.0,67.0,69.0,68.0
1438387200,71.0,67.0,69.0,74.0
1441065600,70.0,67.0,69.0,71.0
1443657600,69.0,66.0,69.0,71.0
1446336000,69.0,66.0,69.0,71.0
1448928000,70.0,67.0,69.0,71.0
1451606400,69.52,66.59,69.16,71.38
1454284800,69.52,66.59,69.16,71.38
1456790400,69.45,66.59,69.16,71.23
1459468800,67.02,66.59,69.17,65.83
1462060800,67.02,66.59,69.17,65.83
1464739200,67.02,66.59,69.17,65.83
1467331200,66.27,66.59,66.67,65.83
1470009600,66.27,66.59,66.67,65.83
1472688000,66.27,66.59,66.67,65.83
1475280000,66.27,66.59,66.67,65.83
1477958400,64.27,58.59,66.67,65.83
1480550400,64.27,58.59,66.67,65.83
1483228800,60.92,58.59,66.67,58.38
1485907200,60.92,58.59,66.67,58.38
1488326400,60.92,58.59,66.67,58.38
1491004800,60.92,58.59,66.67,58.38
1493596800,61.17,58.59,67.5,58.38
1496275200,61.17,58.59,67.5,58.38
1498867200,61.17,58.59,67.5,58.38
1501545600,61.17,58.59,67.5,58.38
1504224000,61.17,58.59,67.5,58.38
1506816000,60.49,54.89,68.33,58.38
1509494400,60.49,54.89,68.33,58.38
1512086400,60.49,54.89,68.33,58.38
1514764800,61.02,55.29,69.17,58.77
1517443200,61.02,55.29,69.17,58.77
1519862400,61.02,55.29,69.17,58.77
1522540800,61.02,55.29,69.17,58.77
1525132800,61.02,55.29,69.17,58.77
1527811200,61.02,55.29,69.17,58.77
1530403200,61.02,55.29,69.17,58.77
1533081600,61.02,55.29,69.17,58.77
1535760000,61.02,55.29,69.17,58.77
1538352000,61.02,55.29,69.17,58.77
1541030400,61.02,55.29,69.17,58.77
1543622400,63.57,56.35,69.67,63.51
1546300800,63.57,56.35,69.67,63.51
1548979200,63.57,56.35,69.67,63.51
1551398400,63.57,56.35,69.67,63.51
1554076800,63.57,56.35,69.67,63.51
1556668800,64.77,61.15,69.67,63.51
1559347200,64.77,61.15,69.67,63.51
1561939200,64.77,61.15,69.67,63.51
1564617600,64.74,61.05,69.67,63.51
1567296000,64.74,61.05,69.67,63.51
1569888000,64.74,61.05,69.67,63.51
1572566400,64.74,61.05,69.67,63.51
1575158400,63.28,62.05,64.61,63.09
1577836800,19.17,8.5,1.02,9.65
1580515200,19.17,8.5,1.02,9.65
1583020800,19.17,8.5,1.02,9.65
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,21.67,7.83,1.04,12.81
1596240000,21.67,7.83,1.04,12.81
1598918400,,,,
1601510400,21.7,7.85,1.04,12.81
1604188800,,,,
1606780800,,,,
1609459200,21.7,7.85,1.04,12.81
1612137600,21.7,7.85,1.04,12.81
1614556800,21.7,7.85,1.04,12.81
1617235200,,,,
1619827200,17.74,6.2,1.11,10.43
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,,,,
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,17.47,5.92,1.11,10.43
1646092800,,,,
1648771200,,,,
1651363200,17.2,5.66,1.11,10.43
1654041600,,,,
1656633600,,,,
1659312000,14.38,5.63,1.11,7.64
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,14.66,5.91,1.11,7.64
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,15.19,4.43,2.75,8.01
1730419200,15.19,4.43,2.75,8.01
1733011200,15.19,4.43,2.75,8.01
1735689600,15.19,4.43,2.75,8.01
1738368000,15.34,4.58,2.75,8.01
1740787200,15.34,4.58,2.75,8.01
1743465600,15.34,4.58,2.75,8.01
1746057600,15.34,4.58,2.75,8.01
