timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,51.0,70.0,43.0,47.0
1412121600,51.0,70.0,43.0,47.0
1414800000,51.0,70.0,43.0,47.0
1417392000,51.0,70.0,43.0,47.0
1420070400,51.0,70.0,43.0,47.0
1422748800,53.0,71.0,48.0,47.0
1425168000,54.0,71.0,48.0,48.0
1427846400,54.0,71.0,48.0,48.0
1430438400,54.0,71.0,48.0,48.0
1433116800,54.0,71.0,48.0,48.0
1435708800,54.0,71.0,48.0,48.0
1438387200,54.0,71.0,48.0,48.0
1441065600,52.0,70.0,45.0,46.0
1443657600,52.0,70.0,45.0,46.0
1446336000,52.0,70.0,45.0,46.0
1448928000,52.0,70.0,45.0,46.0
1451606400,51.76,70.22,45.28,45.89
1454284800,51.76,70.22,45.28,45.89
1456790400,51.76,70.22,45.28,45.89
1459468800,50.26,70.22,45.29,42.13
1462060800,50.26,70.22,45.29,42.13
1464739200,50.26,70.22,45.29,42.13
1467331200,50.26,70.22,45.29,42.13
1470009600,50.26,70.22,45.29,42.13
1472688000,50.32,70.22,45.29,42.28
1475280000,50.32,70.22,45.29,42.28
1477958400,51.57,70.22,45.29,45.41
1480550400,51.57,70.22,45.29,45.41
1483228800,51.57,70.22,45.29,45.41
1485907200,51.57,70.22,45.29,45.41
1488326400,51.57,70.22,45.29,45.41
1491004800,51.57,70.22,45.29,45.41
1493596800,51.19,70.22,45.29,44.46
1496275200,51.19,70.22,45.29,44.46
1498867200,51.57,70.22,45.29,45.41
1501545600,49.54,70.22,40.57,44.46
1504224000,49.54,70.22,40.57,44.46
1506816000,49.47,65.82,41.43,46.29
1509494400,49.47,65.82,41.43,46.29
1512086400,49.47,65.82,41.43,46.29
1514764800,50.15,68.52,41.43,46.29
1517443200,50.15,68.52,41.43,46.29
1519862400,50.15,68.52,41.43,46.29
1522540800,50.15,68.52,41.43,46.29
1525132800,50.15,68.52,41.43,46.29
1527811200,50.15,68.52,41.43,46.29
1530403200,50.15,68.52,41.43,46.29
1533081600,50.15,68.52,41.43,46.29
1535760000,50.15,68.52,41.43,46.29
1538352000,50.15,68.52,41.43,46.29
1541030400,50.25,68.92,41.43,46.29
1543622400,49.37,65.42,41.43,46.29
1546300800,49.37,65.42,41.43,46.29
1548979200,49.37,65.42,41.43,46.29
1551398400,49.37,65.42,41.43,46.29
1554076800,49.37,65.42,41.43,46.29
1556668800,49.37,65.42,41.43,46.29
1559347200,49.37,65.42,41.43,46.29
1561939200,49.37,65.42,41.43,46.29
1564617600,49.37,65.42,41.43,46.29
1567296000,49.37,65.42,41.43,46.29
1569888000,49.37,65.42,41.43,46.29
1572566400,49.55,66.12,41.43,46.29
1575158400,48.11,65.02,38.76,45.73
1577836800,19.8,6.09,3.86,9.85
1580515200,19.52,5.82,3.86,9.85
1583020800,19.52,5.82,3.86,9.85
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,19.52,5.82,3.86,9.85
1596240000,19.52,5.82,3.86,9.85
1598918400,,,,
1601510400,19.54,5.84,3.86,9.85
1604188800,,,,
1606780800,,,,
1609459200,17.71,5.78,3.4,8.54
1612137600,17.85,5.91,3.4,8.54
1614556800,17.85,5.91,3.4,8.54
1617235200,,,,
1619827200,17.85,5.91,3.4,8.54
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,17.56,5.61,3.4,8.55
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,15.08,4.27,3.4,7.41
1646092800,,,,
1648771200,,,,
1651363200,15.08,4.27,3.4,7.41
1654041600,,,,
1656633600,,,,
1659312000,15.08,4.27,3.4,7.41
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,14.87,4.06,3.4,7.41
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,20.08,4.02,3.29,12.78
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,18.8,2.55,3.23,13.01
1730419200,18.8,2.55,3.23,13.01
1733011200,18.8,2.55,3.23,13.01
1735689600,18.8,2.55,3.23,13.01
1738368000,18.8,2.55,3.23,13.01
1740787200,17.46,1.97,3.68,11.81
1743465600,17.46,1.97,3.68,11.81
1746057600,17.69,1.97,3.74,11.99
