timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,66.0,66.0,65.0,66.0
1412121600,65.0,66.0,65.0,66.0
1414800000,66.0,66.0,65.0,66.0
1417392000,66.0,66.0,65.0,66.0
1420070400,66.0,66.0,65.0,66.0
1422748800,66.0,66.0,65.0,66.0
1425168000,65.0,66.0,64.0,66.0
1427846400,65.0,66.0,64.0,66.0
1430438400,65.0,66.0,64.0,66.0
1433116800,65.0,66.0,64.0,66.0
1435708800,65.0,66.0,64.0,66.0
1438387200,65.0,66.0,64.0,66.0
1441065600,65.0,66.0,64.0,66.0
1443657600,65.0,66.0,64.0,66.0
1446336000,65.0,66.0,64.0,66.0
1448928000,65.0,66.0,64.0,66.0
1451606400,65.79,66.79,65.0,66.0
1454284800,65.79,66.79,65.0,66.0
1456790400,65.79,66.79,65.0,66.0
1459468800,65.81,68.79,63.74,66.06
1462060800,65.81,68.79,63.74,66.06
1464739200,66.08,68.79,64.4,66.06
1467331200,66.34,68.79,65.06,66.06
1470009600,66.34,68.79,65.06,66.06
1472688000,64.74,68.79,65.06,61.47
1475280000,64.74,68.79,65.06,61.47
1477958400,64.74,68.79,65.06,61.47
1480550400,64.74,68.79,65.06,61.47
1483228800,64.74,68.79,65.06,61.47
1485907200,64.74,68.79,65.06,61.47
1488326400,64.74,68.79,65.06,61.47
1491004800,64.74,68.79,65.06,61.47
1493596800,65.0,68.79,65.72,61.47
1496275200,65.0,68.79,65.72,61.47
1498867200,65.0,68.79,65.72,61.47
1501545600,65.0,68.79,65.72,61.47
1504224000,65.0,68.79,65.72,61.47
1506816000,63.69,64.89,65.34,60.95
1509494400,65.65,66.39,62.65,68.55
1512086400,65.65,66.39,62.65,68.55
1514764800,65.65,66.39,62.65,68.55
1517443200,65.65,66.39,62.65,68.55
1519862400,65.65,66.39,62.65,68.55
1522540800,65.65,66.39,62.65,68.55
1525132800,65.69,66.55,62.65,68.55
1527811200,65.69,66.55,62.65,68.55
1530403200,65.69,66.55,62.65,68.55
1533081600,65.69,66.55,62.65,68.55
1535760000,65.69,66.55,62.65,68.55
1538352000,65.42,66.55,61.97,68.55
1541030400,68.29,67.95,63.37,74.17
1543622400,68.26,67.95,63.37,74.08
1546300800,68.26,67.95,63.37,74.08
1548979200,68.26,67.95,63.37,74.08
1551398400,68.49,67.79,64.05,74.08
1554076800,68.49,67.79,64.05,74.08
1556668800,68.49,67.79,64.05,74.08
1559347200,67.92,67.79,64.05,72.45
1561939200,67.92,67.79,64.05,72.45
1564617600,67.92,67.79,64.05,72.45
1567296000,67.92,67.79,64.05,72.45
1569888000,67.92,67.79,64.05,72.45
1572566400,68.02,68.19,64.05,72.45
1575158400,67.39,68.19,62.45,72.45
1577836800,27.71,7.9,13.12,6.68
1580515200,27.71,7.9,13.12,6.68
1583020800,27.71,7.9,13.12,6.68
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,24.76,7.3,11.68,5.79
1596240000,24.76,7.3,11.68,5.79
1598918400,,,,
1601510400,24.51,7.05,11.68,5.79
1604188800,,,,
1606780800,,,,
1609459200,24.51,7.05,11.68,5.79
1612137600,24.51,7.05,11.68,5.79
1614556800,23.81,7.05,11.42,5.34
1617235200,,,,
1619827200,24.21,7.37,11.51,5.34
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,24.66,7.81,11.51,5.34
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,24.81,7.81,11.51,5.5
1646092800,,,,
1648771200,,,,
1651363200,24.36,6.96,11.98,5.42
1654041600,,,,
1656633600,,,,
1659312000,24.36,6.96,11.98,5.42
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,24.6,7.2,11.98,5.42
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,25.27,6.59,12.84,5.85
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,24.63,4.92,13.14,6.57
1733011200,24.74,4.89,13.28,6.57
1735689600,24.74,4.89,13.28,6.57
1738368000,34.47,4.85,21.57,8.05
1740787200,34.47,4.85,21.57,8.05
1743465600,33.61,4.85,20.71,8.05
1746057600,33.61,4.85,20.71,8.05
