timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,66.0,77.0,57.0,73.0
1412121600,65.0,77.0,56.0,73.0
1414800000,66.0,77.0,57.0,73.0
1417392000,66.0,77.0,57.0,73.0
1420070400,66.0,77.0,57.0,73.0
1422748800,66.0,77.0,57.0,73.0
1425168000,65.0,77.0,56.0,69.0
1427846400,66.0,77.0,56.0,73.0
1430438400,66.0,77.0,56.0,73.0
1433116800,66.0,77.0,56.0,73.0
1435708800,66.0,77.0,56.0,73.0
1438387200,66.0,77.0,56.0,73.0
1441065600,66.0,77.0,56.0,73.0
1443657600,66.0,77.0,56.0,73.0
1446336000,66.0,77.0,56.0,73.0
1448928000,66.0,77.0,56.0,73.0
1451606400,65.2,77.11,56.86,67.78
1454284800,68.34,79.12,61.61,69.44
1456790400,66.3,79.12,57.09,69.44
1459468800,66.41,79.12,58.77,67.28
1462060800,66.41,79.12,58.77,67.28
1464739200,66.41,79.12,58.77,67.28
1467331200,66.68,79.12,59.36,67.28
1470009600,66.68,79.12,59.36,67.28
1472688000,65.92,79.12,59.36,64.75
1475280000,65.92,79.12,59.36,64.75
1477958400,65.92,79.12,59.36,64.75
1480550400,65.92,79.12,59.36,64.75
1483228800,68.06,79.12,64.12,64.75
1485907200,68.06,79.12,64.12,64.75
1488326400,68.06,79.12,64.12,64.75
1491004800,67.84,78.12,64.2,64.75
1493596800,65.96,78.12,60.01,64.75
1496275200,65.96,78.12,60.01,64.75
1498867200,65.96,78.12,60.01,64.75
1501545600,65.96,78.12,60.01,64.75
1504224000,65.96,78.12,60.01,64.75
1506816000,65.73,77.02,60.5,64.17
1509494400,65.73,77.02,60.5,64.17
1512086400,65.73,77.02,60.5,64.17
1514764800,65.73,77.02,60.5,64.17
1517443200,65.73,77.02,60.5,64.17
1519862400,65.73,77.02,60.5,64.17
1522540800,65.73,77.02,60.5,64.17
1525132800,65.73,77.02,60.5,64.17
1527811200,65.79,76.19,55.54,72.51
1530403200,65.79,76.19,55.54,72.51
1533081600,65.79,76.19,55.54,72.51
1535760000,65.64,75.59,55.54,72.51
1538352000,65.64,75.59,55.54,72.51
1541030400,65.74,75.99,55.54,72.51
1543622400,66.18,75.99,56.53,72.51
1546300800,66.18,75.99,56.53,72.51
1548979200,66.18,75.99,56.53,72.51
1551398400,66.18,75.99,56.53,72.51
1554076800,65.62,75.99,55.28,72.51
1556668800,65.18,75.99,54.29,72.51
1559347200,65.18,75.99,54.29,72.51
1561939200,65.18,75.99,54.29,72.51
1564617600,65.18,75.99,54.29,72.51
1567296000,65.18,75.99,54.29,72.51
1569888000,65.18,75.99,54.29,72.51
1572566400,66.37,75.69,57.1,72.51
1575158400,66.83,75.09,58.47,72.51
1577836800,34.77,6.33,14.84,13.6
1580515200,34.77,6.33,14.84,13.6
1583020800,34.89,6.45,14.84,13.6
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,34.89,6.45,14.84,13.6
1596240000,35.45,6.47,15.39,13.6
1598918400,,,,
1601510400,35.47,6.49,15.39,13.6
1604188800,,,,
1606780800,,,,
1609459200,35.12,6.14,15.39,13.6
1612137600,35.12,6.14,15.39,13.6
1614556800,33.48,6.32,18.69,8.48
1617235200,,,,
1619827200,33.82,6.32,19.02,8.48
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,33.54,6.52,18.54,8.48
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,30.28,6.64,16.23,7.4
1646092800,,,,
1648771200,,,,
1651363200,29.77,6.64,16.28,6.85
1654041600,,,,
1656633600,,,,
1659312000,29.8,6.64,16.31,6.85
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,29.57,6.41,16.31,6.85
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,26.67,5.32,14.04,7.3
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,24.88,4.1,13.29,7.48
1733011200,24.88,4.1,13.29,7.48
1735689600,25.02,4.25,13.29,7.48
1738368000,25.02,4.25,13.29,7.48
1740787200,25.02,4.25,13.29,7.48
1743465600,24.93,4.25,13.29,7.39
1746057600,24.93,4.25,13.29,7.39
