timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,64.0,69.0,59.0,67.0
1412121600,63.0,66.0,59.0,67.0
1414800000,63.0,66.0,59.0,67.0
1417392000,63.0,66.0,59.0,67.0
1420070400,64.0,67.0,60.0,67.0
1422748800,64.0,67.0,60.0,67.0
1425168000,63.0,67.0,59.0,67.0
1427846400,63.0,67.0,59.0,67.0
1430438400,63.0,67.0,59.0,67.0
1433116800,63.0,67.0,59.0,67.0
1435708800,63.0,67.0,59.0,67.0
1438387200,63.0,67.0,59.0,67.0
1441065600,63.0,67.0,59.0,65.0
1443657600,63.0,67.0,59.0,65.0
1446336000,61.0,67.0,56.0,65.0
1448928000,61.0,67.0,56.0,65.0
1451606400,58.52,71.05,54.75,53.75
1454284800,56.67,67.05,53.41,52.91
1456790400,57.67,71.05,53.41,52.91
1459468800,56.67,71.05,53.42,49.56
1462060800,56.67,71.05,53.42,49.56
1464739200,56.67,71.05,53.42,49.56
1467331200,56.67,71.05,53.42,49.56
1470009600,56.67,71.05,53.42,49.56
1472688000,56.67,71.05,53.42,49.56
1475280000,56.67,71.05,53.42,49.56
1477958400,56.67,71.05,53.42,49.56
1480550400,56.67,71.05,53.42,49.56
1483228800,57.97,72.88,56.86,47.2
1485907200,56.17,72.88,52.86,47.2
1488326400,56.17,72.88,52.86,47.2
1491004800,56.17,72.88,52.86,47.2
1493596800,56.17,72.88,52.86,47.2
1496275200,56.17,72.88,52.86,47.2
1498867200,56.17,72.88,52.86,47.2
1501545600,56.77,72.88,52.86,49.19
1504224000,56.77,72.88,52.86,49.19
1506816000,54.43,69.88,47.46,52.01
1509494400,61.83,69.78,55.95,64.04
1512086400,61.83,69.78,55.95,64.03
1514764800,61.77,69.78,55.82,64.03
1517443200,61.77,69.78,55.82,64.03
1519862400,61.77,69.78,55.82,64.03
1522540800,61.77,69.78,55.82,64.03
1525132800,61.77,69.78,55.82,64.03
1527811200,61.77,69.78,55.82,64.03
1530403200,62.9,69.78,55.82,67.79
1533081600,62.9,69.78,55.82,67.79
1535760000,62.9,69.78,55.82,67.79
1538352000,63.18,71.78,55.99,66.79
1541030400,63.08,71.38,55.99,66.79
1543622400,63.18,71.78,55.99,66.79
1546300800,63.18,71.78,55.99,66.79
1548979200,65.47,75.78,57.79,68.42
1551398400,65.47,75.78,57.79,68.42
1554076800,65.47,75.78,57.79,68.42
1556668800,65.47,75.78,57.79,68.42
1559347200,65.47,75.78,57.79,68.42
1561939200,65.47,75.78,57.79,68.42
1564617600,65.47,75.78,57.79,68.42
1567296000,65.76,75.78,54.82,73.8
1569888000,65.73,75.78,54.76,73.8
1572566400,65.95,76.68,54.76,73.8
1575158400,30.87,8.56,10.14,12.18
1577836800,30.87,8.56,10.14,12.18
1580515200,30.87,8.56,10.14,12.18
1583020800,30.87,8.56,10.14,12.18
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,31.25,8.94,10.14,12.18
1596240000,31.25,8.94,10.14,12.18
1598918400,,,,
1601510400,29.74,8.56,10.14,11.04
1604188800,,,,
1606780800,,,,
1609459200,30.57,7.94,9.95,12.68
1612137600,30.57,7.94,9.95,12.68
1614556800,30.57,7.94,9.95,12.68
1617235200,,,,
1619827200,30.71,7.94,10.09,12.68
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,30.51,7.67,10.28,12.56
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,30.89,7.69,10.28,12.92
1646092800,,,,
1648771200,,,,
1651363200,30.89,7.69,10.28,12.92
1654041600,,,,
1656633600,,,,
1659312000,30.89,7.69,10.28,12.92
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,28.5,7.19,9.83,11.48
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,27.02,4.75,8.2,14.07
1733011200,27.02,4.75,8.2,14.07
1735689600,27.02,4.75,8.2,14.07
1738368000,27.02,4.75,8.2,14.07
1740787200,27.02,4.75,8.2,14.07
1743465600,27.02,4.75,8.2,14.07
1746057600,27.6,5.33,8.2,14.07
