timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,59.0,53.0,74.0,52.0
1412121600,59.0,53.0,74.0,52.0
1414800000,59.0,53.0,74.0,52.0
1417392000,63.0,55.0,73.0,60.0
1420070400,63.0,55.0,73.0,60.0
1422748800,63.0,55.0,73.0,60.0
1425168000,62.0,55.0,75.0,57.0
1427846400,62.0,55.0,75.0,57.0
1430438400,62.0,55.0,75.0,57.0
1433116800,62.0,55.0,75.0,57.0
1435708800,62.0,55.0,75.0,57.0
1438387200,62.0,55.0,75.0,57.0
1441065600,63.0,55.0,75.0,58.0
1443657600,62.0,52.0,75.0,58.0
1446336000,62.0,52.0,75.0,58.0
1448928000,63.0,52.0,76.0,62.0
1451606400,66.78,51.49,76.16,69.01
1454284800,66.78,51.49,76.16,69.01
1456790400,66.78,51.49,76.16,69.01
1459468800,65.16,51.49,77.0,64.86
1462060800,65.16,51.49,77.0,64.86
1464739200,64.66,51.49,75.33,64.86
1467331200,64.16,51.49,73.67,64.86
1470009600,64.16,51.49,73.67,64.86
1472688000,64.16,51.49,73.67,64.86
1475280000,64.16,51.49,73.67,64.86
1477958400,62.83,51.49,73.67,61.91
1480550400,62.83,51.49,73.67,61.91
1483228800,63.38,51.19,73.67,63.3
1485907200,63.38,51.19,73.67,63.3
1488326400,63.38,51.19,73.67,63.3
1491004800,64.13,52.19,75.33,63.3
1493596800,63.38,52.19,72.83,63.3
1496275200,63.38,52.19,72.83,63.3
1498867200,63.38,52.19,72.83,63.3
1501545600,62.79,52.19,72.83,61.98
1504224000,62.79,52.19,72.83,61.98
1506816000,63.37,47.19,73.0,65.93
1509494400,63.37,47.19,73.0,65.93
1512086400,63.37,47.19,73.0,65.93
1514764800,63.37,47.19,73.0,65.93
1517443200,63.37,47.19,73.0,65.93
1519862400,63.37,47.19,73.0,65.93
1522540800,63.05,44.19,75.5,65.22
1525132800,63.05,44.19,75.5,65.22
1527811200,63.05,44.19,75.5,65.22
1530403200,63.05,44.19,75.5,65.22
1533081600,63.05,44.19,75.5,65.22
1535760000,63.05,44.19,75.5,65.22
1538352000,63.05,44.19,75.5,65.22
1541030400,62.75,42.99,75.5,65.22
1543622400,62.75,42.99,75.5,65.22
1546300800,62.75,42.99,75.5,65.22
1548979200,62.75,42.99,75.5,65.22
1551398400,63.0,42.99,76.33,65.22
1554076800,63.61,42.99,76.33,66.59
1556668800,63.61,42.99,76.33,66.59
1559347200,63.61,42.99,76.33,66.59
1561939200,63.61,42.99,76.33,66.59
1564617600,63.61,42.99,76.33,66.59
1567296000,63.67,42.99,76.33,66.72
1569888000,63.67,42.99,76.33,66.72
1572566400,64.05,44.49,76.33,66.72
1575158400,29.62,13.11,0.9,15.61
1577836800,29.62,12.83,0.9,15.89
1580515200,29.62,12.83,0.9,15.89
1583020800,29.62,12.83,0.9,15.89
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,29.62,12.83,0.9,15.89
1596240000,29.62,12.83,0.9,15.89
1598918400,,,,
1601510400,22.85,12.49,0.48,9.87
1604188800,,,,
1606780800,,,,
1609459200,22.85,12.49,0.48,9.87
1612137600,22.85,12.49,0.48,9.87
1614556800,22.29,11.94,0.48,9.87
1617235200,,,,
1619827200,22.29,11.9,0.48,9.91
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,22.89,11.62,0.48,10.79
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,22.89,11.59,0.48,10.81
1646092800,,,,
1648771200,,,,
1651363200,24.32,11.54,1.66,11.12
1654041600,,,,
1656633600,,,,
1659312000,24.14,11.39,1.66,11.1
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,24.22,11.51,1.56,11.16
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,23.89,11.74,1.88,10.27
1730419200,23.89,11.74,1.88,10.27
1733011200,23.37,11.51,1.91,9.95
1735689600,24.89,10.21,2.94,11.74
1738368000,24.89,10.21,2.94,11.74
1740787200,24.89,10.21,2.94,11.74
1743465600,24.89,10.21,2.94,11.74
1746057600,24.89,10.21,2.94,11.74
