timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,55.0,60.0,41.0,66.0
1412121600,62.0,60.0,59.0,66.0
1414800000,62.0,60.0,59.0,66.0
1417392000,61.0,53.0,62.0,64.0
1420070400,61.0,53.0,62.0,64.0
1422748800,61.0,53.0,62.0,64.0
1425168000,62.0,53.0,63.0,68.0
1427846400,62.0,53.0,63.0,68.0
1430438400,62.0,53.0,63.0,68.0
1433116800,62.0,53.0,63.0,68.0
1435708800,62.0,53.0,63.0,68.0
1438387200,62.0,53.0,63.0,68.0
1441065600,62.0,53.0,63.0,68.0
1443657600,62.0,53.0,63.0,68.0
1446336000,62.0,53.0,63.0,68.0
1448928000,62.0,53.0,63.0,68.0
1451606400,61.95,52.98,62.62,67.59
1454284800,61.95,52.98,62.62,67.59
1456790400,64.35,62.58,62.62,67.59
1459468800,59.33,69.08,53.25,59.31
1462060800,59.33,69.08,53.25,59.31
1464739200,59.33,69.08,53.25,59.31
1467331200,58.83,69.08,52.0,59.31
1470009600,58.83,69.08,52.0,59.31
1472688000,58.83,69.08,52.0,59.31
1475280000,58.83,69.08,52.0,59.31
1477958400,58.83,69.08,52.0,59.31
1480550400,58.83,69.08,52.0,59.31
1483228800,58.83,69.08,52.0,59.31
1485907200,58.83,69.08,52.0,59.31
1488326400,58.83,69.08,52.0,59.31
1491004800,58.83,69.08,52.0,59.31
1493596800,59.33,69.08,53.25,59.31
1496275200,59.33,69.08,53.25,59.31
1498867200,59.33,69.08,53.25,59.31
1501545600,59.33,69.08,53.25,59.31
1504224000,59.33,69.08,53.25,59.31
1506816000,59.2,65.68,54.31,60.17
1509494400,59.2,65.68,54.31,60.17
1512086400,59.2,65.68,54.31,60.17
1514764800,59.2,65.68,54.31,60.17
1517443200,59.2,65.68,54.31,60.17
1519862400,59.2,65.68,54.31,60.17
1522540800,60.17,65.98,56.54,60.17
1525132800,60.17,65.98,56.54,60.17
1527811200,60.17,65.98,56.54,60.17
1530403200,60.17,65.98,56.54,60.17
1533081600,60.17,65.98,56.54,60.17
1535760000,60.17,65.98,56.54,60.17
1538352000,60.17,65.98,56.54,60.17
1541030400,59.87,64.78,56.54,60.17
1543622400,59.87,64.78,56.54,60.17
1546300800,59.87,64.78,56.54,60.17
1548979200,59.69,65.78,58.4,56.83
1551398400,59.69,65.78,58.4,56.83
1554076800,59.69,65.78,58.4,56.83
1556668800,59.69,65.78,58.4,56.83
1559347200,59.69,65.78,58.4,56.83
1561939200,59.69,65.78,58.4,56.83
1564617600,59.69,65.78,58.4,56.83
1567296000,59.69,65.78,58.4,56.83
1569888000,59.87,66.48,58.4,56.83
1572566400,62.24,66.38,64.4,56.83
1575158400,30.68,8.1,11.29,11.29
1577836800,30.68,8.1,11.29,11.29
1580515200,30.68,8.1,11.29,11.29
1583020800,30.48,7.9,11.29,11.29
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,26.51,8.27,9.67,8.57
1596240000,26.51,8.27,9.67,8.57
1598918400,,,,
1601510400,26.53,8.29,9.67,8.57
1604188800,,,,
1606780800,,,,
1609459200,26.53,8.29,9.67,8.57
1612137600,25.97,7.73,9.67,8.57
1614556800,25.97,7.73,9.67,8.57
1617235200,,,,
1619827200,26.72,7.29,10.85,8.57
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,24.07,6.65,7.8,9.62
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,24.32,6.52,8.89,8.91
1646092800,,,,
1648771200,,,,
1651363200,24.16,6.36,8.89,8.91
1654041600,,,,
1656633600,,,,
1659312000,23.8,6.32,8.89,8.59
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,25.63,6.94,9.79,8.9
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,23.84,6.84,10.21,6.79
1733011200,23.84,6.84,10.21,6.79
1735689600,23.84,6.84,10.21,6.79
1738368000,23.84,6.84,10.21,6.79
1740787200,23.84,6.84,10.21,6.79
1743465600,23.84,6.84,10.21,6.79
1746057600,23.84,6.84,10.21,6.79
