timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,53.0,61.0,45.0,53.0
1412121600,53.0,61.0,45.0,53.0
1414800000,53.0,61.0,45.0,53.0
1417392000,53.0,61.0,45.0,53.0
1420070400,56.0,59.0,44.0,64.0
1422748800,56.0,59.0,44.0,64.0
1425168000,56.0,59.0,45.0,64.0
1427846400,56.0,59.0,45.0,64.0
1430438400,56.0,59.0,45.0,64.0
1433116800,56.0,59.0,45.0,64.0
1435708800,56.0,59.0,45.0,64.0
1438387200,56.0,59.0,45.0,64.0
1441065600,56.0,59.0,45.0,64.0
1443657600,56.0,59.0,44.0,64.0
1446336000,56.0,59.0,44.0,64.0
1448928000,58.0,64.0,45.0,62.0
1451606400,57.72,63.91,45.35,62.13
1454284800,57.72,63.91,45.35,62.13
1456790400,57.72,63.91,45.35,62.13
1459468800,58.11,64.4,45.36,62.59
1462060800,58.11,64.4,45.36,62.59
1464739200,57.16,64.4,46.19,58.84
1467331200,57.66,64.4,47.86,58.84
1470009600,57.66,64.4,47.86,58.84
1472688000,57.66,64.4,47.86,58.84
1475280000,57.66,64.4,47.86,58.84
1477958400,57.66,64.4,47.86,58.84
1480550400,57.66,64.4,47.86,58.84
1483228800,63.49,73.38,65.61,49.79
1485907200,63.49,73.38,65.61,49.79
1488326400,63.49,73.38,65.61,49.79
1491004800,63.49,73.38,65.61,49.79
1493596800,63.49,73.38,65.61,49.79
1496275200,63.49,73.38,65.61,49.79
1498867200,63.49,73.38,65.61,49.79
1501545600,64.44,73.38,68.77,49.79
1504224000,64.44,73.38,68.77,49.79
1506816000,64.76,71.97,69.7,51.6
1509494400,64.76,71.97,69.7,51.6
1512086400,64.76,71.97,69.7,51.6
1514764800,64.76,71.97,69.7,51.6
1517443200,64.76,71.97,69.7,51.6
1519862400,64.76,71.97,69.7,51.6
1522540800,64.76,71.97,69.7,51.6
1525132800,64.71,71.97,69.7,51.44
1527811200,64.71,71.97,69.7,51.44
1530403200,64.71,71.97,69.7,51.44
1533081600,64.71,71.97,69.7,51.44
1535760000,64.71,71.97,69.7,51.44
1538352000,65.03,73.62,68.67,51.44
1541030400,65.24,74.17,68.67,51.44
1543622400,65.24,74.17,68.67,51.44
1546300800,65.24,74.17,68.67,51.44
1548979200,65.24,74.17,68.67,51.44
1551398400,65.24,74.17,68.67,51.44
1554076800,65.24,74.17,68.67,51.44
1556668800,65.24,74.17,68.67,51.44
1559347200,65.24,74.17,68.67,51.44
1561939200,65.24,74.17,68.67,51.44
1564617600,65.24,74.17,68.67,51.44
1567296000,65.24,74.17,68.67,51.44
1569888000,65.24,74.17,68.67,51.44
1572566400,65.47,71.62,68.67,55.18
1575158400,64.57,71.2,66.22,55.18
1577836800,26.04,11.06,1.49,13.49
1580515200,26.04,11.06,1.49,13.49
1583020800,26.04,11.06,1.49,13.49
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,26.35,11.37,1.49,13.49
1596240000,26.35,11.37,1.49,13.49
1598918400,,,,
1601510400,25.73,11.4,1.51,12.83
1604188800,,,,
1606780800,,,,
1609459200,25.84,11.14,1.54,13.16
1612137600,25.84,11.14,1.54,13.16
1614556800,24.67,9.92,1.98,12.78
1617235200,,,,
1619827200,24.67,9.92,1.98,12.78
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,24.67,9.92,1.98,12.78
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,20.28,9.71,0.7,9.87
1646092800,,,,
1648771200,,,,
1651363200,20.42,9.85,0.7,9.87
1654041600,,,,
1656633600,,,,
1659312000,20.42,9.85,0.7,9.87
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,20.33,9.76,0.7,9.87
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,22.79,11.04,0.73,11.02
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,21.1,9.92,0.17,11.01
1733011200,21.19,9.75,0.17,11.28
1735689600,21.19,9.75,0.17,11.28
1738368000,21.61,9.69,1.6,10.32
1740787200,21.61,9.69,1.6,10.32
1743465600,21.61,9.69,1.6,10.32
1746057600,21.61,9.69,1.6,10.32
