timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,53.0,57.0,52.0,50.0
1412121600,53.0,57.0,52.0,50.0
1414800000,53.0,57.0,52.0,50.0
1417392000,53.0,57.0,52.0,50.0
1420070400,56.0,56.0,60.0,52.0
1422748800,56.0,56.0,60.0,52.0
1425168000,56.0,56.0,60.0,52.0
1427846400,56.0,56.0,60.0,52.0
1430438400,56.0,56.0,60.0,52.0
1433116800,56.0,56.0,60.0,52.0
1435708800,56.0,56.0,60.0,52.0
1438387200,56.0,56.0,60.0,52.0
1441065600,56.0,56.0,60.0,52.0
1443657600,56.0,56.0,60.0,52.0
1446336000,60.0,61.0,61.0,57.0
1448928000,60.0,62.0,61.0,57.0
1451606400,60.02,61.5,61.42,56.66
1454284800,60.02,61.5,61.42,56.66
1456790400,60.02,61.5,61.42,56.66
1459468800,60.22,64.0,61.23,55.08
1462060800,60.22,64.0,61.23,55.08
1464739200,60.22,64.0,61.23,55.08
1467331200,60.47,64.0,61.86,55.08
1470009600,60.47,64.0,61.86,55.08
1472688000,60.43,63.87,61.86,55.08
1475280000,60.43,63.87,61.86,55.08
1477958400,60.43,63.87,61.86,55.08
1480550400,60.43,63.87,61.86,55.08
1483228800,60.27,66.78,60.94,52.88
1485907200,60.27,66.78,60.94,52.88
1488326400,60.27,66.78,60.94,52.88
1491004800,60.27,66.78,60.94,52.88
1493596800,60.41,66.78,61.28,52.88
1496275200,60.41,66.78,61.28,52.88
1498867200,60.41,66.78,61.28,52.88
1501545600,60.41,66.78,61.28,52.88
1504224000,60.41,66.78,61.28,52.88
1506816000,59.83,64.7,61.39,52.87
1509494400,59.83,64.7,61.39,52.87
1512086400,59.83,64.7,61.39,52.87
1514764800,59.83,64.7,61.39,52.87
1517443200,59.83,64.7,61.39,52.87
1519862400,59.83,64.7,61.39,52.87
1522540800,59.83,64.7,61.39,52.87
1525132800,59.83,64.7,61.39,52.87
1527811200,59.83,64.7,61.39,52.87
1530403200,59.83,64.7,61.39,52.87
1533081600,59.83,64.7,61.39,52.87
1535760000,57.51,65.49,58.26,48.52
1538352000,59.66,66.16,62.21,49.75
1541030400,59.74,66.42,62.21,49.75
1543622400,59.74,66.42,62.21,49.75
1546300800,59.74,66.42,62.21,49.75
1548979200,59.74,66.42,62.21,49.75
1551398400,59.74,66.42,62.21,49.75
1554076800,59.74,66.42,62.21,49.75
1556668800,59.74,66.42,62.21,49.75
1559347200,59.74,66.42,62.21,49.75
1561939200,59.74,66.42,62.21,49.75
1564617600,59.78,66.56,62.21,49.75
1567296000,59.78,66.56,62.21,49.75
1569888000,59.78,66.56,62.21,49.75
1572566400,62.39,63.39,63.86,59.42
1575158400,60.4,62.36,59.66,59.42
1577836800,14.15,5.71,4.42,4.03
1580515200,14.15,5.71,4.42,4.03
1583020800,14.15,5.71,4.42,4.03
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,13.84,5.4,4.42,4.03
1596240000,13.84,5.4,4.42,4.03
1598918400,,,,
1601510400,13.86,5.42,4.42,4.03
1604188800,,,,
1606780800,,,,
1609459200,13.86,5.42,4.42,4.03
1612137600,13.86,5.42,4.42,4.03
1614556800,13.86,5.42,4.42,4.03
1617235200,,,,
1619827200,13.14,5.38,3.89,3.86
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,13.14,5.38,3.89,3.86
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,13.14,5.38,3.89,3.86
1646092800,,,,
1648771200,,,,
1651363200,13.14,5.38,3.89,3.86
1654041600,,,,
1656633600,,,,
1659312000,12.14,5.53,3.7,2.91
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,12.14,5.53,3.7,2.91
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,10.9,5.97,2.35,2.58
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,10.39,5.32,2.42,2.66
1733011200,10.39,5.32,2.42,2.66
1735689600,11.22,4.13,4.54,2.54
1738368000,11.22,4.13,4.54,2.54
1740787200,11.22,4.13,4.54,2.54
1743465600,11.22,4.13,4.54,2.54
1746057600,11.22,4.13,4.54,2.54
