timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,79.0,75.0,80.0,81.0
1412121600,78.0,75.0,80.0,81.0
1414800000,79.0,75.0,80.0,81.0
1417392000,79.0,75.0,80.0,81.0
1420070400,78.0,75.0,80.0,77.0
1422748800,78.0,75.0,80.0,77.0
1425168000,77.0,75.0,76.0,79.0
1427846400,77.0,75.0,76.0,79.0
1430438400,77.0,75.0,76.0,79.0
1433116800,77.0,75.0,76.0,79.0
1435708800,77.0,75.0,76.0,79.0
1438387200,78.0,76.0,76.0,81.0
1441065600,79.0,79.0,76.0,81.0
1443657600,79.0,79.0,75.0,81.0
1446336000,79.0,79.0,75.0,81.0
1448928000,79.0,79.0,76.0,81.0
1451606400,78.68,78.75,75.75,81.19
1454284800,78.68,78.75,75.75,81.19
1456790400,78.68,78.75,75.75,81.19
1459468800,76.16,78.75,75.76,74.9
1462060800,76.16,78.75,75.76,74.9
1464739200,76.16,78.75,75.76,74.9
1467331200,76.03,78.75,75.37,74.9
1470009600,76.03,78.75,75.37,74.9
1472688000,76.03,78.75,75.37,74.9
1475280000,76.03,78.75,75.37,74.9
1477958400,75.71,84.45,75.37,70.53
1480550400,75.71,84.45,75.37,70.53
1483228800,75.71,84.45,75.37,70.53
1485907200,75.71,84.45,75.37,70.53
1488326400,75.71,84.45,75.37,70.53
1491004800,75.71,84.45,75.37,70.53
1493596800,75.71,84.45,75.37,70.53
1496275200,75.71,84.45,75.37,70.53
1498867200,75.71,84.45,75.37,70.53
1501545600,75.71,84.45,75.37,70.53
1504224000,75.71,84.45,75.37,70.53
1506816000,75.43,82.55,75.94,70.53
1509494400,76.94,82.55,80.25,70.53
1512086400,76.16,80.85,79.49,70.32
1514764800,76.19,80.95,79.49,70.32
1517443200,76.11,80.95,79.27,70.32
1519862400,76.07,80.79,79.27,70.32
1522540800,76.07,80.79,79.27,70.32
1525132800,76.07,80.79,79.27,70.32
1527811200,76.07,80.79,79.27,70.32
1530403200,76.07,80.79,79.27,70.32
1533081600,76.07,80.79,79.27,70.32
1535760000,76.07,80.79,79.27,70.32
1538352000,75.47,80.79,79.27,68.81
1541030400,75.24,79.99,79.27,68.74
1543622400,75.24,79.99,79.27,68.74
1546300800,75.24,79.99,79.27,68.74
1548979200,75.62,76.49,80.97,70.4
1551398400,75.62,76.49,80.97,70.4
1554076800,75.62,76.49,80.97,70.4
1556668800,75.62,76.49,80.97,70.4
1559347200,75.62,76.49,80.97,70.4
1561939200,75.59,76.49,80.88,70.4
1564617600,75.59,76.49,80.88,70.4
1567296000,75.59,76.49,80.88,70.4
1569888000,75.59,76.49,80.88,70.4
1572566400,75.39,75.69,80.88,70.4
1575158400,21.9,6.89,7.58,7.44
1577836800,21.9,6.89,7.58,7.44
1580515200,21.9,6.89,7.58,7.44
1583020800,21.9,6.89,7.58,7.44
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,22.21,6.95,8.16,7.11
1596240000,22.21,6.95,8.16,7.11
1598918400,,,,
1601510400,22.23,6.97,8.16,7.11
1604188800,,,,
1606780800,,,,
1609459200,22.23,6.97,8.16,7.11
1612137600,22.23,6.97,8.16,7.11
1614556800,22.16,6.89,8.16,7.11
1617235200,,,,
1619827200,22.03,6.89,8.03,7.11
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,22.15,6.42,8.05,7.68
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,22.24,6.42,8.05,7.77
1646092800,,,,
1648771200,,,,
1651363200,22.05,6.23,8.05,7.77
1654041600,,,,
1656633600,,,,
1659312000,22.05,6.23,8.05,7.77
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,28.48,7.64,10.43,10.4
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,24.45,5.06,10.12,9.27
1733011200,24.45,5.06,10.12,9.27
1735689600,24.45,5.06,10.12,9.27
1738368000,24.45,5.06,10.12,9.27
1740787200,24.45,5.06,10.12,9.27
1743465600,24.3,5.06,10.12,9.12
1746057600,24.3,5.06,10.12,9.12
