timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,66.0,77.0,61.0,63.0
1412121600,66.0,77.0,61.0,63.0
1414800000,65.0,77.0,61.0,61.0
1417392000,65.0,77.0,61.0,61.0
1420070400,64.0,77.0,61.0,59.0
1422748800,64.0,77.0,61.0,59.0
1425168000,63.0,77.0,61.0,57.0
1427846400,63.0,77.0,61.0,57.0
1430438400,63.0,77.0,61.0,57.0
1433116800,63.0,77.0,61.0,57.0
1435708800,63.0,76.0,61.0,57.0
1438387200,64.0,73.0,62.0,61.0
1441065600,64.0,73.0,62.0,61.0
1443657600,64.0,72.0,62.0,60.0
1446336000,64.0,72.0,62.0,60.0
1448928000,64.0,73.0,62.0,61.0
1451606400,64.03,72.52,62.0,60.51
1454284800,63.08,72.52,62.0,58.13
1456790400,63.08,72.52,62.0,58.13
1459468800,60.81,72.52,62.0,52.44
1462060800,60.81,72.52,62.0,52.44
1464739200,61.06,72.52,62.71,52.44
1467331200,60.93,72.52,62.36,52.44
1470009600,60.91,72.52,62.29,52.44
1472688000,60.91,72.52,62.29,52.44
1475280000,60.91,72.52,62.29,52.44
1477958400,62.31,74.18,63.0,54.29
1480550400,62.31,74.18,63.0,54.29
1483228800,62.31,74.18,63.0,54.29
1485907200,62.31,74.18,63.0,54.29
1488326400,62.31,74.18,63.0,54.29
1491004800,62.31,74.18,63.0,54.29
1493596800,62.31,74.18,63.0,54.29
1496275200,62.31,74.18,63.0,54.29
1498867200,62.31,74.18,63.0,54.29
1501545600,62.27,74.02,63.0,54.29
1504224000,62.27,74.02,63.0,54.29
1506816000,62.4,71.92,63.52,55.47
1509494400,62.4,71.92,63.52,55.47
1512086400,62.4,71.92,63.52,55.47
1514764800,64.57,74.92,68.01,55.1
1517443200,64.57,74.92,68.01,55.1
1519862400,64.57,74.92,68.01,55.1
1522540800,64.57,74.92,68.01,55.1
1525132800,64.57,74.92,68.01,55.1
1527811200,64.57,74.92,68.01,55.1
1530403200,64.57,74.92,68.01,55.1
1533081600,64.57,74.92,68.01,55.1
1535760000,64.57,74.92,68.01,55.1
1538352000,64.57,74.92,68.01,55.1
1541030400,69.95,73.22,72.27,65.87
1543622400,69.85,72.82,72.27,65.87
1546300800,69.85,72.82,72.27,65.87
1548979200,69.85,72.82,72.27,65.87
1551398400,69.85,72.82,72.27,65.87
1554076800,68.66,69.59,72.27,64.92
1556668800,67.46,69.59,72.27,61.93
1559347200,67.46,69.59,72.27,61.93
1561939200,67.46,69.59,72.27,61.93
1564617600,66.86,69.59,70.56,61.93
1567296000,66.86,69.59,70.56,61.93
1569888000,66.86,69.59,70.56,61.93
1572566400,66.76,69.19,70.56,61.93
1575158400,65.35,69.59,69.61,58.97
1577836800,19.96,5.93,4.69,9.35
1580515200,20.16,5.55,4.6,10.01
1583020800,20.16,5.55,4.6,10.01
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,20.35,5.79,4.55,10.01
1596240000,20.35,5.79,4.55,10.01
1598918400,,,,
1601510400,20.35,5.79,4.55,10.01
1604188800,,,,
1606780800,,,,
1609459200,20.54,5.98,4.55,10.01
1612137600,20.65,5.99,5.33,9.33
1614556800,21.03,5.99,5.71,9.33
1617235200,,,,
1619827200,20.51,5.99,5.19,9.33
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,,,,
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,20.29,5.77,5.19,9.33
1646092800,,,,
1648771200,,,,
1651363200,20.11,5.7,5.05,9.36
1654041600,,,,
1656633600,,,,
1659312000,21.39,5.46,6.51,9.43
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,21.27,5.6,6.55,9.12
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,22.8,4.91,7.04,10.85
1733011200,22.8,4.91,7.04,10.85
1735689600,22.8,4.91,7.04,10.85
1738368000,22.8,4.91,7.04,10.85
1740787200,22.8,4.91,7.04,10.85
1743465600,22.8,4.91,7.04,10.85
1746057600,26.43,5.7,8.76,11.97
