timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,58.0,58.0,53.0,63.0
1412121600,57.0,58.0,53.0,63.0
1414800000,58.0,58.0,53.0,63.0
1417392000,58.0,58.0,53.0,63.0
1420070400,58.0,58.0,53.0,63.0
1422748800,58.0,58.0,53.0,63.0
1425168000,59.0,62.0,53.0,63.0
1427846400,59.0,66.0,50.0,64.0
1430438400,59.0,66.0,50.0,64.0
1433116800,59.0,66.0,50.0,64.0
1435708800,59.0,66.0,50.0,64.0
1438387200,59.0,66.0,50.0,64.0
1441065600,59.0,66.0,50.0,64.0
1443657600,59.0,66.0,50.0,64.0
1446336000,59.0,66.0,50.0,64.0
1448928000,59.0,66.0,50.0,64.0
1451606400,58.96,66.15,50.43,63.57
1454284800,58.96,66.15,50.43,63.57
1456790400,58.96,66.15,50.43,63.57
1459468800,57.39,66.15,50.44,59.08
1462060800,57.39,66.15,50.44,59.08
1464739200,57.11,66.15,49.76,59.08
1467331200,57.07,66.15,49.76,58.96
1470009600,57.07,66.15,49.76,58.96
1472688000,57.07,66.15,49.76,58.96
1475280000,57.07,66.15,49.76,58.96
1477958400,57.07,66.15,49.76,58.96
1480550400,57.07,66.15,49.76,58.96
1483228800,57.07,66.15,49.76,58.96
1485907200,57.07,66.15,49.76,58.96
1488326400,57.07,66.15,49.76,58.96
1491004800,60.97,65.85,55.59,63.64
1493596800,61.52,65.85,56.96,63.64
1496275200,61.52,65.85,56.96,63.64
1498867200,61.52,65.85,56.96,63.64
1501545600,61.52,65.85,56.96,63.64
1504224000,61.52,65.85,56.96,63.64
1506816000,60.16,59.45,56.73,64.59
1509494400,60.16,59.45,56.73,64.59
1512086400,60.16,59.45,56.73,64.59
1514764800,60.16,59.45,56.73,64.59
1517443200,60.16,59.45,56.73,64.59
1519862400,60.16,59.45,56.73,64.59
1522540800,59.62,60.95,57.23,61.4
1525132800,59.62,60.95,57.23,61.4
1527811200,59.62,60.95,57.23,61.4
1530403200,59.62,60.95,57.23,61.4
1533081600,59.62,60.95,57.23,61.4
1535760000,59.62,60.95,57.23,61.4
1538352000,59.89,62.05,57.23,61.4
1541030400,59.59,60.85,57.23,61.4
1543622400,59.59,60.85,57.23,61.4
1546300800,59.59,60.85,57.23,61.4
1548979200,59.59,60.85,57.23,61.4
1551398400,60.16,60.85,58.66,61.4
1554076800,60.16,60.85,58.66,61.4
1556668800,60.16,60.85,58.66,61.4
1559347200,60.16,60.85,58.66,61.4
1561939200,60.16,60.85,58.66,61.4
1564617600,60.16,60.85,58.66,61.4
1567296000,60.16,60.85,58.66,61.4
1569888000,61.97,59.85,61.86,63.61
1572566400,62.17,60.65,61.86,63.61
1575158400,61.32,60.25,59.74,63.89
1577836800,34.2,8.53,16.24,9.44
1580515200,34.2,8.53,16.24,9.44
1583020800,34.2,8.53,16.24,9.44
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,34.03,8.74,15.85,9.44
1596240000,34.03,8.74,15.85,9.44
1598918400,,,,
1601510400,34.05,8.76,15.85,9.44
1604188800,,,,
1606780800,,,,
1609459200,34.05,8.76,15.85,9.44
1612137600,34.05,8.76,15.85,9.44
1614556800,34.05,8.76,15.85,9.44
1617235200,,,,
1619827200,31.5,8.46,13.91,9.13
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,31.5,8.46,13.91,9.13
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,30.79,7.75,13.91,9.13
1646092800,,,,
1648771200,,,,
1651363200,30.96,7.38,14.83,8.75
1654041600,,,,
1656633600,,,,
1659312000,30.92,7.33,14.83,8.75
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,30.98,7.4,14.83,8.75
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,31.82,7.4,15.25,9.16
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,29.56,7.44,14.04,8.07
1730419200,29.56,7.44,14.04,8.07
1733011200,29.56,7.44,14.04,8.07
1735689600,29.56,7.44,14.04,8.07
1738368000,29.56,7.44,14.04,8.07
1740787200,29.56,7.44,14.04,8.07
1743465600,24.06,6.58,10.69,6.78
1746057600,24.06,6.58,10.69,6.78
