timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,48.0,61.0,41.0,47.0
1412121600,47.0,61.0,41.0,47.0
1414800000,48.0,61.0,41.0,47.0
1417392000,48.0,61.0,41.0,47.0
1420070400,50.0,61.0,44.0,50.0
1422748800,50.0,61.0,44.0,50.0
1425168000,50.0,61.0,44.0,49.0
1427846400,50.0,61.0,44.0,49.0
1430438400,50.0,61.0,44.0,49.0
1433116800,50.0,61.0,44.0,49.0
1435708800,50.0,61.0,44.0,49.0
1438387200,50.0,61.0,44.0,49.0
1441065600,50.0,61.0,44.0,49.0
1443657600,50.0,61.0,44.0,49.0
1446336000,50.0,61.0,44.0,49.0
1448928000,51.0,61.0,45.0,50.0
1451606400,50.61,60.89,44.57,50.17
1454284800,50.61,60.89,44.57,50.17
1456790400,50.61,60.89,44.57,50.17
1459468800,49.7,60.89,44.57,47.58
1462060800,49.7,60.89,44.57,47.58
1464739200,49.7,60.89,44.57,47.58
1467331200,49.7,60.89,44.57,47.58
1470009600,49.7,60.89,44.57,47.58
1472688000,49.7,60.89,44.57,47.58
1475280000,49.7,60.89,44.57,47.58
1477958400,49.69,61.05,44.57,47.45
1480550400,49.69,61.05,44.57,47.45
1483228800,50.59,61.55,46.75,47.16
1485907200,50.59,61.55,46.75,47.16
1488326400,50.59,61.55,46.75,47.16
1491004800,50.59,61.55,46.75,47.16
1493596800,50.59,61.55,46.75,47.16
1496275200,50.59,61.55,46.75,47.16
1498867200,50.59,61.55,46.75,47.16
1501545600,50.59,61.55,46.75,47.16
1504224000,50.59,61.55,46.75,47.16
1506816000,52.42,59.55,49.85,50.26
1509494400,52.42,59.55,49.85,50.26
1512086400,52.42,59.55,49.85,50.26
1514764800,52.42,59.55,49.85,50.26
1517443200,52.42,59.55,49.85,50.26
1519862400,52.42,59.55,49.85,50.26
1522540800,52.42,59.55,49.85,50.26
1525132800,51.3,58.55,48.43,49.4
1527811200,51.27,58.55,48.43,49.32
1530403200,51.27,58.55,48.43,49.32
1533081600,51.27,58.55,48.43,49.32
1535760000,51.27,58.55,48.43,49.32
1538352000,51.75,60.45,48.43,49.32
1541030400,51.85,60.85,48.43,49.32
1543622400,51.85,60.85,48.43,49.32
1546300800,51.85,60.85,48.43,49.32
1548979200,51.85,60.85,48.43,49.32
1551398400,52.22,60.85,48.43,50.39
1554076800,52.22,60.85,48.43,50.39
1556668800,52.22,60.85,48.43,50.39
1559347200,52.22,60.85,48.43,50.39
1561939200,51.31,60.85,48.43,47.78
1564617600,51.31,60.85,48.43,47.78
1567296000,51.31,60.85,48.43,47.78
1569888000,51.46,61.45,48.43,47.78
1572566400,53.77,63.95,48.08,53.0
1575158400,53.64,64.15,47.57,53.09
1577836800,32.54,8.71,19.16,4.66
1580515200,32.54,8.71,19.16,4.66
1583020800,32.54,8.71,19.16,4.66
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,32.47,8.59,19.22,4.66
1596240000,32.47,8.59,19.22,4.66
1598918400,,,,
1601510400,32.5,8.61,19.22,4.66
1604188800,,,,
1606780800,,,,
1609459200,31.28,8.72,17.65,4.9
1612137600,31.28,8.72,17.65,4.9
1614556800,31.28,8.72,17.65,4.9
1617235200,,,,
1619827200,31.52,8.72,17.9,4.9
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,31.78,8.99,17.9,4.9
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,32.28,8.86,18.55,4.86
1646092800,,,,
1648771200,,,,
1651363200,32.28,8.86,18.55,4.86
1654041600,,,,
1656633600,,,,
1659312000,32.15,8.74,18.55,4.86
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,31.82,8.74,18.55,4.53
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,30.12,8.67,16.68,4.77
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,27.47,5.21,15.44,6.81
1733011200,23.9,3.82,14.07,6.0
1735689600,23.9,3.82,14.07,6.0
1738368000,23.9,3.82,14.07,6.0
1740787200,23.9,3.82,14.07,6.0
1743465600,23.9,3.82,14.07,6.0
1746057600,23.9,3.82,14.07,6.0
