timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,63.0,75.0,64.0,54.0
1412121600,63.0,75.0,64.0,54.0
1414800000,63.0,75.0,64.0,54.0
1417392000,63.0,75.0,64.0,54.0
1420070400,63.0,75.0,64.0,54.0
1422748800,63.0,76.0,64.0,54.0
1425168000,63.0,76.0,65.0,54.0
1427846400,63.0,76.0,65.0,54.0
1430438400,63.0,76.0,65.0,54.0
1433116800,63.0,76.0,65.0,54.0
1435708800,63.0,76.0,65.0,54.0
1438387200,63.0,76.0,65.0,54.0
1441065600,63.0,76.0,65.0,54.0
1443657600,63.0,75.0,64.0,53.0
1446336000,63.0,75.0,64.0,53.0
1448928000,63.0,77.0,61.0,56.0
1451606400,63.07,77.32,61.36,55.65
1454284800,63.11,77.5,61.36,55.65
1456790400,63.11,77.5,61.36,55.65
1459468800,61.46,77.51,60.21,52.53
1462060800,61.46,77.51,60.21,52.53
1464739200,61.46,77.51,60.21,52.53
1467331200,61.56,77.51,60.5,52.51
1470009600,61.51,77.32,60.5,52.51
1472688000,61.5,77.26,60.5,52.51
1475280000,61.5,77.26,60.5,52.51
1477958400,64.36,75.01,62.83,59.04
1480550400,64.36,75.01,62.83,59.04
1483228800,63.81,74.22,61.83,59.05
1485907200,63.81,74.22,61.83,59.05
1488326400,63.81,74.22,61.83,59.05
1491004800,63.81,74.22,61.83,59.05
1493596800,63.81,74.22,61.83,59.05
1496275200,63.81,74.22,61.83,59.05
1498867200,63.81,74.22,61.83,59.05
1501545600,61.45,74.22,61.83,53.15
1504224000,61.45,74.22,61.83,53.15
1506816000,60.76,71.11,62.07,53.15
1509494400,60.76,71.11,62.07,53.15
1512086400,60.76,71.11,62.07,53.15
1514764800,60.76,71.11,62.07,53.15
1517443200,60.76,71.11,62.07,53.15
1519862400,60.76,71.11,62.07,53.15
1522540800,60.76,71.11,62.07,53.15
1525132800,60.76,71.11,62.07,53.15
1527811200,60.76,71.11,62.07,53.15
1530403200,60.76,71.11,62.07,53.15
1533081600,60.76,71.11,62.07,53.15
1535760000,60.76,71.11,62.07,53.15
1538352000,60.75,71.08,62.07,53.15
1541030400,60.53,70.19,62.07,53.15
1543622400,60.53,70.19,62.07,53.15
1546300800,62.61,67.97,64.87,57.28
1548979200,62.61,67.97,64.87,57.28
1551398400,62.61,67.97,64.87,57.28
1554076800,62.61,67.97,64.87,57.28
1556668800,62.61,67.97,64.87,57.28
1559347200,62.58,67.97,64.87,57.21
1561939200,62.58,67.97,64.87,57.21
1564617600,62.58,67.97,64.87,57.21
1567296000,62.01,67.97,64.87,55.79
1569888000,62.12,68.42,64.87,55.79
1572566400,62.12,68.42,64.87,55.79
1575158400,24.75,6.09,6.32,12.33
1577836800,25.03,6.3,6.32,12.41
1580515200,25.05,5.93,6.26,12.85
1583020800,25.05,5.93,6.26,12.85
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,24.82,6.07,5.81,12.93
1596240000,24.99,6.24,5.81,12.93
1598918400,,,,
1601510400,25.01,6.26,5.81,12.93
1604188800,,,,
1606780800,,,,
1609459200,25.19,6.36,5.81,13.02
1612137600,25.36,6.54,5.81,13.02
1614556800,25.36,6.54,5.81,13.02
1617235200,,,,
1619827200,25.27,6.54,5.95,12.78
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,24.4,6.76,4.66,12.98
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,24.59,6.94,4.66,12.98
1646092800,,,,
1648771200,,,,
1651363200,24.59,6.94,4.66,12.98
1654041600,,,,
1656633600,,,,
1659312000,23.99,6.35,4.66,12.98
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,31.32,7.58,6.1,17.64
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,31.32,6.53,6.8,17.99
1733011200,31.32,6.53,6.8,17.99
1735689600,31.32,6.53,6.8,17.99
1738368000,27.88,5.56,6.61,15.71
1740787200,27.88,5.56,6.61,15.71
1743465600,28.77,5.98,7.08,15.71
1746057600,28.77,5.98,7.08,15.71
