timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,60.0,70.0,60.0,53.0
1412121600,64.0,77.0,63.0,56.0
1414800000,64.0,77.0,63.0,56.0
1417392000,64.0,77.0,63.0,56.0
1420070400,64.0,77.0,63.0,56.0
1422748800,64.0,77.0,63.0,56.0
1425168000,63.0,77.0,60.0,56.0
1427846400,63.0,77.0,60.0,56.0
1430438400,63.0,77.0,60.0,56.0
1433116800,63.0,77.0,60.0,56.0
1435708800,63.0,77.0,60.0,56.0
1438387200,63.0,77.0,60.0,56.0
1441065600,63.0,77.0,60.0,56.0
1443657600,63.0,77.0,60.0,56.0
1446336000,63.0,77.0,60.0,56.0
1448928000,63.0,77.0,60.0,56.0
1451606400,63.0,77.0,60.43,55.92
1454284800,63.0,77.0,60.43,55.92
1456790400,63.0,77.0,60.43,55.92
1459468800,62.42,77.0,60.75,53.91
1462060800,62.42,77.0,60.75,53.91
1464739200,62.42,77.0,60.75,53.91
1467331200,62.42,77.0,60.75,53.91
1470009600,62.42,77.0,60.75,53.91
1472688000,62.42,77.0,60.75,53.91
1475280000,62.42,77.0,60.75,53.91
1477958400,62.42,77.0,60.75,53.91
1480550400,62.42,77.0,60.75,53.91
1483228800,57.74,77.0,50.31,52.48
1485907200,57.74,77.0,50.31,52.48
1488326400,57.74,77.0,50.31,52.48
1491004800,57.74,77.0,50.31,52.48
1493596800,57.74,77.0,50.31,52.48
1496275200,57.74,77.0,50.31,52.48
1498867200,57.74,77.0,50.31,52.48
1501545600,57.74,77.0,50.31,52.48
1504224000,57.74,77.0,50.31,52.48
1506816000,57.4,69.9,53.91,52.48
1509494400,57.4,69.9,53.91,52.48
1512086400,57.4,69.9,53.91,52.48
1514764800,57.4,69.9,53.91,52.48
1517443200,54.63,72.65,46.81,50.69
1519862400,54.63,72.65,46.81,50.69
1522540800,54.63,72.65,46.81,50.69
1525132800,54.63,72.65,46.81,50.69
1527811200,54.63,72.65,46.81,50.69
1530403200,54.63,72.65,46.81,50.69
1533081600,54.63,72.65,46.81,50.69
1535760000,54.63,72.65,46.81,50.69
1538352000,54.63,72.65,46.81,50.69
1541030400,54.63,72.65,46.81,50.69
1543622400,54.63,72.65,46.81,50.69
1546300800,54.63,72.65,46.81,50.69
1548979200,54.63,72.65,46.81,50.69
1551398400,54.63,72.65,46.81,50.69
1554076800,54.63,72.65,46.81,50.69
1556668800,60.07,72.65,47.66,65.27
1559347200,60.07,72.65,47.66,65.27
1561939200,60.07,72.65,47.66,65.27
1564617600,60.07,72.65,47.66,65.27
1567296000,60.07,72.65,47.66,65.27
1569888000,60.07,72.65,47.66,65.27
1572566400,60.02,72.65,47.66,65.13
1575158400,60.37,72.85,48.4,65.13
1577836800,30.3,6.5,10.8,12.99
1580515200,30.3,6.5,10.8,12.99
1583020800,30.45,6.65,10.8,12.99
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,30.8,7.0,10.8,12.99
1596240000,30.8,7.0,10.8,12.99
1598918400,,,,
1601510400,28.6,5.72,9.55,13.34
1604188800,,,,
1606780800,,,,
1609459200,28.6,5.72,9.55,13.34
1612137600,28.6,5.72,9.55,13.34
1614556800,28.6,5.72,9.55,13.34
1617235200,,,,
1619827200,28.43,5.55,9.55,13.34
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,28.43,5.55,9.55,13.34
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,27.95,5.55,9.55,12.86
1646092800,,,,
1648771200,,,,
1651363200,28.06,5.65,9.55,12.86
1654041600,,,,
1656633600,,,,
1659312000,26.66,5.59,9.26,11.8
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,26.66,5.59,9.26,11.8
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,24.89,5.1,8.18,11.61
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,24.15,4.37,8.32,11.46
1730419200,24.15,4.37,8.32,11.46
1733011200,24.15,4.37,8.32,11.46
1735689600,24.15,4.37,8.32,11.46
1738368000,24.15,4.37,8.32,11.46
1740787200,24.15,4.37,8.32,11.46
1743465600,24.15,4.37,8.32,11.46
1746057600,27.06,4.28,12.54,10.24
