timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,43.0,57.0,37.0,39.0
1412121600,43.0,57.0,37.0,39.0
1414800000,43.0,57.0,37.0,39.0
1417392000,43.0,57.0,37.0,39.0
1420070400,42.0,55.0,37.0,39.0
1422748800,42.0,55.0,37.0,39.0
1425168000,42.0,55.0,37.0,39.0
1427846400,42.0,55.0,37.0,39.0
1430438400,42.0,55.0,37.0,39.0
1433116800,42.0,55.0,37.0,39.0
1435708800,42.0,55.0,37.0,39.0
1438387200,43.0,55.0,37.0,42.0
1441065600,43.0,55.0,37.0,42.0
1443657600,43.0,55.0,37.0,41.0
1446336000,43.0,55.0,37.0,41.0
1448928000,44.0,57.0,37.0,42.0
1451606400,43.81,56.87,37.14,41.5
1454284800,43.81,56.87,37.14,41.5
1456790400,43.81,56.87,37.14,41.5
1459468800,42.82,56.87,37.14,39.01
1462060800,42.82,56.87,37.14,39.01
1464739200,42.82,56.87,37.14,39.01
1467331200,42.82,56.87,37.14,39.01
1470009600,42.82,56.87,37.14,39.01
1472688000,42.82,56.87,37.14,39.01
1475280000,42.82,56.87,37.14,39.01
1477958400,42.82,56.87,37.14,39.01
1480550400,42.82,56.87,37.14,39.01
1483228800,44.15,56.87,37.14,42.33
1485907200,44.15,56.87,37.14,42.33
1488326400,44.15,56.87,37.14,42.33
1491004800,44.15,56.87,37.14,42.33
1493596800,44.15,56.87,37.14,42.33
1496275200,44.15,56.87,37.14,42.33
1498867200,44.15,56.87,37.14,42.33
1501545600,44.15,56.87,37.14,42.33
1504224000,44.15,56.87,37.14,42.33
1506816000,43.64,51.77,38.0,43.49
1509494400,43.64,51.77,38.0,43.49
1512086400,43.64,51.77,38.0,43.49
1514764800,43.64,51.77,38.0,43.49
1517443200,43.64,51.77,38.0,43.49
1519862400,43.64,51.77,38.0,43.49
1522540800,43.64,51.77,38.0,43.49
1525132800,43.64,51.77,38.0,43.49
1527811200,43.64,51.77,38.0,43.49
1530403200,43.64,51.77,38.0,43.49
1533081600,41.07,45.5,38.0,40.99
1535760000,41.45,45.5,39.07,40.99
1538352000,41.45,45.5,39.07,40.99
1541030400,41.55,45.9,39.07,40.99
1543622400,41.37,45.2,39.07,40.99
1546300800,41.37,45.2,39.07,40.99
1548979200,41.37,45.2,39.07,40.99
1551398400,41.37,45.2,39.07,40.99
1554076800,41.37,45.2,39.07,40.99
1556668800,41.37,45.2,39.07,40.99
1559347200,41.37,45.2,39.07,40.99
1561939200,41.37,45.2,39.07,40.99
1564617600,41.37,45.2,39.07,40.99
1567296000,41.37,45.2,39.07,40.99
1569888000,41.37,45.2,39.07,40.99
1572566400,41.65,46.3,39.07,40.99
1575158400,26.35,9.05,7.3,9.99
1577836800,26.35,9.05,7.3,9.99
1580515200,17.97,10.26,0.16,7.54
1583020800,17.97,10.26,0.16,7.54
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,17.94,10.22,0.16,7.55
1596240000,17.95,10.22,0.16,7.56
1598918400,,,,
1601510400,18.05,10.32,0.16,7.56
1604188800,,,,
1606780800,,,,
1609459200,18.16,10.45,0.16,7.56
1612137600,18.16,10.45,0.16,7.56
1614556800,17.36,10.45,0.16,6.75
1617235200,,,,
1619827200,17.36,10.45,0.16,6.75
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,16.79,9.92,0.12,6.75
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,16.75,9.88,0.12,6.75
1646092800,,,,
1648771200,,,,
1651363200,15.78,8.87,0.09,6.83
1654041600,,,,
1656633600,,,,
1659312000,16.25,9.34,0.09,6.83
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,16.41,9.01,0.09,7.31
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,15.49,8.07,0.16,7.27
1730419200,15.49,8.07,0.16,7.27
1733011200,15.49,8.07,0.16,7.27
1735689600,15.6,8.07,0.16,7.38
1738368000,15.6,8.07,0.16,7.38
1740787200,15.6,8.07,0.16,7.38
1743465600,15.88,8.35,0.16,7.38
1746057600,15.88,8.35,0.16,7.38
