timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,63.0,59.0,72.0,56.0
1412121600,62.0,59.0,72.0,57.0
1414800000,64.0,59.0,72.0,57.0
1417392000,64.0,59.0,72.0,57.0
1420070400,64.0,59.0,72.0,57.0
1422748800,64.0,59.0,72.0,57.0
1425168000,65.0,59.0,74.0,57.0
1427846400,65.0,59.0,74.0,57.0
1430438400,65.0,62.0,73.0,58.0
1433116800,69.0,62.0,76.0,66.0
1435708800,69.0,62.0,76.0,66.0
1438387200,69.0,62.0,76.0,66.0
1441065600,69.0,62.0,76.0,66.0
1443657600,69.0,62.0,75.0,66.0
1446336000,69.0,62.0,75.0,66.0
1448928000,69.0,62.0,76.0,66.0
1451606400,68.63,61.69,75.54,65.69
1454284800,68.63,61.69,75.54,65.69
1456790400,68.63,61.69,75.54,65.69
1459468800,68.42,61.69,76.22,64.32
1462060800,68.42,61.69,76.22,64.32
1464739200,68.42,61.69,76.22,64.32
1467331200,68.15,61.69,75.54,64.32
1470009600,68.15,61.69,75.54,64.32
1472688000,68.15,61.69,75.54,64.32
1475280000,68.15,61.69,75.54,64.32
1477958400,68.15,61.69,75.54,64.32
1480550400,68.15,61.69,75.54,64.32
1483228800,68.86,65.19,72.36,67.47
1485907200,68.86,65.19,72.36,67.47
1488326400,68.86,65.19,72.36,67.47
1491004800,68.86,65.19,72.36,67.47
1493596800,68.86,65.19,72.36,67.47
1496275200,68.86,65.19,72.36,67.47
1498867200,68.86,65.19,72.36,67.47
1501545600,68.86,65.19,72.36,67.47
1504224000,68.86,65.19,72.36,67.47
1506816000,68.32,59.39,73.25,69.07
1509494400,68.32,59.39,73.25,69.07
1512086400,68.32,59.39,73.25,69.07
1514764800,68.32,59.39,73.25,69.07
1517443200,68.39,59.55,73.25,69.15
1519862400,68.39,59.55,73.25,69.15
1522540800,65.63,59.65,67.31,67.97
1525132800,65.63,59.65,67.31,67.97
1527811200,65.63,59.65,67.31,67.97
1530403200,65.63,59.65,67.31,67.97
1533081600,65.63,59.65,67.31,67.97
1535760000,65.63,59.65,67.31,67.97
1538352000,65.63,59.65,67.31,67.97
1541030400,65.63,59.65,67.31,67.97
1543622400,65.63,59.65,67.31,67.97
1546300800,65.63,59.65,67.31,67.97
1548979200,65.63,59.65,67.31,67.97
1551398400,65.63,59.65,67.31,67.97
1554076800,65.63,59.65,67.31,67.97
1556668800,65.63,59.65,67.31,67.97
1559347200,65.63,59.65,67.31,67.97
1561939200,57.85,62.65,54.05,58.76
1564617600,57.85,62.65,54.05,58.76
1567296000,57.85,62.65,54.05,58.76
1569888000,57.85,62.65,54.05,58.76
1572566400,58.05,63.45,54.05,58.76
1575158400,57.26,63.05,51.56,59.64
1577836800,20.06,6.48,3.18,10.4
1580515200,20.06,6.48,3.18,10.4
1583020800,19.97,6.4,3.18,10.4
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,19.97,6.4,3.18,10.4
1596240000,19.97,6.4,3.18,10.4
1598918400,,,,
1601510400,19.99,6.42,3.18,10.4
1604188800,,,,
1606780800,,,,
1609459200,19.99,6.42,3.18,10.4
1612137600,16.25,6.0,2.67,7.59
1614556800,16.44,6.18,2.67,7.59
1617235200,,,,
1619827200,16.44,6.18,2.67,7.59
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,16.44,6.18,2.67,7.59
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,16.58,6.18,2.67,7.73
1646092800,,,,
1648771200,,,,
1651363200,15.51,5.99,2.58,6.93
1654041600,,,,
1656633600,,,,
1659312000,15.51,5.99,2.58,6.93
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,15.49,5.98,2.58,6.93
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,15.43,5.5,2.19,7.74
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,14.34,4.15,2.34,7.85
1730419200,14.34,4.15,2.34,7.85
1733011200,14.34,4.15,2.34,7.85
1735689600,14.34,4.15,2.34,7.85
1738368000,14.34,4.15,2.34,7.85
1740787200,14.24,4.15,2.34,7.75
1743465600,14.24,4.15,2.34,7.75
1746057600,13.85,4.3,2.94,6.62
