timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,69.0,78.0,54.0,77.0
1412121600,69.0,78.0,54.0,77.0
1414800000,69.0,78.0,54.0,77.0
1417392000,69.0,78.0,54.0,77.0
1420070400,67.0,78.0,55.0,70.0
1422748800,67.0,78.0,55.0,70.0
1425168000,65.0,78.0,54.0,67.0
1427846400,65.0,78.0,54.0,67.0
1430438400,65.0,78.0,54.0,67.0
1433116800,65.0,78.0,54.0,67.0
1435708800,65.0,78.0,54.0,67.0
1438387200,65.0,78.0,54.0,67.0
1441065600,65.0,78.0,54.0,67.0
1443657600,65.0,78.0,54.0,67.0
1446336000,65.0,78.0,54.0,67.0
1448928000,65.0,78.0,54.0,67.0
1451606400,65.06,77.65,53.71,67.11
1454284800,65.06,77.65,53.71,67.11
1456790400,66.33,77.65,51.64,72.11
1459468800,65.4,77.65,51.29,70.1
1462060800,65.4,77.65,51.29,70.1
1464739200,65.4,77.65,51.29,70.1
1467331200,65.4,77.65,51.29,70.1
1470009600,65.4,77.65,51.29,70.1
1472688000,65.4,77.65,51.29,70.1
1475280000,65.4,77.65,51.29,70.1
1477958400,66.01,79.15,52.14,69.93
1480550400,66.01,79.15,52.14,69.93
1483228800,66.01,79.15,52.14,69.93
1485907200,66.01,79.15,52.14,69.93
1488326400,66.01,79.15,52.14,69.93
1491004800,66.01,79.15,52.14,69.93
1493596800,66.01,79.15,52.14,69.93
1496275200,66.01,79.15,52.14,69.93
1498867200,66.01,79.15,52.14,69.93
1501545600,66.01,79.15,52.14,69.93
1504224000,66.01,79.15,52.14,69.93
1506816000,67.46,77.35,55.61,71.65
1509494400,67.46,77.35,55.61,71.65
1512086400,67.46,77.35,55.61,71.65
1514764800,63.84,76.85,55.61,62.9
1517443200,64.0,76.85,55.99,62.97
1519862400,63.95,76.68,55.99,62.97
1522540800,63.95,76.68,55.99,62.97
1525132800,63.95,76.68,55.99,62.97
1527811200,63.95,76.68,55.99,62.97
1530403200,63.95,76.68,55.99,62.97
1533081600,63.95,76.68,55.99,62.97
1535760000,64.01,76.68,55.99,63.12
1538352000,64.01,76.68,55.99,63.12
1541030400,64.01,76.68,55.99,63.12
1543622400,64.01,76.68,55.99,63.12
1546300800,64.01,76.68,55.99,63.12
1548979200,64.01,76.68,55.99,63.12
1551398400,64.01,76.68,55.99,63.12
1554076800,64.01,76.68,55.99,63.12
1556668800,64.01,76.68,55.99,63.12
1559347200,64.01,76.68,55.99,63.12
1561939200,63.91,76.68,55.68,63.12
1564617600,63.91,76.68,55.68,63.12
1567296000,69.1,77.68,60.72,71.07
1569888000,69.48,79.18,60.72,71.07
1572566400,69.48,79.18,60.72,71.07
1575158400,69.26,79.98,59.54,71.07
1577836800,27.15,3.62,13.13,10.4
1580515200,27.15,3.62,13.13,10.4
1583020800,27.15,3.62,13.13,10.4
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,26.74,3.31,13.23,10.2
1596240000,26.74,3.31,13.23,10.2
1598918400,,,,
1601510400,25.09,3.36,13.6,8.13
1604188800,,,,
1606780800,,,,
1609459200,25.09,3.36,13.6,8.13
1612137600,25.09,3.36,13.6,8.13
1614556800,25.09,3.36,13.6,8.13
1617235200,,,,
1619827200,25.36,3.4,13.83,8.13
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,25.36,3.4,13.83,8.13
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,24.08,3.41,12.19,8.48
1646092800,,,,
1648771200,,,,
1651363200,24.08,3.41,12.19,8.48
1654041600,,,,
1656633600,,,,
1659312000,23.98,3.32,12.19,8.48
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,26.1,3.31,11.78,11.01
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,25.15,3.31,10.83,11.01
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,25.19,2.62,11.91,10.66
1733011200,25.19,2.62,11.91,10.66
1735689600,26.37,4.53,9.56,12.28
1738368000,26.37,4.53,9.56,12.28
1740787200,26.37,4.53,9.56,12.28
1743465600,26.37,4.53,9.56,12.28
1746057600,26.37,4.53,9.56,12.28
