timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,49.0,68.0,39.0,47.0
1412121600,49.0,68.0,39.0,47.0
1414800000,49.0,68.0,39.0,47.0
1417392000,49.0,68.0,39.0,47.0
1420070400,49.0,68.0,39.0,47.0
1422748800,49.0,68.0,39.0,47.0
1425168000,49.0,68.0,39.0,47.0
1427846400,49.0,68.0,39.0,47.0
1430438400,47.0,59.0,44.0,42.0
1433116800,47.0,59.0,44.0,42.0
1435708800,47.0,59.0,44.0,42.0
1438387200,47.0,59.0,44.0,42.0
1441065600,47.0,59.0,44.0,42.0
1443657600,47.0,59.0,44.0,42.0
1446336000,47.0,59.0,44.0,42.0
1448928000,47.0,59.0,44.0,42.0
1451606400,46.92,58.7,43.75,42.14
1454284800,46.92,58.7,43.75,42.14
1456790400,46.92,58.7,43.75,42.14
1459468800,45.9,58.7,43.47,39.52
1462060800,45.9,58.7,43.47,39.52
1464739200,45.62,58.7,42.78,39.52
1467331200,44.53,58.7,40.06,39.52
1470009600,44.53,58.7,40.06,39.52
1472688000,44.53,58.7,40.06,39.52
1475280000,44.53,58.7,40.06,39.52
1477958400,44.53,58.7,40.06,39.52
1480550400,44.53,58.7,40.06,39.52
1483228800,48.69,59.45,39.18,51.87
1485907200,48.69,59.45,39.18,51.87
1488326400,48.69,59.45,39.18,51.87
1491004800,48.69,59.45,39.18,51.87
1493596800,47.83,56.05,39.18,51.87
1496275200,47.83,56.05,39.18,51.87
1498867200,47.83,56.05,39.18,51.87
1501545600,47.83,56.05,39.18,51.87
1504224000,47.67,56.55,39.18,51.04
1506816000,48.67,55.85,40.71,52.64
1509494400,48.67,55.85,40.71,52.64
1512086400,48.67,55.85,40.71,52.64
1514764800,48.67,55.85,40.71,52.64
1517443200,48.67,55.85,40.71,52.64
1519862400,48.67,55.85,40.71,52.64
1522540800,48.67,55.85,40.71,52.64
1525132800,48.67,55.85,40.71,52.64
1527811200,48.67,55.85,40.71,52.64
1530403200,48.67,55.85,40.71,52.64
1533081600,48.67,55.85,40.71,52.64
1535760000,48.67,55.85,40.71,52.64
1538352000,48.67,55.85,40.71,52.64
1541030400,48.37,54.65,40.71,52.64
1543622400,48.37,54.65,40.71,52.64
1546300800,48.37,54.65,40.71,52.64
1548979200,47.72,52.15,41.23,51.98
1551398400,47.72,52.15,41.23,51.98
1554076800,47.72,52.15,41.23,51.98
1556668800,47.72,52.15,41.23,51.98
1559347200,47.72,52.15,41.23,51.98
1561939200,47.72,52.15,41.23,51.98
1564617600,47.72,52.15,41.23,51.98
1567296000,47.72,52.15,41.23,51.98
1569888000,47.72,52.15,41.23,51.98
1572566400,47.72,52.15,41.23,51.98
1575158400,46.99,51.95,39.64,51.85
1577836800,22.23,9.12,1.69,11.43
1580515200,14.85,6.12,0.75,7.98
1583020800,14.85,6.12,0.75,7.98
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,14.26,5.53,0.75,7.98
1596240000,14.26,5.53,0.75,7.98
1598918400,,,,
1601510400,14.28,5.55,0.75,7.98
1604188800,,,,
1606780800,,,,
1609459200,14.28,5.55,0.75,7.98
1612137600,14.28,5.55,0.75,7.98
1614556800,14.47,5.74,0.75,7.98
1617235200,,,,
1619827200,14.47,5.74,0.75,7.98
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,14.64,5.91,0.75,7.98
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,14.17,5.84,0.76,7.57
1646092800,,,,
1648771200,,,,
1651363200,14.17,5.84,0.76,7.57
1654041600,,,,
1656633600,,,,
1659312000,14.17,5.84,0.76,7.57
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,13.92,5.6,0.7,7.62
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,13.92,5.6,0.7,7.62
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,13.64,4.46,0.72,8.46
1730419200,13.64,4.46,0.72,8.46
1733011200,13.56,4.46,0.72,8.38
1735689600,12.93,4.89,0.05,7.99
1738368000,12.93,4.89,0.05,7.99
1740787200,12.93,4.89,0.05,7.99
1743465600,12.93,4.89,0.05,7.99
1746057600,12.93,4.89,0.05,7.99
