timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,52.0,68.0,40.0,52.0
1412121600,52.0,68.0,40.0,52.0
1414800000,52.0,68.0,40.0,52.0
1417392000,52.0,68.0,40.0,52.0
1420070400,52.0,68.0,40.0,52.0
1422748800,52.0,68.0,40.0,52.0
1425168000,52.0,68.0,40.0,52.0
1427846400,52.0,68.0,40.0,52.0
1430438400,52.0,68.0,40.0,52.0
1433116800,52.0,70.0,40.0,50.0
1435708800,52.0,70.0,40.0,50.0
1438387200,52.0,70.0,40.0,50.0
1441065600,52.0,70.0,40.0,50.0
1443657600,52.0,69.0,40.0,50.0
1446336000,52.0,69.0,40.0,50.0
1448928000,52.0,70.0,40.0,50.0
1451606400,51.76,69.55,40.0,49.72
1454284800,51.76,69.55,40.0,49.72
1456790400,51.76,69.55,40.0,49.72
1459468800,48.97,69.56,40.0,43.48
1462060800,48.97,69.56,40.0,43.48
1464739200,48.97,69.56,40.0,43.48
1467331200,48.97,69.56,40.0,43.48
1470009600,48.97,69.56,40.0,43.48
1472688000,48.97,69.56,40.0,43.48
1475280000,48.97,69.56,40.0,43.48
1477958400,48.97,69.56,40.0,43.48
1480550400,48.97,69.56,40.0,43.48
1483228800,48.95,69.55,40.0,43.47
1485907200,48.95,69.55,40.0,43.47
1488326400,48.95,69.55,40.0,43.47
1491004800,42.34,61.35,40.0,33.33
1493596800,42.34,61.35,40.0,33.33
1496275200,42.34,61.35,40.0,33.33
1498867200,42.34,61.35,40.0,33.33
1501545600,42.34,61.35,40.0,33.33
1504224000,42.34,61.35,40.0,33.33
1506816000,43.53,55.95,42.0,37.65
1509494400,43.53,55.95,42.0,37.65
1512086400,43.53,55.95,42.0,37.65
1514764800,43.53,55.95,42.0,37.65
1517443200,43.53,55.95,42.0,37.65
1519862400,43.53,55.95,42.0,37.65
1522540800,43.53,55.95,42.0,37.65
1525132800,43.53,55.95,42.0,37.65
1527811200,43.53,55.95,42.0,37.65
1530403200,43.53,55.95,42.0,37.65
1533081600,46.18,66.55,42.0,37.65
1535760000,46.18,66.55,42.0,37.65
1538352000,46.18,66.55,42.0,37.65
1541030400,46.18,66.55,42.0,37.65
1543622400,46.18,66.55,42.0,37.65
1546300800,46.18,66.55,42.0,37.65
1548979200,46.18,66.55,42.0,37.65
1551398400,46.18,66.55,42.0,37.65
1554076800,46.18,66.55,42.0,37.65
1556668800,46.18,66.55,42.0,37.65
1559347200,46.18,66.55,42.0,37.65
1561939200,46.18,66.55,42.0,37.65
1564617600,46.18,66.55,42.0,37.65
1567296000,46.18,66.55,42.0,37.65
1569888000,46.5,67.85,42.0,37.65
1572566400,53.64,67.15,55.83,44.67
1575158400,53.74,67.35,53.62,46.26
1577836800,16.18,6.86,0.11,9.2
1580515200,16.18,6.86,0.11,9.2
1583020800,16.18,6.86,0.11,9.2
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,16.13,6.81,0.11,9.2
1596240000,16.13,6.81,0.11,9.2
1598918400,,,,
1601510400,16.15,6.83,0.11,9.2
1604188800,,,,
1606780800,,,,
1609459200,16.15,6.83,0.11,9.2
1612137600,16.15,6.83,0.11,9.2
1614556800,15.94,6.62,0.11,9.2
1617235200,,,,
1619827200,15.94,6.62,0.11,9.2
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,17.08,6.1,1.17,9.81
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,17.59,6.61,1.17,9.81
1646092800,,,,
1648771200,,,,
1651363200,17.59,6.61,1.17,9.81
1654041600,,,,
1656633600,,,,
1659312000,17.59,6.61,1.17,9.81
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,17.48,6.51,1.17,9.81
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,16.73,6.36,3.21,7.16
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,16.67,6.21,3.21,7.24
1730419200,16.67,6.21,3.21,7.24
1733011200,16.67,6.21,3.21,7.24
1735689600,16.67,6.21,3.21,7.24
1738368000,16.67,6.21,3.21,7.24
1740787200,16.67,6.21,3.21,7.24
1743465600,16.67,6.21,3.21,7.24
1746057600,18.01,5.12,4.34,8.54
