timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,56.0,58.0,61.0,49.0
1412121600,55.0,58.0,61.0,49.0
1414800000,56.0,58.0,61.0,49.0
1417392000,56.0,58.0,61.0,49.0
1420070400,58.0,58.0,61.0,55.0
1422748800,58.0,58.0,61.0,55.0
1425168000,58.0,58.0,61.0,54.0
1427846400,58.0,58.0,61.0,54.0
1430438400,58.0,58.0,61.0,54.0
1433116800,58.0,58.0,61.0,54.0
1435708800,58.0,58.0,61.0,54.0
1438387200,58.0,58.0,61.0,54.0
1441065600,58.0,58.0,61.0,54.0
1443657600,58.0,58.0,61.0,54.0
1446336000,58.0,58.0,61.0,54.0
1448928000,58.0,58.0,61.0,54.0
1451606400,56.85,60.49,56.83,54.28
1454284800,56.85,60.49,56.83,54.28
1456790400,56.85,60.49,56.83,54.28
1459468800,55.63,60.49,56.43,51.26
1462060800,55.63,60.49,56.43,51.26
1464739200,55.63,60.49,56.43,51.26
1467331200,55.14,60.49,56.43,49.83
1470009600,54.39,60.49,56.43,47.7
1472688000,54.39,60.49,56.43,47.7
1475280000,54.39,60.49,56.43,47.7
1477958400,54.39,60.49,56.43,47.7
1480550400,55.17,60.49,61.29,44.38
1483228800,55.01,60.49,60.87,44.38
1485907200,55.01,60.49,60.87,44.38
1488326400,55.01,60.49,60.87,44.38
1491004800,55.01,60.49,60.87,44.38
1493596800,55.01,60.49,60.87,44.38
1496275200,55.01,60.49,60.87,44.38
1498867200,55.01,60.49,60.87,44.38
1501545600,55.01,60.49,60.87,44.38
1504224000,55.01,60.49,60.87,44.38
1506816000,54.17,57.39,61.37,43.62
1509494400,54.17,57.39,61.37,43.62
1512086400,54.21,57.55,61.37,43.62
1514764800,54.21,57.55,61.37,43.62
1517443200,52.74,57.55,58.64,42.55
1519862400,52.74,57.55,58.64,42.55
1522540800,52.74,57.55,58.64,42.55
1525132800,52.74,57.55,58.64,42.55
1527811200,52.74,57.55,58.64,42.55
1530403200,52.71,57.55,58.64,42.47
1533081600,52.71,57.55,58.64,42.47
1535760000,52.71,57.55,58.64,42.47
1538352000,53.52,58.95,59.78,42.47
1541030400,53.52,58.95,59.78,42.47
1543622400,53.52,58.95,59.78,42.47
1546300800,53.52,58.95,59.78,42.47
1548979200,53.52,58.95,59.78,42.47
1551398400,52.92,55.45,59.65,43.42
1554076800,52.92,55.45,59.65,43.42
1556668800,53.17,56.45,59.65,43.42
1559347200,53.17,56.45,59.65,43.42
1561939200,53.17,56.45,59.65,43.42
1564617600,53.17,56.45,59.65,43.42
1567296000,52.6,56.45,59.65,41.78
1569888000,52.4,55.65,59.65,41.78
1572566400,52.4,55.65,59.65,41.78
1575158400,51.72,55.65,57.94,41.78
1577836800,35.15,9.61,8.24,17.29
1580515200,35.15,9.61,8.24,17.29
1583020800,35.15,9.61,8.24,17.29
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,34.94,9.36,8.32,17.26
1596240000,34.94,9.36,8.32,17.26
1598918400,,,,
1601510400,34.96,9.38,8.32,17.26
1604188800,,,,
1606780800,,,,
1609459200,34.96,9.38,8.32,17.26
1612137600,34.96,9.38,8.32,17.26
1614556800,34.96,9.38,8.32,17.26
1617235200,,,,
1619827200,28.38,8.8,8.3,11.28
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,28.14,8.56,8.3,11.28
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,28.21,8.56,8.3,11.36
1646092800,,,,
1648771200,,,,
1651363200,28.31,8.66,8.3,11.36
1654041600,,,,
1656633600,,,,
1659312000,27.77,8.42,8.36,10.99
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,27.77,8.42,8.36,10.99
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,27.64,8.3,8.36,10.99
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,24.49,7.45,6.08,10.97
1730419200,24.49,7.45,6.08,10.97
1733011200,31.38,7.5,11.87,12.0
1735689600,31.38,7.5,11.87,12.0
1738368000,31.38,7.5,11.87,12.0
1740787200,31.38,7.5,11.87,12.0
1743465600,31.38,7.5,11.87,12.0
1746057600,31.38,7.5,11.87,12.0
