timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,67.0,64.0,68.0,67.0
1412121600,67.0,64.0,68.0,67.0
1414800000,67.0,64.0,68.0,67.0
1417392000,67.0,64.0,68.0,67.0
1420070400,67.0,64.0,68.0,67.0
1422748800,67.0,64.0,68.0,67.0
1425168000,67.0,64.0,68.0,67.0
1427846400,67.0,64.0,68.0,67.0
1430438400,67.0,64.0,68.0,67.0
1433116800,67.0,64.0,68.0,67.0
1435708800,67.0,64.0,68.0,67.0
1438387200,67.0,64.0,68.0,67.0
1441065600,67.0,64.0,68.0,67.0
1443657600,67.0,64.0,68.0,67.0
1446336000,67.0,64.0,68.0,67.0
1448928000,65.0,70.0,68.0,59.0
1451606400,65.22,70.05,67.56,59.11
1454284800,65.79,64.0,65.87,66.97
1456790400,65.79,64.0,65.87,66.97
1459468800,55.58,55.0,54.11,57.69
1462060800,55.58,55.0,54.11,57.69
1464739200,55.18,55.0,53.09,57.69
1467331200,54.37,55.0,51.07,57.69
1470009600,54.37,55.0,51.07,57.69
1472688000,55.18,55.0,53.09,57.69
1475280000,55.18,55.0,53.09,57.69
1477958400,55.18,55.0,53.09,57.69
1480550400,55.18,55.0,53.09,57.69
1483228800,60.03,61.35,59.49,59.69
1485907200,60.03,61.35,59.49,59.69
1488326400,58.89,61.35,59.49,56.43
1491004800,58.89,61.35,59.49,56.43
1493596800,58.08,61.35,57.47,56.43
1496275200,58.08,61.35,57.47,56.43
1498867200,58.08,61.35,57.47,56.43
1501545600,58.08,61.35,57.47,56.43
1504224000,58.08,61.35,57.47,56.43
1506816000,58.07,57.15,59.72,56.83
1509494400,58.07,57.15,59.72,56.83
1512086400,58.07,57.15,59.72,56.83
1514764800,58.07,57.15,59.72,56.83
1517443200,58.89,56.85,61.98,56.83
1519862400,58.89,56.85,61.98,56.83
1522540800,58.89,56.85,61.98,56.83
1525132800,58.89,56.85,61.98,56.83
1527811200,58.89,56.85,61.98,56.83
1530403200,58.89,56.85,61.98,56.83
1533081600,58.89,56.85,61.98,56.83
1535760000,58.89,56.85,61.98,56.83
1538352000,58.89,56.85,61.98,56.83
1541030400,58.89,56.85,61.98,56.83
1543622400,58.89,56.85,61.98,56.83
1546300800,58.89,56.85,61.98,56.83
1548979200,58.89,56.85,61.98,56.83
1551398400,58.89,56.85,61.98,56.83
1554076800,58.89,56.85,61.98,56.83
1556668800,58.57,56.85,61.17,56.83
1559347200,58.57,56.85,61.17,56.83
1561939200,58.57,56.85,61.17,56.83
1564617600,60.39,60.25,62.47,58.12
1567296000,60.39,60.25,62.47,58.12
1569888000,60.39,60.25,62.47,58.12
1572566400,60.39,60.25,62.47,58.12
1575158400,60.1,60.25,61.73,58.12
1577836800,19.33,4.18,13.08,2.07
1580515200,19.33,4.18,13.08,2.07
1583020800,19.33,4.18,13.08,2.07
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,19.64,4.18,13.39,2.07
1596240000,19.68,4.22,13.39,2.07
1598918400,,,,
1601510400,19.7,4.24,13.39,2.07
1604188800,,,,
1606780800,,,,
1609459200,19.7,4.24,13.39,2.07
1612137600,19.7,4.24,13.39,2.07
1614556800,15.34,4.1,9.83,1.41
1617235200,,,,
1619827200,14.05,3.75,8.89,1.41
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,14.05,3.75,8.89,1.41
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,14.05,3.75,8.89,1.41
1646092800,,,,
1648771200,,,,
1651363200,14.11,3.8,8.89,1.41
1654041600,,,,
1656633600,,,,
1659312000,16.66,3.76,11.55,1.35
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,16.75,3.76,11.65,1.35
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,18.64,3.62,13.96,1.06
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,17.64,3.45,12.8,1.39
1733011200,17.64,3.45,12.8,1.39
1735689600,17.64,3.45,12.8,1.39
1738368000,17.64,3.45,12.8,1.39
1740787200,17.78,3.8,12.52,1.47
1743465600,17.78,3.8,12.52,1.47
1746057600,17.78,3.8,12.52,1.47
