timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,45.0,52.0,47.0,40.0
1412121600,45.0,52.0,48.0,40.0
1414800000,45.0,52.0,47.0,40.0
1417392000,45.0,52.0,47.0,40.0
1420070400,52.0,70.0,48.0,42.0
1422748800,52.0,70.0,48.0,42.0
1425168000,51.0,70.0,48.0,40.0
1427846400,51.0,70.0,48.0,40.0
1430438400,51.0,70.0,48.0,40.0
1433116800,51.0,70.0,48.0,40.0
1435708800,51.0,70.0,48.0,40.0
1438387200,50.0,70.0,48.0,38.0
1441065600,50.0,70.0,48.0,38.0
1443657600,50.0,70.0,48.0,38.0
1446336000,50.0,70.0,48.0,38.0
1448928000,50.0,70.0,48.0,38.0
1451606400,50.33,69.81,48.4,38.42
1454284800,54.45,69.98,51.87,45.52
1456790400,54.45,69.98,51.87,45.52
1459468800,54.51,69.83,54.04,44.56
1462060800,54.51,69.83,54.04,44.56
1464739200,55.81,69.83,56.2,46.25
1467331200,56.35,69.83,58.36,46.25
1470009600,56.35,69.83,58.36,46.25
1472688000,56.35,69.83,58.36,46.25
1475280000,56.35,69.83,58.36,46.25
1477958400,56.35,69.83,58.36,46.25
1480550400,56.35,69.83,58.36,46.25
1483228800,57.06,67.5,66.95,44.62
1485907200,57.06,67.5,66.95,44.62
1488326400,57.06,67.5,66.95,44.62
1491004800,57.06,67.5,66.95,44.62
1493596800,57.33,67.5,68.03,44.62
1496275200,57.33,67.5,68.03,44.62
1498867200,57.33,67.5,68.03,44.62
1501545600,57.33,67.5,68.03,44.62
1504224000,57.33,67.5,68.03,44.62
1506816000,58.4,64.43,74.98,45.16
1509494400,58.4,64.43,74.98,45.16
1512086400,58.4,64.43,74.98,45.16
1514764800,58.37,64.43,74.98,45.1
1517443200,60.38,61.33,80.33,48.66
1519862400,60.38,61.33,80.33,48.66
1522540800,59.62,61.33,80.33,46.97
1525132800,59.62,61.33,80.33,46.97
1527811200,59.62,61.33,80.33,46.97
1530403200,59.62,61.33,80.33,46.97
1533081600,59.62,61.33,80.33,46.97
1535760000,59.56,61.33,80.33,46.84
1538352000,59.56,61.33,80.33,46.84
1541030400,59.64,61.6,80.33,46.84
1543622400,62.26,69.97,75.55,49.74
1546300800,62.26,69.97,75.55,49.74
1548979200,62.26,69.97,75.55,49.74
1551398400,62.26,69.97,75.55,49.74
1554076800,62.26,69.97,75.55,49.74
1556668800,62.26,69.97,75.55,49.74
1559347200,62.3,70.1,75.55,49.74
1561939200,62.3,70.1,75.55,49.74
1564617600,62.3,70.1,75.55,49.74
1567296000,62.3,70.1,75.55,49.74
1569888000,62.3,70.1,75.55,49.74
1572566400,62.3,70.1,75.55,49.74
1575158400,24.84,8.09,0.06,16.69
1577836800,24.84,8.09,0.06,16.69
1580515200,24.75,8.09,0.06,16.59
1583020800,24.75,8.09,0.06,16.59
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,21.81,7.85,0.01,13.94
1596240000,21.81,7.85,0.01,13.94
1598918400,,,,
1601510400,21.83,7.88,0.01,13.94
1604188800,,,,
1606780800,,,,
1609459200,21.62,7.67,0.01,13.94
1612137600,21.62,7.67,0.01,13.94
1614556800,21.62,7.67,0.01,13.94
1617235200,,,,
1619827200,21.19,7.35,0.01,13.82
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,20.54,7.33,0.03,13.18
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,20.51,7.3,0.03,13.18
1646092800,,,,
1648771200,,,,
1651363200,20.51,7.3,0.03,13.18
1654041600,,,,
1656633600,,,,
1659312000,18.15,7.03,0.38,10.75
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,18.04,6.74,0.34,10.96
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,16.62,5.97,0.28,10.37
1730419200,16.62,5.97,0.28,10.37
1733011200,18.39,5.86,1.6,10.93
1735689600,18.39,5.86,1.6,10.93
1738368000,18.39,5.86,1.6,10.93
1740787200,18.39,5.86,1.6,10.93
1743465600,18.39,5.86,1.6,10.93
1746057600,18.39,5.86,1.6,10.93
