timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,49.0,67.0,32.0,56.0
1412121600,49.0,67.0,32.0,56.0
1414800000,49.0,67.0,32.0,56.0
1417392000,49.0,67.0,32.0,56.0
1420070400,49.0,67.0,32.0,56.0
1422748800,49.0,67.0,32.0,56.0
1425168000,49.0,67.0,32.0,56.0
1427846400,49.0,67.0,32.0,56.0
1430438400,49.0,67.0,32.0,56.0
1433116800,49.0,67.0,32.0,56.0
1435708800,49.0,67.0,32.0,56.0
1438387200,49.0,67.0,32.0,56.0
1441065600,49.0,67.0,32.0,56.0
1443657600,49.0,67.0,32.0,56.0
1446336000,49.0,67.0,32.0,56.0
1448928000,49.0,67.0,33.0,56.0
1451606400,49.18,66.75,32.5,55.71
1454284800,49.18,66.75,32.5,55.71
1456790400,49.18,66.75,32.5,55.71
1459468800,47.58,66.75,32.5,51.13
1462060800,47.58,66.75,32.5,51.13
1464739200,47.58,66.75,32.5,51.13
1467331200,47.58,66.75,32.5,51.13
1470009600,47.58,66.75,32.5,51.13
1472688000,47.58,66.75,32.5,51.13
1475280000,47.58,66.75,32.5,51.13
1477958400,47.58,66.75,32.5,51.13
1480550400,47.58,66.75,32.5,51.13
1483228800,45.53,66.75,32.5,45.27
1485907200,45.53,66.75,32.5,45.27
1488326400,48.1,68.75,35.0,48.33
1491004800,48.1,68.75,35.0,48.33
1493596800,48.1,68.75,35.0,48.33
1496275200,48.1,68.75,35.0,48.33
1498867200,48.1,68.75,35.0,48.33
1501545600,48.1,68.75,35.0,48.33
1504224000,48.1,68.75,35.0,48.33
1506816000,46.19,60.1,35.63,48.33
1509494400,46.19,60.1,35.63,48.33
1512086400,46.19,60.1,35.63,48.33
1514764800,46.19,60.1,35.63,48.33
1517443200,46.19,60.1,35.63,48.33
1519862400,46.19,60.1,35.63,48.33
1522540800,46.19,60.1,35.63,48.33
1525132800,46.19,60.1,35.63,48.33
1527811200,46.19,60.1,35.63,48.33
1530403200,46.19,60.1,35.63,48.33
1533081600,46.19,60.1,35.63,48.33
1535760000,46.19,60.1,35.63,48.33
1538352000,46.37,60.8,35.63,48.33
1541030400,46.37,60.8,35.63,48.33
1543622400,46.37,60.8,35.63,48.33
1546300800,46.37,60.8,35.63,48.33
1548979200,46.37,60.8,35.63,48.33
1551398400,46.37,60.8,35.63,48.33
1554076800,46.37,60.8,35.63,48.33
1556668800,46.37,60.8,35.63,48.33
1559347200,46.37,60.8,35.63,48.33
1561939200,46.37,60.8,35.63,48.33
1564617600,46.37,60.8,35.63,48.33
1567296000,46.37,60.8,35.63,48.33
1569888000,46.37,60.8,35.63,48.33
1572566400,47.37,64.8,35.63,48.33
1575158400,46.74,61.9,35.88,48.33
1577836800,22.17,5.4,9.88,6.89
1580515200,22.17,5.4,9.88,6.89
1583020800,22.17,5.4,9.88,6.89
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,17.61,5.34,9.88,2.39
1596240000,17.61,5.34,9.88,2.39
1598918400,,,,
1601510400,17.63,5.36,9.88,2.39
1604188800,,,,
1606780800,,,,
1609459200,20.49,7.11,1.84,11.58
1612137600,20.49,7.11,1.84,11.58
1614556800,20.49,7.11,1.84,11.58
1617235200,,,,
1619827200,20.49,7.11,1.84,11.58
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,20.21,6.8,1.83,11.57
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,20.21,6.8,1.83,11.57
1646092800,,,,
1648771200,,,,
1651363200,19.93,7.02,1.76,11.15
1654041600,,,,
1656633600,,,,
1659312000,20.25,7.34,1.76,11.15
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,20.28,7.34,1.76,11.18
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,19.31,6.92,1.76,10.63
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,18.6,5.27,1.99,11.34
1733011200,18.6,5.27,1.99,11.34
1735689600,18.6,5.27,1.99,11.34
1738368000,18.6,5.27,1.99,11.34
1740787200,18.6,5.27,1.99,11.34
1743465600,18.6,5.27,1.99,11.34
1746057600,17.05,4.6,1.59,10.86
