timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,59.0,62.0,68.0,52.0
1412121600,59.0,62.0,68.0,52.0
1414800000,59.0,62.0,68.0,52.0
1417392000,57.0,62.0,68.0,49.0
1420070400,58.0,55.0,69.0,54.0
1422748800,58.0,55.0,69.0,54.0
1425168000,56.0,55.0,65.0,51.0
1427846400,56.0,55.0,65.0,51.0
1430438400,56.0,55.0,65.0,51.0
1433116800,56.0,55.0,65.0,51.0
1435708800,56.0,55.0,65.0,51.0
1438387200,56.0,55.0,65.0,51.0
1441065600,56.0,55.0,65.0,51.0
1443657600,55.0,55.0,65.0,51.0
1446336000,56.0,55.0,65.0,51.0
1448928000,56.0,55.0,65.0,51.0
1451606400,55.58,54.78,64.6,51.11
1454284800,52.21,55.2,57.6,47.22
1456790400,50.21,55.2,57.6,42.77
1459468800,48.08,52.67,58.1,39.46
1462060800,48.08,52.67,58.1,39.46
1464739200,48.08,52.67,58.1,39.46
1467331200,48.88,48.67,58.1,43.9
1470009600,48.88,48.67,58.1,43.9
1472688000,48.88,48.67,58.1,43.9
1475280000,48.88,48.67,58.1,43.9
1477958400,48.88,48.67,58.1,43.9
1480550400,48.88,48.67,58.1,43.9
1483228800,48.88,48.67,58.1,43.9
1485907200,48.88,48.67,58.1,43.9
1488326400,48.46,47.0,54.6,46.01
1491004800,48.46,47.0,54.6,46.01
1493596800,49.21,47.0,57.6,46.01
1496275200,49.21,47.0,57.6,46.01
1498867200,49.21,47.0,57.6,46.01
1501545600,49.21,47.0,57.6,46.01
1504224000,49.21,47.0,57.6,46.01
1506816000,49.27,46.33,58.4,46.16
1509494400,49.27,46.33,58.4,46.16
1512086400,49.27,46.33,58.4,46.16
1514764800,49.85,46.92,60.0,46.16
1517443200,49.85,46.92,60.0,46.16
1519862400,51.0,47.75,63.2,46.39
1522540800,51.0,47.75,63.2,46.39
1525132800,51.0,47.75,63.2,46.39
1527811200,51.0,47.75,63.2,46.39
1530403200,51.0,47.75,63.2,46.39
1533081600,51.0,47.75,63.2,46.39
1535760000,51.0,47.75,63.2,46.39
1538352000,51.0,47.75,63.2,46.39
1541030400,50.9,47.42,63.2,46.39
1543622400,50.9,47.42,63.2,46.39
1546300800,50.9,47.42,63.2,46.39
1548979200,50.9,47.42,63.2,46.39
1551398400,50.9,47.42,63.2,46.39
1554076800,50.9,47.42,63.2,46.39
1556668800,50.9,47.42,63.2,46.39
1559347200,50.85,47.25,63.2,46.39
1561939200,50.85,47.25,63.2,46.39
1564617600,50.85,47.25,63.2,46.39
1567296000,50.85,47.25,63.2,46.39
1569888000,50.85,47.25,63.2,46.39
1572566400,50.85,47.25,63.2,46.39
1575158400,37.09,12.3,4.0,20.79
1577836800,37.09,12.3,4.0,20.79
1580515200,37.09,12.3,4.0,20.79
1583020800,36.63,12.3,4.0,20.33
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,36.82,12.03,4.62,20.16
1596240000,34.4,11.67,5.06,17.68
1598918400,,,,
1601510400,34.43,11.69,5.06,17.68
1604188800,,,,
1606780800,,,,
1609459200,34.43,11.69,5.06,17.68
1612137600,34.43,11.69,5.06,17.68
1614556800,34.43,11.69,5.06,17.68
1617235200,,,,
1619827200,34.43,11.69,5.06,17.68
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,30.9,11.86,4.21,14.83
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,30.96,11.94,4.21,14.8
1646092800,,,,
1648771200,,,,
1651363200,30.96,11.94,4.21,14.8
1654041600,,,,
1656633600,,,,
1659312000,28.52,10.84,3.72,13.96
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,28.26,11.03,3.99,13.24
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,23.59,7.96,3.75,11.88
1733011200,23.59,7.96,3.75,11.88
1735689600,21.08,5.63,3.68,11.77
1738368000,21.08,5.63,3.68,11.77
1740787200,21.08,5.63,3.68,11.77
1743465600,21.08,5.63,3.68,11.77
1746057600,21.08,5.63,3.68,11.77
