timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,52.0,64.0,51.0,46.0
1412121600,51.0,64.0,51.0,46.0
1414800000,52.0,64.0,51.0,46.0
1417392000,52.0,64.0,51.0,46.0
1420070400,52.0,65.0,51.0,46.0
1422748800,51.0,65.0,51.0,43.0
1425168000,50.0,65.0,51.0,41.0
1427846400,49.0,62.0,51.0,41.0
1430438400,49.0,62.0,51.0,41.0
1433116800,49.0,62.0,51.0,41.0
1435708800,49.0,62.0,51.0,41.0
1438387200,49.0,62.0,51.0,41.0
1441065600,49.0,62.0,51.0,41.0
1443657600,49.0,62.0,51.0,41.0
1446336000,49.0,62.0,51.0,41.0
1448928000,56.0,63.0,60.0,49.0
1451606400,55.99,63.48,60.0,49.16
1454284800,55.99,63.48,60.0,49.16
1456790400,55.99,63.48,60.0,49.16
1459468800,56.35,63.48,59.96,49.98
1462060800,56.35,63.48,59.96,49.98
1464739200,56.35,63.48,59.96,49.98
1467331200,56.35,63.48,59.96,49.98
1470009600,56.35,63.48,59.96,49.98
1472688000,56.35,63.48,59.96,49.98
1475280000,56.35,63.48,59.96,49.98
1477958400,56.35,63.48,59.96,49.98
1480550400,56.35,63.48,59.96,49.98
1483228800,56.49,62.68,59.96,50.74
1485907200,56.49,62.68,59.96,50.74
1488326400,56.49,62.68,59.96,50.74
1491004800,56.49,62.68,59.96,50.74
1493596800,56.49,62.68,59.96,50.74
1496275200,56.49,62.68,59.96,50.74
1498867200,56.49,62.68,59.96,50.74
1501545600,57.11,61.18,62.7,51.1
1504224000,57.11,61.18,62.7,51.1
1506816000,58.55,60.68,65.92,52.43
1509494400,58.55,60.68,65.92,52.43
1512086400,58.55,60.68,65.92,52.43
1514764800,58.55,60.68,65.92,52.43
1517443200,58.55,60.68,65.92,52.43
1519862400,58.55,60.68,65.92,52.43
1522540800,58.55,60.68,65.92,52.43
1525132800,58.55,60.68,65.92,52.43
1527811200,58.55,60.68,65.92,52.43
1530403200,58.55,60.68,65.92,52.43
1533081600,58.55,60.68,65.92,52.43
1535760000,58.55,60.68,65.92,52.43
1538352000,59.4,66.75,63.7,52.43
1541030400,59.44,67.45,67.08,49.88
1543622400,59.44,67.45,67.08,49.88
1546300800,59.44,67.45,67.08,49.88
1548979200,59.44,67.45,67.08,49.88
1551398400,59.24,67.45,66.41,49.88
1554076800,59.24,67.45,66.41,49.88
1556668800,59.24,67.45,66.41,49.88
1559347200,59.24,67.45,66.41,49.88
1561939200,59.24,67.45,66.41,49.88
1564617600,59.24,67.45,66.41,49.88
1567296000,59.24,67.45,66.41,49.88
1569888000,59.01,66.55,66.41,49.88
1572566400,59.01,66.55,66.41,49.88
1575158400,24.93,7.41,4.94,12.59
1577836800,24.93,7.41,4.94,12.59
1580515200,24.93,7.41,4.94,12.59
1583020800,24.93,7.41,4.94,12.59
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,26.95,7.68,4.66,14.6
1596240000,27.09,7.82,4.66,14.6
1598918400,,,,
1601510400,27.09,7.82,4.66,14.6
1604188800,,,,
1606780800,,,,
1609459200,27.09,7.82,4.66,14.6
1612137600,27.09,7.82,4.66,14.6
1614556800,27.09,7.82,4.66,14.6
1617235200,,,,
1619827200,27.09,7.82,4.66,14.6
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,23.41,7.31,2.72,13.39
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,23.41,7.31,2.72,13.39
1646092800,,,,
1648771200,,,,
1651363200,23.52,7.42,2.72,13.39
1654041600,,,,
1656633600,,,,
1659312000,26.07,7.69,5.03,13.35
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,24.63,7.07,4.19,13.38
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,24.56,7.48,4.4,12.69
1730419200,22.97,6.02,3.87,13.08
1733011200,22.97,6.02,3.87,13.08
1735689600,22.97,6.02,3.87,13.08
1738368000,22.97,6.02,3.87,13.08
1740787200,22.97,6.02,3.87,13.08
1743465600,22.97,6.02,3.87,13.08
1746057600,22.97,6.02,3.87,13.08
