timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,61.0,68.0,52.0,61.0
1412121600,61.0,68.0,52.0,61.0
1414800000,61.0,68.0,52.0,61.0
1417392000,61.0,68.0,52.0,61.0
1420070400,60.0,61.0,56.0,63.0
1422748800,60.0,61.0,56.0,63.0
1425168000,61.0,61.0,57.0,63.0
1427846400,63.0,64.0,58.0,67.0
1430438400,63.0,64.0,58.0,67.0
1433116800,63.0,64.0,58.0,67.0
1435708800,63.0,64.0,58.0,67.0
1438387200,63.0,64.0,58.0,67.0
1441065600,63.0,64.0,58.0,67.0
1443657600,63.0,64.0,58.0,67.0
1446336000,63.0,64.0,58.0,67.0
1448928000,65.0,66.0,58.0,70.0
1451606400,64.98,66.0,57.68,70.21
1454284800,64.98,66.0,57.68,70.21
1456790400,64.98,66.0,57.68,70.21
1459468800,63.85,67.07,58.11,65.42
1462060800,63.85,67.07,58.11,65.42
1464739200,63.85,67.07,58.11,65.42
1467331200,62.4,67.07,57.27,61.68
1470009600,62.4,67.07,57.27,61.68
1472688000,62.4,67.07,57.27,61.68
1475280000,62.4,67.07,57.27,61.68
1477958400,62.4,67.07,57.27,61.68
1480550400,62.4,67.07,57.27,61.68
1483228800,64.6,74.6,55.07,61.68
1485907200,64.6,74.6,55.07,61.68
1488326400,64.91,74.6,56.1,61.68
1491004800,64.91,74.6,56.1,61.68
1493596800,65.07,74.6,56.62,61.68
1496275200,65.02,74.6,56.45,61.68
1498867200,65.07,74.6,56.62,61.68
1501545600,65.02,74.6,56.45,61.68
1504224000,65.02,74.6,56.45,61.68
1506816000,64.05,70.65,56.97,62.85
1509494400,64.05,70.65,56.97,62.85
1512086400,64.05,70.65,56.97,62.85
1514764800,64.05,70.65,56.97,62.85
1517443200,64.05,70.65,56.97,62.85
1519862400,64.05,70.65,56.97,62.85
1522540800,64.05,70.65,56.97,62.85
1525132800,62.37,70.66,51.38,62.85
1527811200,62.37,70.66,51.38,62.85
1530403200,63.77,72.42,55.21,61.52
1533081600,63.77,72.42,55.21,61.52
1535760000,63.77,72.42,55.21,61.52
1538352000,63.77,72.42,55.21,61.52
1541030400,63.77,72.42,55.21,61.52
1543622400,63.77,72.42,55.21,61.52
1546300800,63.77,72.42,55.21,61.52
1548979200,63.77,72.42,55.21,61.52
1551398400,63.77,72.42,55.21,61.52
1554076800,63.77,72.42,55.21,61.52
1556668800,63.77,72.42,55.21,61.52
1559347200,64.91,72.42,55.21,65.08
1561939200,65.21,73.79,54.49,65.08
1564617600,65.21,73.79,54.49,65.08
1567296000,65.21,73.79,54.49,65.08
1569888000,65.21,73.79,54.49,65.08
1572566400,65.52,74.81,52.83,66.4
1575158400,63.61,75.31,45.83,66.4
1577836800,23.34,8.62,2.96,11.76
1580515200,23.34,8.62,2.96,11.76
1583020800,23.34,8.62,2.96,11.76
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,23.38,8.65,2.96,11.76
1596240000,23.24,8.65,2.96,11.63
1598918400,,,,
1601510400,23.26,8.67,2.96,11.63
1604188800,,,,
1606780800,,,,
1609459200,23.26,8.67,2.96,11.63
1612137600,19.5,5.78,1.94,11.79
1614556800,19.5,5.78,1.94,11.79
1617235200,,,,
1619827200,19.5,5.78,1.94,11.79
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,19.5,5.78,1.94,11.79
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,16.74,5.36,2.36,9.01
1646092800,,,,
1648771200,,,,
1651363200,16.74,5.36,2.36,9.01
1654041600,,,,
1656633600,,,,
1659312000,17.05,5.39,2.36,9.3
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,17.05,5.39,2.36,9.3
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,16.91,5.57,2.39,8.95
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,16.8,5.53,1.7,9.57
1730419200,16.8,5.53,1.7,9.57
1733011200,17.43,8.15,1.37,7.91
1735689600,17.43,8.15,1.37,7.91
1738368000,17.43,8.15,1.37,7.91
1740787200,17.43,8.15,1.37,7.91
1743465600,17.43,8.15,1.37,7.91
1746057600,17.43,8.15,1.37,7.91
