timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,65.0,71.0,66.0,61.0
1412121600,64.0,71.0,62.0,61.0
1414800000,64.0,71.0,62.0,61.0
1417392000,63.0,71.0,59.0,61.0
1420070400,63.0,71.0,59.0,61.0
1422748800,63.0,71.0,59.0,61.0
1425168000,63.0,71.0,61.0,61.0
1427846400,64.0,74.0,61.0,61.0
1430438400,64.0,74.0,61.0,61.0
1433116800,64.0,74.0,61.0,61.0
1435708800,64.0,74.0,61.0,61.0
1438387200,64.0,74.0,61.0,61.0
1441065600,64.0,74.0,61.0,61.0
1443657600,64.0,74.0,61.0,61.0
1446336000,64.0,74.0,61.0,61.0
1448928000,65.0,72.0,62.0,63.0
1451606400,64.88,71.6,62.1,63.12
1454284800,64.88,71.6,62.1,63.12
1456790400,64.88,71.6,62.1,63.12
1459468800,63.99,71.6,62.1,60.89
1462060800,63.99,71.6,62.1,60.89
1464739200,63.99,71.6,62.1,60.89
1467331200,63.99,71.6,62.1,60.89
1470009600,63.99,71.6,62.1,60.89
1472688000,63.99,71.6,62.1,60.89
1475280000,63.99,71.6,62.1,60.89
1477958400,63.99,71.6,62.1,60.89
1480550400,63.99,71.6,62.1,60.89
1483228800,62.32,73.85,58.09,58.83
1485907200,62.32,73.85,58.09,58.83
1488326400,62.32,73.85,58.09,58.83
1491004800,62.32,73.85,58.09,58.83
1493596800,60.62,73.85,53.23,58.83
1496275200,60.62,73.85,53.23,58.83
1498867200,60.62,73.85,53.23,58.83
1501545600,60.62,73.85,53.23,58.83
1504224000,60.62,73.85,53.23,58.83
1506816000,58.25,72.05,53.5,53.78
1509494400,58.25,72.05,53.5,53.78
1512086400,58.25,72.05,53.5,53.78
1514764800,58.25,72.05,53.5,53.78
1517443200,58.25,72.05,53.5,53.78
1519862400,58.25,72.05,53.5,53.78
1522540800,58.25,72.05,53.5,53.78
1525132800,58.25,72.05,53.5,53.78
1527811200,58.25,72.05,53.5,53.78
1530403200,58.25,72.05,53.5,53.78
1533081600,58.25,72.05,53.5,53.78
1535760000,58.25,72.05,53.5,53.78
1538352000,58.4,72.65,53.5,53.78
1541030400,58.4,72.65,53.5,53.78
1543622400,58.4,72.65,53.5,53.78
1546300800,56.67,67.15,52.47,53.78
1548979200,56.67,67.15,52.47,53.78
1551398400,58.45,67.15,57.56,53.78
1554076800,58.45,67.15,57.56,53.78
1556668800,58.45,67.15,57.56,53.78
1559347200,58.45,67.15,57.56,53.78
1561939200,57.85,67.15,57.56,52.28
1564617600,57.85,67.15,57.56,52.28
1567296000,57.85,67.15,57.56,52.28
1569888000,57.85,67.15,57.56,52.28
1572566400,57.16,67.45,57.56,50.38
1575158400,20.87,3.61,6.76,10.5
1577836800,20.87,3.61,6.76,10.5
1580515200,20.87,3.61,6.76,10.5
1583020800,20.87,3.61,6.76,10.5
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,20.87,3.61,6.76,10.5
1596240000,22.25,3.65,7.59,11.0
1598918400,,,,
1601510400,22.25,3.65,7.59,11.0
1604188800,,,,
1606780800,,,,
1609459200,22.17,3.58,7.59,11.0
1612137600,22.17,3.58,7.59,11.0
1614556800,22.17,3.58,7.59,11.0
1617235200,,,,
1619827200,22.88,3.58,8.31,11.0
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,25.17,3.6,9.43,12.14
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,25.22,3.65,9.43,12.14
1646092800,,,,
1648771200,,,,
1651363200,25.22,3.65,9.43,12.14
1654041600,,,,
1656633600,,,,
1659312000,25.26,3.69,9.43,12.14
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,23.45,5.6,7.3,10.55
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,20.0,3.61,7.25,9.13
1733011200,20.0,3.61,7.25,9.13
1735689600,20.0,3.61,7.25,9.13
1738368000,20.0,3.61,7.25,9.13
1740787200,20.0,3.61,7.25,9.13
1743465600,20.15,3.61,7.25,9.29
1746057600,20.15,3.61,7.25,9.29
