timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,57.0,50.0,56.0,64.0
1412121600,57.0,50.0,56.0,64.0
1414800000,57.0,50.0,56.0,64.0
1417392000,57.0,50.0,56.0,64.0
1420070400,62.0,55.0,62.0,68.0
1422748800,62.0,55.0,62.0,68.0
1425168000,61.0,55.0,62.0,66.0
1427846400,61.0,55.0,62.0,66.0
1430438400,61.0,55.0,62.0,66.0
1433116800,61.0,55.0,62.0,66.0
1435708800,59.0,55.0,62.0,61.0
1438387200,59.0,55.0,62.0,61.0
1441065600,59.0,55.0,62.0,61.0
1443657600,59.0,55.0,61.0,61.0
1446336000,59.0,55.0,61.0,61.0
1448928000,59.0,56.0,61.0,61.0
1451606400,59.08,55.72,60.83,60.96
1454284800,59.08,55.72,60.83,60.96
1456790400,59.08,55.72,60.83,60.96
1459468800,58.23,57.8,61.25,55.91
1462060800,58.23,57.8,61.25,55.91
1464739200,58.23,57.8,61.25,55.91
1467331200,57.98,57.8,60.42,55.91
1470009600,57.98,57.8,60.42,55.91
1472688000,57.98,57.8,60.42,55.91
1475280000,57.98,57.8,60.42,55.91
1477958400,57.98,57.8,60.42,55.91
1480550400,57.98,57.8,60.42,55.91
1483228800,57.98,57.8,60.42,55.91
1485907200,57.98,57.8,60.42,55.91
1488326400,57.98,57.8,60.42,55.91
1491004800,57.7,55.96,59.08,58.46
1493596800,57.82,55.96,59.5,58.46
1496275200,57.82,55.96,59.5,58.46
1498867200,57.82,55.96,59.5,58.46
1501545600,58.77,55.96,62.67,58.46
1504224000,58.77,55.96,62.67,58.46
1506816000,58.22,53.71,62.25,59.79
1509494400,58.22,53.71,62.25,59.79
1512086400,58.22,53.71,62.25,59.79
1514764800,58.22,53.71,62.25,59.79
1517443200,58.22,53.71,62.25,59.79
1519862400,58.22,53.71,62.25,59.79
1522540800,58.22,53.71,62.25,59.79
1525132800,58.22,53.71,62.25,59.79
1527811200,58.22,53.71,62.25,59.79
1530403200,58.22,53.71,62.25,59.79
1533081600,58.22,53.71,62.25,59.79
1535760000,58.22,53.71,62.25,59.79
1538352000,56.67,52.09,62.67,56.46
1541030400,57.09,53.21,62.67,56.46
1543622400,57.09,53.21,62.67,56.46
1546300800,57.09,53.21,62.67,56.46
1548979200,57.09,53.21,62.67,56.46
1551398400,57.09,53.21,62.67,56.46
1554076800,57.09,53.21,62.67,56.46
1556668800,57.09,53.21,62.67,56.46
1559347200,57.09,53.21,62.67,56.46
1561939200,57.34,53.21,63.5,56.46
1564617600,57.34,53.21,63.5,56.46
1567296000,57.34,53.21,63.5,56.46
1569888000,57.49,53.6,63.5,56.46
1572566400,57.49,53.6,63.5,56.46
1575158400,26.52,11.72,1.7,13.11
1577836800,26.52,11.72,1.7,13.11
1580515200,26.52,11.72,1.7,13.11
1583020800,26.52,11.72,1.7,13.11
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,27.04,12.45,1.39,13.19
1596240000,27.04,12.45,1.39,13.19
1598918400,,,,
1601510400,27.04,12.45,1.39,13.19
