timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,55.0,65.0,47.0,53.0
1412121600,55.0,62.0,50.0,53.0
1414800000,55.0,62.0,50.0,53.0
1417392000,61.0,64.0,57.0,61.0
1420070400,61.0,64.0,57.0,61.0
1422748800,61.0,64.0,57.0,61.0
1425168000,61.0,64.0,59.0,62.0
1427846400,61.0,64.0,59.0,62.0
1430438400,61.0,64.0,59.0,62.0
1433116800,61.0,64.0,59.0,62.0
1435708800,61.0,64.0,59.0,62.0
1438387200,61.0,64.0,59.0,62.0
1441065600,61.0,64.0,59.0,62.0
1443657600,61.0,64.0,59.0,62.0
1446336000,61.0,64.0,59.0,62.0
1448928000,61.0,64.0,59.0,62.0
1451606400,61.47,64.29,58.96,62.01
1454284800,59.19,55.0,60.21,62.01
1456790400,59.19,55.0,60.21,62.01
1459468800,58.87,59.9,61.21,54.72
1462060800,58.87,59.9,61.21,54.72
1464739200,58.87,59.9,61.21,54.72
1467331200,58.62,59.9,60.59,54.72
1470009600,58.62,59.9,60.59,54.72
1472688000,58.62,59.9,60.59,54.72
1475280000,58.58,59.76,60.59,54.72
1477958400,58.58,59.76,60.59,54.72
1480550400,58.58,59.76,60.59,54.72
1483228800,57.62,59.76,59.78,52.59
1485907200,57.62,59.76,59.78,52.59
1488326400,57.62,59.76,59.78,52.59
1491004800,57.24,57.42,60.6,52.59
1493596800,57.52,57.42,61.28,52.59
1496275200,57.52,57.42,61.28,52.59
1498867200,57.52,57.42,61.28,52.59
1501545600,57.52,57.42,61.28,52.59
1504224000,57.52,57.42,61.28,52.59
1506816000,56.75,57.05,61.26,50.44
1509494400,56.75,57.05,61.26,50.44
1512086400,56.75,57.05,61.26,50.44
1514764800,56.75,57.05,61.26,50.44
1517443200,56.75,57.05,61.26,50.44
1519862400,56.75,57.05,61.26,50.44
1522540800,56.75,57.05,61.26,50.44
1525132800,56.75,57.05,61.26,50.44
1527811200,56.75,57.05,61.26,50.44
1530403200,67.39,64.82,75.53,59.14
1533081600,67.39,64.82,75.53,59.14
1535760000,67.39,64.82,75.53,59.14
1538352000,67.39,64.82,75.53,59.14
1541030400,67.23,64.29,75.53,59.14
1543622400,67.23,64.29,75.53,59.14
1546300800,67.23,64.29,75.53,59.14
1548979200,67.23,64.29,75.53,59.14
1551398400,67.37,64.29,75.87,59.14
1554076800,67.37,64.29,75.87,59.14
1556668800,67.37,64.29,75.87,59.14
1559347200,67.37,64.29,75.87,59.14
1561939200,67.37,64.29,75.87,59.14
1564617600,67.41,64.43,75.87,59.14
1567296000,70.29,69.27,76.66,62.84
1569888000,70.29,69.27,76.66,62.84
1572566400,70.6,70.29,76.66,62.84
1575158400,68.8,71.31,71.38,62.83
1577836800,13.84,4.6,4.8,4.45
1580515200,13.84,4.6,4.8,4.45
1583020800,13.84,4.6,4.8,4.45
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,13.79,4.54,4.8,4.45
1596240000,13.79,4.54,4.8,4.45
1598918400,,,,
1601510400,13.81,4.56,4.8,4.45
1604188800,,,,
1606780800,,,,
1609459200,12.2,4.77,3.4,4.03
1612137600,12.2,4.77,3.4,4.03
1614556800,12.2,4.77,3.4,4.03
1617235200,,,,
1619827200,12.2,4.77,3.4,4.03
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,11.91,4.48,3.4,4.03
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,12.22,5.2,2.75,4.28
1646092800,,,,
1648771200,,,,
1651363200,12.22,5.2,2.75,4.28
1654041600,,,,
1656633600,,,,
1659312000,12.75,5.73,2.75,4.28
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,12.75,5.73,2.75,4.28
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,12.86,5.56,3.42,3.89
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,11.16,3.95,3.0,4.22
1733011200,11.16,3.95,3.0,4.22
1735689600,11.16,3.95,3.0,4.22
1738368000,11.16,3.95,3.0,4.22
1740787200,11.16,3.95,3.0,4.22
1743465600,11.16,3.95,3.0,4.22
1746057600,11.16,3.95,3.0,4.22
