,Open,High,Low,Close,Volume
2025-05-17,143.08999633789062,145.75,142.35000610351562,145.63999938964844,764300.0
2025-05-16,143.08999633789062,145.75,142.35000610351562,145.63999938964844,764300.0
2025-05-15,141.52000427246094,143.02999877929688,140.89999389648438,142.91000366210938,677400.0
2025-05-14,142.22000122070312,143.02000427246094,140.52999877929688,141.0800018310547,925000.0
2025-05-13,144.05999755859375,144.82000732421875,142.77999877929688,142.85000610351562,916400.0
2025-05-12,145.0,145.94000244140625,142.64999389648438,143.8000030517578,1109400.0
2025-05-11,144.04666646321616,144.6933339436849,142.15333048502603,143.1500040690104,937333.3333333333
2025-05-10,143.09333292643228,143.44666544596353,141.65666707356772,142.50000508626303,765266.6666666666
2025-05-09,142.13999938964844,142.1999969482422,141.16000366210938,141.85000610351562,593200.0
2025-05-08,141.5,142.52999877929688,140.80999755859375,140.91000366210938,882800.0
2025-05-07,139.80999755859375,141.1300048828125,139.11000061035156,140.22999572753906,898900.0
2025-05-06,139.66000366210938,141.3699951171875,139.25,139.89999389648438,908600.0
2025-05-05,140.5,141.8699951171875,140.36000061035156,140.88999938964844,664600.0
2025-05-04,140.4866689046224,141.7633310953776,140.31666564941406,140.90333048502603,716300.0
2025-05-03,140.47333780924478,141.65666707356772,140.27333068847656,140.91666158040366,768000.0
2025-05-02,140.4600067138672,141.5500030517578,140.22999572753906,140.92999267578125,819700.0
2025-05-01,139.3699951171875,140.27000427246094,138.58999633789062,138.69000244140625,631500.0
2025-04-30,138.5399932861328,139.5399932861328,136.19000244140625,139.1999969482422,842700.0
2025-04-29,137.0,138.75,136.66000366210938,138.1999969482422,968100.0
2025-04-28,137.05999755859375,138.69000244140625,136.6199951171875,137.25999450683594,918600.0
2025-04-27,137.41666666666666,138.6233367919922,136.46332804361978,137.00333150227866,963366.6666666666
2025-04-26,137.7733357747396,138.55667114257812,136.3066609700521,136.74666849772134,1008133.3333333334
2025-04-25,138.1300048828125,138.49000549316406,136.14999389648438,136.49000549316406,1052900.0
2025-04-24,139.61000061035156,142.0,134.19000244140625,139.50999450683594,2617900.0
2025-04-23,128.0500030517578,130.83999633789062,126.16000366210938,126.45999908447266,1466600.0
2025-04-22,124.16999816894531,127.05000305175781,124.16999816894531,126.81999969482422,890800.0
2025-04-21,124.6500015258789,125.27999877929688,122.13999938964844,123.2699966430664,992400.0
2025-04-20,124.86750030517578,125.77749824523926,122.98499870300293,124.03999710083008,943900.0
2025-04-19,125.08499908447266,126.27499771118164,123.82999801635742,124.80999755859375,895400.0
2025-04-18,125.30249786376953,126.77249717712402,124.67499732971191,125.57999801635742,846900.0
2025-04-17,125.5199966430664,127.2699966430664,125.5199966430664,126.3499984741211,798400.0
2025-04-16,126.47000122070312,127.22000122070312,124.36000061035156,125.12999725341797,708100.0
2025-04-15,126.38999938964844,127.98999786376953,125.91999816894531,126.9000015258789,753400.0
2025-04-14,126.19000244140625,126.98999786376953,124.83999633789062,126.29000091552734,758000.0
2025-04-13,124.76333618164062,126.58333079020183,123.34666442871094,125.91000111897786,877033.3333333334
2025-04-12,123.336669921875,126.17666371663411,121.85333251953125,125.53000132242839,996066.6666666666
2025-04-11,121.91000366210938,125.7699966430664,120.36000061035156,125.1500015258789,1115100.0
2025-04-10,123.23999786376953,123.23999786376953,118.16000366210938,122.08000183105469,1494200.0
2025-04-09,117.43000030517578,126.37999725341797,116.6500015258789,124.6500015258789,1348900.0
2025-04-08,123.02999877929688,123.69999694824219,116.56999969482422,118.5199966430664,1543200.0
2025-04-07,121.47000122070312,125.05999755859375,118.8499984741211,120.77999877929688,1604000.0
2025-04-06,122.12666829427083,126.00333150227864,120.17333221435547,121.73333231608073,1863600.0
2025-04-05,122.78333536783855,126.94666544596355,121.49666595458984,122.68666585286458,2123200.0
2025-04-04,123.44000244140625,127.88999938964844,122.81999969482422,123.63999938964844,2382800.0
2025-04-03,129.52000427246094,130.80999755859375,125.6500015258789,127.20999908447266,1646400.0
2025-04-02,129.6300048828125,133.1300048828125,129.47999572753906,132.14999389648438,909900.0
2025-04-01,130.08999633789062,131.69000244140625,129.1999969482422,131.0,1074700.0
2025-03-31,127.69999694824219,131.52000427246094,126.81999969482422,130.4600067138672,1384800.0
2025-03-30,128.6066640218099,131.36333719889322,127.21666463216145,129.7366689046224,1320000.0
