,Open,High,Low,Close,Volume
2025-05-17,164.97000122070312,167.08999633789062,164.3000030517578,166.66000366210938,1758500.0
2025-05-16,164.97000122070312,167.08999633789062,164.3000030517578,166.66000366210938,1758500.0
2025-05-15,169.14999389648438,170.17999267578125,165.6199951171875,166.2100067138672,1797100.0
2025-05-14,169.9199981689453,171.8800048828125,168.6999969482422,169.22000122070312,2124500.0
2025-05-13,168.5800018310547,173.66000366210938,167.4199981689453,169.3699951171875,2875600.0
2025-05-12,164.22999572753906,169.1199951171875,163.3000030517578,167.25,3188400.0
2025-05-11,160.3499959309896,165.61666361490884,158.38333638509116,163.72000122070312,4252100.0
2025-05-10,156.4699961344401,162.11333211263022,153.46666971842447,160.19000244140625,5315800.0
2025-05-09,152.58999633789062,158.61000061035156,148.5500030517578,156.66000366210938,6379500.0
2025-05-08,168.5,172.88999938964844,167.5,168.99000549316406,3648300.0
2025-05-07,165.0,170.22999572753906,164.6999969482422,166.55999755859375,2206900.0
2025-05-06,164.13999938964844,166.92999267578125,163.8000030517578,164.72999572753906,1729600.0
2025-05-05,160.2100067138672,166.89999389648438,159.00999450683594,165.6199951171875,1796400.0
2025-05-04,160.2100067138672,165.38666280110678,158.6066640218099,164.34332784016928,2095700.0
2025-05-03,160.2100067138672,163.87333170572916,158.20333353678384,163.06666056315103,2395000.0
2025-05-02,160.2100067138672,162.36000061035156,157.8000030517578,161.7899932861328,2694300.0
2025-05-01,159.75,162.11000061035156,157.72000122070312,157.9600067138672,2251900.0
2025-04-30,151.13999938964844,157.47999572753906,144.69000244140625,156.92999267578125,2838400.0
2025-04-29,161.0399932861328,162.13999938964844,157.64999389648438,160.14999389648438,2204900.0
2025-04-28,160.4499969482422,162.5399932861328,158.75,161.24000549316406,1470900.0
2025-04-27,160.02333068847656,161.86666361490884,158.5633341471354,160.86333719889322,1320833.3333333333
2025-04-26,159.59666442871094,161.1933339436849,158.37666829427084,160.4866689046224,1170766.6666666667
2025-04-25,159.1699981689453,160.52000427246094,158.19000244140625,160.11000061035156,1020700.0
2025-04-24,154.6999969482422,160.16000366210938,153.22000122070312,159.5500030517578,1366100.0
2025-04-23,158.5,163.75,155.07000732421875,156.27000427246094,1493800.0
2025-04-22,149.4199981689453,154.0,147.13999938964844,152.92999267578125,1484500.0
2025-04-21,149.07000732421875,150.42999267578125,144.1999969482422,146.6699981689453,1411500.0
2025-04-20,150.44500732421875,151.46499633789062,145.2624969482422,147.78999710083008,1596700.0
2025-04-19,151.82000732421875,152.5,146.3249969482422,148.90999603271484,1781900.0
2025-04-18,153.19500732421875,153.53500366210938,147.3874969482422,150.0299949645996,1967100.0
2025-04-17,154.57000732421875,154.57000732421875,148.4499969482422,151.14999389648438,2152300.0
2025-04-16,150.02000427246094,155.52000427246094,149.99000549316406,152.57000732421875,2198100.0
2025-04-15,150.2899932861328,153.6699981689453,149.99000549316406,151.58999633789062,1427300.0
2025-04-14,154.5800018310547,154.5800018310547,147.07000732421875,149.22999572753906,1854000.0
2025-04-13,152.95333353678384,153.51333618164062,146.15667215983072,149.663330078125,2277333.3333333335
2025-04-12,151.32666524251303,152.44667053222656,145.24333699544272,150.09666442871094,2700666.6666666665
2025-04-11,149.6999969482422,151.3800048828125,144.3300018310547,150.52999877929688,3124000.0
2025-04-10,155.4199981689453,156.17999267578125,146.02999877929688,149.52000427246094,2806100.0
2025-04-09,136.1300048828125,163.38999938964844,136.1300048828125,161.67999267578125,5720900.0
2025-04-08,145.5500030517578,149.5,134.25,136.6300048828125,3555300.0
2025-04-07,135.02999877929688,149.1300048828125,130.00999450683594,139.82000732421875,4698500.0
2025-04-06,138.34333292643228,148.336669921875,133.0633290608724,140.50000508626303,4682600.0
2025-04-05,141.65666707356772,147.5433349609375,136.11666361490884,141.18000284830728,4666700.0
2025-04-04,144.97000122070312,146.75,139.1699981689453,141.86000061035156,4650800.0
2025-04-03,158.9499969482422,160.05999755859375,152.19000244140625,152.3699951171875,3400900.0
2025-04-02,165.55999755859375,169.1999969482422,165.1999969482422,167.85000610351562,1915900.0
2025-04-01,166.4199981689453,168.0399932861328,162.6699981689453,167.6999969482422,2324600.0
2025-03-31,165.42999267578125,168.44000244140625,160.75999450683594,168.10000610351562,2405300.0
2025-03-30,166.24999491373697,169.1233367919922,162.4066619873047,168.10000610351562,2205933.3333333335
2025-03-29,167.06999715169272,169.80667114257812,164.05332946777344,168.10000610351562,2006566.6666666667
2025-03-28,167.88999938964844,170.49000549316406,165.6999969482422,168.10000610351562,1807200.0
2025-03-27,172.33999633789062,172.6300048828125,165.05999755859375,169.07000732421875,2219300.0
2025-03-26,176.97999572753906,178.5,172.3800048828125,173.42999267578125,1578900.0
2025-03-25,178.42999267578125,179.6999969482422,174.30999755859375,176.86000061035156,1820600.0
2025-03-24,177.55999755859375,178.55999755859375,174.58999633789062,178.2899932861328,1948600.0
2025-03-23,175.75666300455728,177.17332967122397,173.07999674479166,176.79666137695312,2771200.0
2025-03-22,173.95332845052084,175.78666178385416,171.56999715169272,175.30332946777344,3593800.0
2025-03-21,172.14999389648438,174.39999389648438,170.05999755859375,173.80999755859375,4416400.0
2025-03-20,170.80999755859375,176.27999877929688,170.80999755859375,173.08999633789062,2404700.0
2025-03-19,165.3800048828125,174.99000549316406,165.3800048828125,172.47999572753906,2219900.0
2025-03-18,166.50999450683594,169.24000549316406,164.13999938964844,165.16000366210938,1869800.0
2025-03-17,164.2899932861328,167.8000030517578,162.82000732421875,166.36000061035156,1974100.0
2025-03-16,163.02666219075522,166.23333740234375,161.6300048828125,164.9433339436849,1942533.3333333333
2025-03-15,161.7633310953776,164.6666717529297,160.44000244140625,163.52666727701822,1910966.6666666667
2025-03-14,160.5,163.10000610351562,159.25,162.11000061035156,1879400.0
2025-03-13,162.02000427246094,163.1300048828125,156.57000732421875,157.11000061035156,2167000.0
2025-03-12,166.19000244140625,166.19000244140625,159.60000610351562,162.52000427246094,2589800.0
2025-03-11,171.86000061035156,171.86000061035156,159.4499969482422,163.75,6657700.0
2025-03-10,180.82000732421875,180.82000732421875,173.8000030517578,176.60000610351562,1901400.0
2025-03-09,182.3933359781901,182.5666707356771,175.59000142415366,179.17667134602866,2020566.6666666667
2025-03-08,183.96666463216147,184.3133341471354,177.37999979654947,181.75333658854166,2139733.3333333335
2025-03-07,185.5399932861328,186.05999755859375,179.1699981689453,184.3300018310547,2258900.0
2025-03-06,186.6699981689453,189.6199951171875,183.3300018310547,184.07000732421875,1629500.0
2025-03-05,189.6999969482422,192.22999572753906,187.77000427246094,190.99000549316406,1429200.0
2025-03-04,190.83999633789062,192.5500030517578,183.5500030517578,188.6999969482422,3048000.0
2025-03-03,198.47999572753906,199.99000549316406,192.30999755859375,193.5,2080500.0
2025-03-02,196.90333048502603,199.32000223795572,192.47333272298178,194.9866689046224,1949100.0
2025-03-01,195.32666524251303,198.6499989827474,192.63666788736978,196.47333780924478,1817700.0
2025-02-28,193.75,197.97999572753906,192.8000030517578,197.9600067138672,1686300.0
2025-02-27,199.72999572753906,201.0,193.30999755859375,193.5500030517578,1443100.0
2025-02-26,202.0,204.14999389648438,198.14999389648438,199.5399932861328,1520500.0
2025-02-25,199.99000549316406,201.5,196.36000061035156,199.75999450683594,2494800.0
2025-02-24,198.75999450683594,200.77999877929688,195.32000732421875,199.97000122070312,2625700.0
2025-02-23,201.42999776204428,202.9933319091797,194.50333658854166,198.91666666666666,2603666.6666666665
