,Open,High,Low,Close,Volume
2025-05-17,231.50999450683594,232.49000549316406,226.64999389648438,229.50999450683594,2270900.0
2025-05-16,231.50999450683594,232.49000549316406,226.64999389648438,229.50999450683594,2270900.0
2025-05-15,232.14999389648438,234.0,230.77000427246094,231.11000061035156,2624500.0
2025-05-14,231.2899932861328,232.25,229.13999938964844,231.8000030517578,2238700.0
2025-05-13,235.0,235.0500030517578,230.4199981689453,231.14999389648438,2250800.0
2025-05-12,229.7100067138672,238.41000366210938,229.7100067138672,232.9499969482422,3390900.0
2025-05-11,226.00000508626303,232.40666707356772,225.50333658854166,227.90999857584634,2649900.0
2025-05-10,222.29000345865884,226.40333048502603,221.29666646321616,222.87000020345053,1908900.0
2025-05-09,218.5800018310547,220.39999389648438,217.08999633789062,217.8300018310547,1167900.0
2025-05-08,218.52000427246094,222.30999755859375,216.52000427246094,219.2100067138672,1334400.0
2025-05-07,214.14999389648438,216.8800048828125,213.55999755859375,215.55999755859375,1227700.0
2025-05-06,213.8800048828125,215.72999572753906,212.63999938964844,213.41000366210938,1104100.0
2025-05-05,217.25999450683594,219.77000427246094,216.42999267578125,216.99000549316406,1261700.0
2025-05-04,216.34332784016928,220.3800048828125,214.91666158040366,217.9000040690104,1567966.6666666665
2025-05-03,215.4266611735026,220.99000549316406,213.40333048502603,218.81000264485678,1874233.3333333333
2025-05-02,214.50999450683594,221.60000610351562,211.88999938964844,219.72000122070312,2180500.0
2025-05-01,210.32000732421875,211.88999938964844,207.83999633789062,210.05999755859375,1368400.0
2025-04-30,207.5,210.61000061035156,204.3300018310547,210.3300018310547,1278900.0
2025-04-29,208.22000122070312,211.05999755859375,207.80999755859375,209.85000610351562,1647300.0
2025-04-28,212.97999572753906,214.0500030517578,209.5500030517578,211.5,1360800.0
2025-04-27,213.04666137695312,213.90666707356772,209.0433349609375,211.5199991861979,1350166.6666666667
2025-04-26,213.1133270263672,213.7633310953776,208.5366668701172,211.53999837239584,1339533.3333333333
2025-04-25,213.17999267578125,213.6199951171875,208.02999877929688,211.55999755859375,1328900.0
