,Open,High,Low,Close,Volume
2025-05-17,807.1300048828125,807.1300048828125,784.0800170898438,791.1699829101562,1130900.0
2025-05-16,807.1300048828125,807.1300048828125,784.0800170898438,791.1699829101562,1130900.0
2025-05-15,797.27001953125,810.6099853515625,795.5700073242188,806.0,1129800.0
2025-05-14,786.75,805.3900146484375,786.75,805.0,1171400.0
2025-05-13,760.0,798.02001953125,755.6500244140625,795.9000244140625,1804800.0
2025-05-12,745.0,762.7999877929688,741.6099853515625,760.469970703125,2110300.0
2025-05-11,732.0466715494791,745.6333211263021,726.6499837239584,740.7133178710938,1725200.0
2025-05-10,719.0933430989584,728.4666544596354,711.6899820963541,720.9566650390625,1340100.0
2025-05-09,706.1400146484375,711.2999877929688,696.72998046875,701.2000122070312,955000.0
2025-05-08,703.3200073242188,710.5,692.7999877929688,703.3300170898438,906900.0
2025-05-07,680.489990234375,696.4600219726562,675.27001953125,694.3499755859375,962800.0
2025-05-06,680.8599853515625,690.0,677.6099853515625,679.4199829101562,905400.0
2025-05-05,691.02001953125,701.6099853515625,687.1199951171875,693.2899780273438,811900.0
2025-05-04,692.0966796875,703.6866658528646,689.0499877929688,694.9133097330729,825200.0
2025-05-03,693.17333984375,705.7633463541666,690.97998046875,696.5366414388021,838500.0
2025-05-02,694.25,707.8400268554688,692.9099731445312,698.1599731445312,851800.0
2025-05-01,689.2000122070312,693.0399780273438,674.760009765625,676.3099975585938,1463500.0
2025-04-30,677.0,704.989990234375,674.2000122070312,702.6900024414062,1172300.0
2025-04-29,683.6300048828125,695.3499755859375,681.739990234375,687.9500122070312,726100.0
2025-04-28,687.7000122070312,699.1400146484375,679.0499877929688,693.719970703125,736000.0
2025-04-27,685.1333414713541,699.5300089518229,679.0066528320312,694.0166422526041,701200.0
2025-04-26,682.5666707356771,699.9200032552084,678.9633178710938,694.3133138020834,666400.0
2025-04-25,680.0,700.3099975585938,678.9199829101562,694.6099853515625,631600.0
2025-04-24,674.1099853515625,690.5700073242188,664.2000122070312,689.4199829101562,1304000.0
2025-04-23,664.239990234375,672.7000122070312,652.8800048828125,657.1099853515625,945100.0
2025-04-22,626.6900024414062,639.8499755859375,625.8499755859375,636.3599853515625,1372400.0
