,Open,High,Low,Close,Volume
2025-05-17,452.04998779296875,454.3599853515625,448.7300109863281,454.2699890136719,23803400.0
2025-05-16,452.04998779296875,454.3599853515625,448.7300109863281,454.2699890136719,23803400.0
2025-05-15,450.7699890136719,456.19000244140625,450.42999267578125,453.1300048828125,21992300.0
2025-05-14,448.1400146484375,453.8999938964844,448.1400146484375,452.94000244140625,19902800.0
2025-05-13,447.7799987792969,450.6700134277344,445.3599853515625,449.1400146484375,23618800.0
2025-05-12,445.94000244140625,449.3699951171875,439.7799987792969,449.260009765625,22821900.0
2025-05-11,443.9600016276042,446.4933268229167,438.48000081380206,445.75001017252606,20322666.666666668
2025-05-10,441.98000081380206,443.6166585286458,437.1800028483073,442.24001057942706,17823433.333333332
2025-05-09,440.0,440.739990234375,435.8800048828125,438.7300109863281,15324200.0
2025-05-08,437.92999267578125,443.6700134277344,435.6600036621094,438.1700134277344,23491300.0
2025-05-07,433.8399963378906,438.1199951171875,431.1099853515625,433.3500061035156,23295300.0
2025-05-06,432.20001220703125,437.7300109863281,431.1700134277344,433.30999755859375,15104200.0
2025-05-05,432.8699951171875,439.5,432.1099853515625,436.1700134277344,20136100.0
2025-05-04,432.4933268229167,439.48000081380206,431.4033203125,435.8733418782552,23676533.333333332
2025-05-03,432.1166585286458,439.4600016276042,430.6966552734375,435.57667032877606,27216966.666666668
2025-05-02,431.739990234375,439.44000244140625,429.989990234375,435.2799987792969,30757400.0
2025-05-01,431.1099853515625,436.989990234375,424.8999938964844,425.3999938964844,58938100.0
2025-04-30,390.29998779296875,396.6600036621094,384.44000244140625,395.260009765625,36461100.0
2025-04-29,391.29998779296875,395.1000061035156,390.3800048828125,394.0400085449219,14974000.0
2025-04-28,391.9599914550781,392.739990234375,386.6400146484375,391.1600036621094,16579400.0
2025-04-27,390.30666097005206,392.5466613769531,385.9600118001302,391.39000447591144,17377333.333333332
2025-04-26,388.65333048502606,392.35333251953125,385.28000895182294,391.62000528971356,18175266.666666668
2025-04-25,387.0,392.1600036621094,384.6000061035156,391.8500061035156,18973200.0
2025-04-24,375.70001220703125,388.45001220703125,375.19000244140625,387.29998779296875,22232300.0
2025-04-23,376.05999755859375,380.3900146484375,373.0199890136719,374.3900146484375,20545500.0
2025-04-22,363.3800048828125,367.7699890136719,359.8599853515625,366.82000732421875,19485000.0
2025-04-21,362.82000732421875,364.4800109863281,355.6700134277344,359.1199951171875,20807300.0
2025-04-20,365.55250549316406,366.9400100708008,358.47501373291016,361.28499603271484,20841400.0
2025-04-19,368.2850036621094,369.40000915527344,361.28001403808594,363.4499969482422,20875500.0
2025-04-18,371.0175018310547,371.8600082397461,364.0850143432617,365.61499786376953,20909600.0
2025-04-17,373.75,374.32000732421875,366.8900146484375,367.7799987792969,20943700.0
2025-04-16,380.6700134277344,381.6099853515625,368.0,371.6099853515625,21967800.0
2025-04-15,388.510009765625,391.8900146484375,384.1600036621094,385.7300109863281,17199900.0
2025-04-14,393.2200012207031,394.6499938964844,384.2099914550781,387.80999755859375,19251200.0
2025-04-13,389.02667236328125,393.1166585286458,382.43666585286456,388.02333577473956,20780533.333333332
2025-04-12,384.8333435058594,391.5833231608073,380.66334025065106,388.23667399088544,22309866.666666668
