,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2030000.0,-284130000.0,-339360000.0,-390390000.0,
Tax Rate For Calcs,0.07,0.21,0.21,0.13,
Normalized EBITDA,3614000000.0,3923000000.0,3636000000.0,3906000000.0,
Total Unusual Items,29000000.0,-1353000000.0,-1616000000.0,-3003000000.0,
Total Unusual Items Excluding Goodwill,29000000.0,-1353000000.0,-1616000000.0,-3003000000.0,
Net Income From Continuing Operation Net Minority Interest,1686000000.0,242000000.0,-546000000.0,-413000000.0,
Reconciled Depreciation,1264000000.0,1147000000.0,1072000000.0,1056000000.0,
Reconciled Cost Of Revenue,9964000000.0,10164000000.0,10069000000.0,8430000000.0,
EBITDA,3643000000.0,2570000000.0,2020000000.0,903000000.0,
EBIT,2379000000.0,1423000000.0,948000000.0,-153000000.0,
Net Interest Income,-1104000000.0,-768000000.0,-728000000.0,-613000000.0,
Interest Expense,1485000000.0,1319000000.0,1117000000.0,911000000.0,
Interest Income,381000000.0,551000000.0,389000000.0,298000000.0,
Normalized Income,1659030000.0,1310870000.0,730640000.0,2199610000.0,
Net Income From Continuing And Discontinued Operation,1679000000.0,249000000.0,-546000000.0,-409000000.0,
Total Expenses,10252000000.0,10419000000.0,10276000000.0,8596000000.0,
Diluted Average Shares,713000000.0,712000000.0,665853659.0,670491803.0,
Basic Average Shares,706000000.0,669000000.0,665853659.0,670491803.0,
Diluted EPS,2.36,0.35,-0.82,-0.61,
Basic EPS,2.38,0.37,-0.82,-0.61,
Diluted NI Availto Com Stockholders,1679000000.0,249000000.0,-546000000.0,-409000000.0,
Net Income Common Stockholders,1679000000.0,249000000.0,-546000000.0,-409000000.0,
Net Income,1679000000.0,249000000.0,-546000000.0,-409000000.0,
Minority Interests,877000000.0,431000000.0,-41000000.0,542000000.0,
Net Income Including Noncontrolling Interests,802000000.0,-182000000.0,-505000000.0,-951000000.0,
Net Income Discontinuous Operations,-7000000.0,7000000.0,0.0,4000000.0,
Net Income Continuous Operations,809000000.0,-189000000.0,-505000000.0,-955000000.0,
Earnings From Equity Interest Net Of Tax,-26000000.0,-32000000.0,-71000000.0,-24000000.0,
Tax Provision,59000000.0,261000000.0,265000000.0,-133000000.0,
Pretax Income,894000000.0,104000000.0,-169000000.0,-1064000000.0,
Other Income Expense,-28000000.0,-1377000000.0,-1782000000.0,-2996000000.0,
Other Non Operating Income Expenses,-57000000.0,-24000000.0,-166000000.0,7000000.0,
Special Income Charges,-6000000.0,-1000000000.0,-1564000000.0,-2994000000.0,
Gain On Sale Of Ppe,-9000000.0,-30000000.0,-13000000.0,10000000.0,
Gain On Sale Of Business,351000000.0,134000000.0,-24000000.0,-1683000000.0,
Other Special Charges,10000000.0,41000000.0,-5000000.0,28000000.0,
Write Off,-12000000.0,0.0,0.0,1575000000.0,
Impairment Of Capital Assets,374000000.0,1079000000.0,1540000000.0,1575000000.0,
Restructuring And Mergern Acquisition,-24000000.0,-16000000.0,-8000000.0,-282000000.0,
Gain On Sale Of Security,35000000.0,-353000000.0,-52000000.0,-9000000.0,
Net Non Operating Interest Income Expense,-1104000000.0,-768000000.0,-728000000.0,-613000000.0,
Interest Expense Non Operating,1485000000.0,1319000000.0,1117000000.0,911000000.0,
Interest Income Non Operating,381000000.0,551000000.0,389000000.0,298000000.0,
Operating Income,2026000000.0,2249000000.0,2341000000.0,2545000000.0,
Operating Expense,288000000.0,255000000.0,207000000.0,166000000.0,
Selling General And Administration,288000000.0,255000000.0,207000000.0,166000000.0,
General And Administrative Expense,288000000.0,255000000.0,207000000.0,166000000.0,
Other Gand A,288000000.0,255000000.0,207000000.0,166000000.0,
Salaries And Wages,,12000000.0,0.0,-11000000.0,2000000.0
Gross Profit,2314000000.0,2504000000.0,2548000000.0,2711000000.0,
Cost Of Revenue,9964000000.0,10164000000.0,10069000000.0,8430000000.0,
Total Revenue,12278000000.0,12668000000.0,12617000000.0,11141000000.0,
Operating Revenue,12278000000.0,12668000000.0,12617000000.0,11141000000.0,
