,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,-17460000.0,16016000.0,-62946000.0,-20586000.0,
Tax Rate For Calcs,0.18,0.154,0.269,0.219,
Normalized EBITDA,1947000000.0,2023000000.0,2133000000.0,2014000000.0,
Total Unusual Items,-97000000.0,104000000.0,-234000000.0,-94000000.0,
Total Unusual Items Excluding Goodwill,-97000000.0,104000000.0,-234000000.0,-94000000.0,
Net Income From Continuing Operation Net Minority Interest,730000000.0,1048000000.0,805000000.0,939000000.0,
Reconciled Depreciation,595000000.0,586000000.0,625000000.0,574000000.0,
Reconciled Cost Of Revenue,10928000000.0,11969000000.0,11724000000.0,10129000000.0,
EBITDA,1850000000.0,2127000000.0,1899000000.0,1920000000.0,
EBIT,1255000000.0,1541000000.0,1274000000.0,1346000000.0,
Net Interest Income,-310000000.0,-259000000.0,-135000000.0,-139000000.0,
Interest Expense,348000000.0,290000000.0,159000000.0,153000000.0,
Interest Income,38000000.0,31000000.0,24000000.0,14000000.0,
Normalized Income,809540000.0,960016000.0,976054000.0,1012414000.0,
Net Income From Continuing And Discontinued Operation,730000000.0,1048000000.0,805000000.0,939000000.0,
Total Expenses,12329000000.0,13290000000.0,13071000000.0,11446000000.0,
Total Operating Income As Reported,1214000000.0,1508000000.0,1239000000.0,1321000000.0,
Diluted Average Shares,1441000000.0,1476000000.0,1516000000.0,1556000000.0,
Basic Average Shares,1439000000.0,1468000000.0,1509000000.0,1551000000.0,
Diluted EPS,0.505,0.705,0.529,0.602,
Basic EPS,0.505,0.709,0.532,0.604,
Diluted NI Availto Com Stockholders,727000000.0,1041000000.0,802000000.0,937000000.0,
Net Income Common Stockholders,727000000.0,1041000000.0,802000000.0,937000000.0,
Otherunder Preferred Stock Dividend,3000000.0,7000000.0,3000000.0,2000000.0,
Net Income,730000000.0,1048000000.0,805000000.0,939000000.0,
Minority Interests,-10000000.0,-10000000.0,-10000000.0,-12000000.0,
Net Income Including Noncontrolling Interests,740000000.0,1058000000.0,815000000.0,951000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-8000000.0
Net Income Continuous Operations,740000000.0,1058000000.0,815000000.0,951000000.0,
Earnings From Equity Interest Net Of Tax,-4000000.0,0.0,0.0,19000000.0,
Tax Provision,163000000.0,193000000.0,300000000.0,261000000.0,
Pretax Income,907000000.0,1251000000.0,1115000000.0,1193000000.0,
Other Income Expense,-94000000.0,106000000.0,-223000000.0,-83000000.0,
Other Non Operating Income Expenses,3000000.0,2000000.0,11000000.0,11000000.0,
Special Income Charges,-97000000.0,104000000.0,-234000000.0,-94000000.0,
Restructuring And Mergern Acquisition,97000000.0,-104000000.0,234000000.0,94000000.0,
Net Non Operating Interest Income Expense,-310000000.0,-259000000.0,-135000000.0,-139000000.0,
Interest Expense Non Operating,348000000.0,290000000.0,159000000.0,153000000.0,
Interest Income Non Operating,38000000.0,31000000.0,24000000.0,14000000.0,
Operating Income,1311000000.0,1404000000.0,1473000000.0,1415000000.0,
Operating Expense,1401000000.0,1321000000.0,1347000000.0,1317000000.0,
Other Operating Expenses,35000000.0,-26000000.0,-33000000.0,-75000000.0,
Research And Development,106000000.0,101000000.0,96000000.0,100000000.0,
Selling General And Administration,1260000000.0,1246000000.0,1284000000.0,1292000000.0,
Gross Profit,2712000000.0,2725000000.0,2820000000.0,2732000000.0,
Cost Of Revenue,10928000000.0,11969000000.0,11724000000.0,10129000000.0,
Total Revenue,13640000000.0,14694000000.0,14544000000.0,12861000000.0,
Operating Revenue,13640000000.0,14694000000.0,14544000000.0,12861000000.0,
