,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-29361990.0,-79483740.0,29088990.0,75160980.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,2038770000.0,1827165000.0,1628531000.0,1339134000.0,
Total Unusual Items,-139819000.0,-378494000.0,138519000.0,278374000.0,
Total Unusual Items Excluding Goodwill,-139819000.0,-378494000.0,138519000.0,278374000.0,
Net Income From Continuing Operation Net Minority Interest,322949000.0,103639000.0,521660000.0,571247000.0,
Reconciled Depreciation,1116701000.0,1000142000.0,927800000.0,766281000.0,
Reconciled Cost Of Revenue,994944000.0,952511000.0,857499000.0,678335000.0,
EBITDA,1898951000.0,1448671000.0,1767050000.0,1617508000.0,
EBIT,696571000.0,355198000.0,764904000.0,796447000.0,
Net Interest Income,-185838000.0,-74204000.0,-94203000.0,-142165000.0,
Interest Expense,185838000.0,74204000.0,94203000.0,142165000.0,
Normalized Income,433406010.0,402649260.0,412229990.0,368033980.0,
Net Income From Continuing And Discontinued Operation,322949000.0,103639000.0,521660000.0,571247000.0,
Total Expenses,2280004000.0,2152007000.0,1962577000.0,1596077000.0,
Diluted Average Shares,172071000.0,170909000.0,161659000.0,147460000.0,
Basic Average Shares,172071000.0,170909000.0,161659000.0,146921000.0,
Diluted EPS,1.8,0.54,3.18,3.82,
Basic EPS,1.8,0.54,3.18,3.83,
Diluted NI Availto Com Stockholders,309555000.0,92444000.0,513268000.0,563399000.0,
Net Income Common Stockholders,309555000.0,92444000.0,513268000.0,563399000.0,
Otherunder Preferred Stock Dividend,13394000.0,11195000.0,8392000.0,7848000.0,
Net Income,322949000.0,103639000.0,521660000.0,571247000.0,
Minority Interests,-187784000.0,-177355000.0,-149041000.0,-83035000.0,
Net Income Including Noncontrolling Interests,510733000.0,280994000.0,670701000.0,654282000.0,
Net Income Continuous Operations,510733000.0,280994000.0,670701000.0,654282000.0,
Pretax Income,510733000.0,280994000.0,670701000.0,654282000.0,
Other Income Expense,-73131000.0,-335251000.0,151441000.0,284275000.0,
Other Non Operating Income Expenses,66688000.0,43243000.0,12922000.0,5901000.0,
Special Income Charges,-216009000.0,-460134000.0,-67641000.0,-107673000.0,
Gain On Sale Of Business,7059000.0,980000.0,645000.0,12255000.0,
Other Special Charges,,,3317000.0,67253000.0,60668000.0
Impairment Of Capital Assets,223068000.0,461114000.0,64969000.0,52675000.0,
Earnings From Equity Interest,7059000.0,980000.0,645000.0,12255000.0,
Gain On Sale Of Security,76190000.0,81640000.0,206160000.0,386047000.0,
Net Non Operating Interest Income Expense,-185838000.0,-74204000.0,-94203000.0,-142165000.0,
Interest Expense Non Operating,185838000.0,74204000.0,94203000.0,142165000.0,
Operating Income,769702000.0,690449000.0,613463000.0,512172000.0,
Operating Expense,1370739000.0,1292827000.0,1179424000.0,972522000.0,
Depreciation Amortization Depletion Income Statement,1202380000.0,1093473000.0,1002146000.0,821061000.0,
Depreciation And Amortization In Income Statement,1202380000.0,1093473000.0,1002146000.0,821061000.0,
Selling General And Administration,168359000.0,199354000.0,177278000.0,151461000.0,
General And Administrative Expense,168359000.0,199354000.0,177278000.0,151461000.0,
Other Gand A,168359000.0,199354000.0,177278000.0,151461000.0,
Gross Profit,2140441000.0,1983276000.0,1792887000.0,1484694000.0,
Cost Of Revenue,909265000.0,859180000.0,783153000.0,623555000.0,
Total Revenue,3049706000.0,2842456000.0,2576040000.0,2108249000.0,
Operating Revenue,3049706000.0,2842456000.0,2576040000.0,2108249000.0,
