,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-27244800.0,-58281600.0,150884800.0,-24438000.0,
Tax Rate For Calcs,0.144,0.104,0.176,0.03,
Normalized EBITDA,3018700000.0,2598900000.0,3499500000.0,3694700000.0,
Total Unusual Items,-189200000.0,-560400000.0,857300000.0,-814600000.0,
Total Unusual Items Excluding Goodwill,-189200000.0,-560400000.0,857300000.0,-814600000.0,
Net Income From Continuing Operation Net Minority Interest,1632200000.0,1161100000.0,3046900000.0,1556100000.0,
Reconciled Depreciation,673200000.0,494800000.0,518400000.0,487700000.0,
Reconciled Cost Of Revenue,2083900000.0,2279200000.0,2125800000.0,2503300000.0,
EBITDA,2829500000.0,2038500000.0,4356800000.0,2880100000.0,
EBIT,2156300000.0,1543700000.0,3838400000.0,1998800000.0,
Net Interest Income,-182700000.0,29600000.0,-157300000.0,-242600000.0,
Interest Expense,250300000.0,246900000.0,246600000.0,253600000.0,
Interest Income,67600000.0,276500000.0,89300000.0,11000000.0,
Normalized Income,1794155200.0,1663218400.0,2340484800.0,2346262000.0,
Net Income From Continuing And Discontinued Operation,1632200000.0,1161100000.0,3046900000.0,1556100000.0,
Total Expenses,7457000000.0,8004500000.0,7271500000.0,8173700000.0,
Total Operating Income As Reported,,,,2840700000.0,4550100000.0
Diluted Average Shares,145900000.0,145600000.0,146000000.0,149600000.0,
Basic Average Shares,145600000.0,144700000.0,145300000.0,149100000.0,
Diluted EPS,11.18,7.97,20.87,10.4,
Basic EPS,11.21,8.02,20.96,10.44,
Diluted NI Availto Com Stockholders,1632200000.0,1161100000.0,3046900000.0,1556100000.0,
Net Income Common Stockholders,1632200000.0,1161100000.0,3046900000.0,1556100000.0,
Net Income,1632200000.0,1161100000.0,3046900000.0,1556100000.0,
Minority Interests,0.0,-400000.0,85300000.0,-171500000.0,
Net Income Including Noncontrolling Interests,1632200000.0,1161500000.0,2961600000.0,1727600000.0,
Net Income Continuous Operations,1632200000.0,1161500000.0,2961600000.0,1727600000.0,
Earnings From Equity Interest Net Of Tax,0.0,0.0,2600000.0,34900000.0,
Tax Provision,273800000.0,135300000.0,632800000.0,52500000.0,
Pretax Income,1906000000.0,1296800000.0,3591800000.0,1745200000.0,
Other Income Expense,-130200000.0,-563900000.0,847200000.0,-820200000.0,
Other Non Operating Income Expenses,59000000.0,-3500000.0,-10100000.0,-5600000.0,
Special Income Charges,-57900000.0,-218800000.0,1170100000.0,32700000.0,
Gain On Sale Of Ppe,0.0,0.0,503700000.0,0.0,
Gain On Sale Of Business,0.0,0.0,1505400000.0,0.0,
Other Special Charges,,,917000000.0,18000000.0,75000000.0
Restructuring And Mergern Acquisition,57900000.0,218800000.0,-78000000.0,-50700000.0,
Gain On Sale Of Security,-131300000.0,-341600000.0,-312800000.0,-847300000.0,
Net Non Operating Interest Income Expense,-182700000.0,29600000.0,-157300000.0,-242600000.0,
Interest Expense Non Operating,250300000.0,246900000.0,246600000.0,253600000.0,
Interest Income Non Operating,67600000.0,276500000.0,89300000.0,11000000.0,
Operating Income,2218900000.0,1831100000.0,2901900000.0,2808000000.0,
Operating Expense,5146600000.0,5471100000.0,4993200000.0,6064000000.0,
Other Operating Expenses,254400000.0,218800000.0,-7400000.0,7200000.0,
Depreciation Amortization Depletion Income Statement,446700000.0,240600000.0,365900000.0,881300000.0,
Depreciation And Amortization In Income Statement,446700000.0,240600000.0,365900000.0,881300000.0,
Amortization,446700000.0,240600000.0,365900000.0,881300000.0,
Amortization Of Intangibles Income Statement,446700000.0,240600000.0,365900000.0,881300000.0,
Research And Development,2041800000.0,2462000000.0,2231100000.0,2501200000.0,
Selling General And Administration,2403700000.0,2549700000.0,2403600000.0,2674300000.0,
Gross Profit,7365500000.0,7302200000.0,7895100000.0,8872000000.0,
Cost Of Revenue,2310400000.0,2533400000.0,2278300000.0,2109700000.0,
Total Revenue,9675900000.0,9835600000.0,10173400000.0,10981700000.0,
Operating Revenue,9023300000.0,8936300000.0,9688300000.0,10505400000.0,
