,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2706900000.0,-1880000.0,-240897000.0,-34000493.949123,
Tax Rate For Calcs,0.21,0.047,0.177,0.13386,
Normalized EBITDA,16058000000.0,19406000000.0,20582000000.0,20372000000.0,
Total Unusual Items,-12890000000.0,-40000000.0,-1361000000.0,-254000000.0,
Total Unusual Items Excluding Goodwill,-12890000000.0,-40000000.0,-1361000000.0,-254000000.0,
Net Income From Continuing Operation Net Minority Interest,-8948000000.0,8025000000.0,6327000000.0,6994000000.0,
Reconciled Depreciation,9600000000.0,9760000000.0,10276000000.0,10686000000.0,
Reconciled Cost Of Revenue,13240000000.0,9980000000.0,9456000000.0,9277000000.0,
EBITDA,3168000000.0,19366000000.0,19221000000.0,20118000000.0,
EBIT,-6432000000.0,9606000000.0,8945000000.0,9432000000.0,
Net Interest Income,-1947000000.0,-1166000000.0,-1232000000.0,-1334000000.0,
Interest Expense,1947000000.0,1166000000.0,1232000000.0,1334000000.0,
Normalized Income,1235100000.0,8063120000.0,7447103000.0,7213999506.050877,
Net Income From Continuing And Discontinued Operation,-8948000000.0,8025000000.0,6327000000.0,6994000000.0,
Total Expenses,42413000000.0,36811000000.0,37055000000.0,37848000000.0,
Diluted Average Shares,2027000000.0,2078000000.0,2146000000.0,2245000000.0,
Basic Average Shares,2027000000.0,2069000000.0,2130000000.0,2153000000.0,
Diluted EPS,-4.41,3.86,2.95,3.12,
Basic EPS,-4.41,3.88,2.97,3.24849,
Diluted NI Availto Com Stockholders,-8948000000.0,8025000000.0,6327000000.0,6994000000.0,
Net Income Common Stockholders,-8948000000.0,8025000000.0,6327000000.0,6994000000.0,
Net Income,-8948000000.0,8025000000.0,6327000000.0,6994000000.0,
Minority Interests,-15000000.0,-15000000.0,-18000000.0,-20000000.0,
Net Income Including Noncontrolling Interests,-8933000000.0,8040000000.0,6345000000.0,7014000000.0,
Net Income Continuous Operations,-8933000000.0,8040000000.0,6345000000.0,7014000000.0,
Tax Provision,554000000.0,400000000.0,1368000000.0,1084000000.0,
Pretax Income,-8379000000.0,8440000000.0,7713000000.0,8098000000.0,
Other Income Expense,-12319000000.0,1411000000.0,-159000000.0,895000000.0,
Other Non Operating Income Expenses,571000000.0,1451000000.0,1202000000.0,1149000000.0,
Special Income Charges,-13384000000.0,-329000000.0,-731000000.0,-1038000000.0,
Gain On Sale Of Business,1089000000.0,862000000.0,1043000000.0,675000000.0,
Other Special Charges,84000000.0,-390000000.0,444000000.0,363000000.0,
Impairment Of Capital Assets,47000000.0,29000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,14342000000.0,1552000000.0,1330000000.0,1350000000.0,
Earnings From Equity Interest,,-160000000.0,-801000000.0,745000000.0,1228000000.0
Gain On Sale Of Security,494000000.0,289000000.0,-630000000.0,784000000.0,
Net Non Operating Interest Income Expense,-1947000000.0,-1166000000.0,-1232000000.0,-1334000000.0,
Interest Expense Non Operating,1947000000.0,1166000000.0,1232000000.0,1334000000.0,
Operating Income,5887000000.0,8195000000.0,9104000000.0,8537000000.0,
Operating Expense,28445000000.0,26118000000.0,26918000000.0,27908000000.0,
Other Operating Expenses,,,,,530000000.0
Other Taxes,,,,0.0,76000000.0
Depreciation Amortization Depletion Income Statement,8872000000.0,9047000000.0,9595000000.0,10023000000.0,
Depreciation And Amortization In Income Statement,8872000000.0,9047000000.0,9595000000.0,10023000000.0,
Amortization,8872000000.0,9047000000.0,9595000000.0,10023000000.0,
Amortization Of Intangibles Income Statement,8872000000.0,9047000000.0,9595000000.0,10023000000.0,
Research And Development,11159000000.0,9299000000.0,9509000000.0,10195000000.0,
Selling General And Administration,8414000000.0,7772000000.0,7814000000.0,7690000000.0,
Selling And Marketing Expense,,,7814000000.0,7690000000.0,7661000000.0
Gross Profit,34332000000.0,34313000000.0,36022000000.0,36445000000.0,
Cost Of Revenue,13968000000.0,10693000000.0,10137000000.0,9940000000.0,
Total Revenue,48300000000.0,45006000000.0,46159000000.0,46385000000.0,
Operating Revenue,47257000000.0,44386000000.0,45413000000.0,45771000000.0,
