,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.204,0.207,0.198,0.214
Normalized EBITDA,1347700000.0,1237400000.0,1092500000.0,974800000.0
Net Income From Continuing Operation Net Minority Interest,698100000.0,630600000.0,539100000.0,547500000.0
Reconciled Depreciation,320100000.0,298800000.0,332600000.0,221100000.0
Reconciled Cost Of Revenue,4572900000.0,4275500000.0,4116900000.0,3570800000.0
EBITDA,1347700000.0,1237400000.0,1092500000.0,974800000.0
EBIT,1027600000.0,938600000.0,759900000.0,753700000.0
Net Interest Income,-138100000.0,-135500000.0,-84700000.0,-55300000.0
Interest Expense,150200000.0,143700000.0,87700000.0,57500000.0
Interest Income,12100000.0,8200000.0,3000000.0,2200000.0
Normalized Income,698100000.0,630600000.0,539100000.0,547500000.0
Net Income From Continuing And Discontinued Operation,698100000.0,630600000.0,539100000.0,547500000.0
Total Expenses,5489700000.0,5124500000.0,4949200000.0,4315100000.0
Total Operating Income As Reported,1017100000.0,936400000.0,759900000.0,678700000.0
Diluted Average Shares,119100000.0,119000000.0,118500000.0,117800000.0
Basic Average Shares,117700000.0,117700000.0,116700000.0,115700000.0
Diluted EPS,5.86,5.3,4.55,4.65
Basic EPS,5.93,5.36,4.62,4.73
Diluted NI Availto Com Stockholders,698100000.0,630600000.0,539100000.0,547500000.0
Net Income Common Stockholders,698100000.0,630600000.0,539100000.0,547500000.0
Net Income,698100000.0,630600000.0,539100000.0,547500000.0
Net Income Including Noncontrolling Interests,698100000.0,630600000.0,539100000.0,547500000.0
Net Income Continuous Operations,698100000.0,630600000.0,539100000.0,547500000.0
Tax Provision,179300000.0,164300000.0,133100000.0,148700000.0
Pretax Income,877400000.0,794900000.0,672200000.0,696200000.0
Other Income Expense,-1700000.0,-6000000.0,-3000000.0,72700000.0
Other Non Operating Income Expenses,-1700000.0,-6000000.0,-3000000.0,72700000.0
Net Non Operating Interest Income Expense,-138100000.0,-135500000.0,-84700000.0,-55300000.0
Interest Expense Non Operating,150200000.0,143700000.0,87700000.0,57500000.0
Interest Income Non Operating,12100000.0,8200000.0,3000000.0,2200000.0
Operating Income,1017100000.0,936400000.0,759900000.0,678600000.0
Operating Expense,916800000.0,849000000.0,832300000.0,744300000.0
Selling General And Administration,916800000.0,849000000.0,832300000.0,744300000.0
Gross Profit,1933900000.0,1785400000.0,1592200000.0,1422900000.0
Cost Of Revenue,4572900000.0,4275500000.0,4116900000.0,3570800000.0
Total Revenue,6506800000.0,6060900000.0,5709100000.0,4993700000.0
Operating Revenue,6506800000.0,6060900000.0,5709100000.0,4993700000.0
