,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2026080.0,403200.0,91889490.0,21348360.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,1628406000.0,1701829000.0,1772356000.0,1697062000.0,
Total Unusual Items,-9648000.0,1920000.0,437569000.0,79068000.0,
Total Unusual Items Excluding Goodwill,-9648000.0,1920000.0,437569000.0,79068000.0,
Net Income From Continuing Operation Net Minority Interest,14272000.0,190215000.0,848947000.0,505195000.0,
Reconciled Depreciation,889453000.0,832753000.0,752202000.0,720852000.0,
Reconciled Cost Of Revenue,1319864000.0,1214232000.0,1133121000.0,1030633000.0,
EBITDA,1618758000.0,1703749000.0,2209925000.0,1776130000.0,
EBIT,729305000.0,870996000.0,1457723000.0,1055278000.0,
Net Interest Income,-584918000.0,-509608000.0,-425199000.0,-417642000.0,
Interest Expense,645117000.0,579572000.0,437139000.0,423346000.0,
Interest Income,60199000.0,69964000.0,11940000.0,5704000.0,
Normalized Income,21893920.0,188698200.0,503267490.0,447475360.0,
Net Income From Continuing And Discontinued Operation,14272000.0,190215000.0,848947000.0,505195000.0,
Total Expenses,2385788000.0,2234914000.0,2047151000.0,1915545000.0,
Rent Expense Supplemental,,1183947000.0,1108070000.0,1021151000.0,1017208000.0
Diluted Average Shares,157793000.0,157201500.0,157136000.0,156459000.0,
Basic Average Shares,157468000.0,156863500.0,156724250.0,156120750.0,
Diluted EPS,0.09,1.20864,5.4,3.17,
Basic EPS,0.09,1.21308,5.416737,3.178418,
Diluted NI Availto Com Stockholders,14272000.0,190215000.0,848056000.0,496223000.0,
Average Dilution Earnings,,,,,0.0
Net Income Common Stockholders,14272000.0,190215000.0,848056000.0,496223000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,891000.0,0.0,
Preferred Stock Dividends,,,,8972000.0,10500000.0
Net Income,14272000.0,190215000.0,848947000.0,505195000.0,
Minority Interests,-69916000.0,-101209000.0,-171637000.0,-126737000.0,
Net Income Including Noncontrolling Interests,84188000.0,291424000.0,1020584000.0,631932000.0,
Net Income Continuous Operations,84188000.0,291424000.0,1020584000.0,631932000.0,
Pretax Income,84188000.0,291424000.0,1020584000.0,631932000.0,
Other Income Expense,-352825000.0,-237623000.0,384353000.0,76498000.0,
Other Non Operating Income Expenses,,,6624000.0,,
Special Income Charges,-15212000.0,-4313000.0,7153000.0,-50218000.0,
Gain On Sale Of Ppe,0.0,0.0,10058000.0,0.0,
Other Special Charges,,,,45182000.0,
Write Off,13615000.0,0.0,0.0,,
Impairment Of Capital Assets,,,,0.0,0.0
Restructuring And Mergern Acquisition,1597000.0,4313000.0,2905000.0,5036000.0,
Earnings From Equity Interest,-343177000.0,-239543000.0,-59840000.0,-2570000.0,
Gain On Sale Of Security,5564000.0,6233000.0,430416000.0,129286000.0,
Net Non Operating Interest Income Expense,-584918000.0,-509608000.0,-425199000.0,-417642000.0,
Interest Expense Non Operating,645117000.0,579572000.0,437139000.0,423346000.0,
Interest Income Non Operating,60199000.0,69964000.0,11940000.0,5704000.0,
Operating Income,1021931000.0,1038655000.0,1061430000.0,973076000.0,
Operating Expense,1063662000.0,1018742000.0,911603000.0,881396000.0,
Depreciation Amortization Depletion Income Statement,887191000.0,830813000.0,749775000.0,717336000.0,
Depreciation And Amortization In Income Statement,887191000.0,830813000.0,749775000.0,717336000.0,
Selling General And Administration,176471000.0,187929000.0,161828000.0,164060000.0,
General And Administrative Expense,176471000.0,187929000.0,161828000.0,164060000.0,
Other Gand A,159983000.0,170158000.0,146378000.0,151573000.0,
Salaries And Wages,16488000.0,17771000.0,15450000.0,12487000.0,
Gross Profit,2085593000.0,2057397000.0,1973033000.0,1854472000.0,
Cost Of Revenue,1322126000.0,1216172000.0,1135548000.0,1034149000.0,
Total Revenue,3407719000.0,3273569000.0,3108581000.0,2888621000.0,
Operating Revenue,3391231000.0,3255798000.0,3093131000.0,2876134000.0,
