,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,5022000.0,-2562000.0,-62652000.0,-95343000.0,
Tax Rate For Calcs,0.162,0.183,0.227,0.183,
Normalized EBITDA,2795000000.0,3275000000.0,6557000000.0,3127000000.0,
Total Unusual Items,31000000.0,-14000000.0,-276000000.0,-521000000.0,
Total Unusual Items Excluding Goodwill,31000000.0,-14000000.0,-276000000.0,-521000000.0,
Net Income From Continuing Operation Net Minority Interest,1218000000.0,1525000000.0,3346000000.0,917000000.0,
Reconciled Depreciation,925000000.0,869000000.0,850000000.0,888000000.0,
Reconciled Cost Of Revenue,3880000000.0,4086000000.0,5325000000.0,4151000000.0,
EBITDA,2826000000.0,3261000000.0,6281000000.0,2606000000.0,
EBIT,1901000000.0,2392000000.0,5431000000.0,1718000000.0,
Net Interest Income,2000000.0,8000000.0,-279000000.0,-183000000.0,
Interest Expense,139000000.0,144000000.0,336000000.0,175000000.0,
Interest Income,150000000.0,160000000.0,65000000.0,1000000.0,
Normalized Income,1192022000.0,1536438000.0,3559348000.0,1342657000.0,
Net Income From Continuing And Discontinued Operation,1218000000.0,1525000000.0,3346000000.0,917000000.0,
Total Expenses,4225000000.0,4379000000.0,5615000000.0,4354000000.0,
Total Operating Income As Reported,1746000000.0,2230000000.0,5397000000.0,1729000000.0,
Diluted Average Shares,180700000.0,193800000.0,204200000.0,216200000.0,
Basic Average Shares,180400000.0,193300000.0,203300000.0,215000000.0,
Diluted EPS,6.74,7.87,16.38,4.24,
Basic EPS,6.75,7.89,16.45,4.27,
Diluted NI Availto Com Stockholders,1218000000.0,1525000000.0,3346000000.0,917000000.0,
Net Income Common Stockholders,1218000000.0,1525000000.0,3346000000.0,917000000.0,
Net Income,1218000000.0,1525000000.0,3346000000.0,917000000.0,
Minority Interests,-259000000.0,-313000000.0,-591000000.0,-343000000.0,
Net Income Including Noncontrolling Interests,1477000000.0,1838000000.0,3937000000.0,1260000000.0,
Net Income Continuous Operations,1477000000.0,1838000000.0,3937000000.0,1260000000.0,
Tax Provision,285000000.0,410000000.0,1158000000.0,283000000.0,
Pretax Income,1762000000.0,2248000000.0,5095000000.0,1543000000.0,
Other Income Expense,49000000.0,-12000000.0,-197000000.0,-458000000.0,
Other Non Operating Income Expenses,14000000.0,10000000.0,-15000000.0,16000000.0,
Special Income Charges,31000000.0,-14000000.0,-262000000.0,-514000000.0,
Gain On Sale Of Ppe,35000000.0,35000000.0,4000000.0,26000000.0,
Other Special Charges,,,8000000.0,19000000.0,-37000000.0
Impairment Of Capital Assets,0.0,0.0,239000000.0,521000000.0,
Restructuring And Mergern Acquisition,4000000.0,49000000.0,19000000.0,0.0,
Earnings From Equity Interest,4000000.0,-8000000.0,94000000.0,47000000.0,
Gain On Sale Of Security,,,-14000000.0,-7000000.0,-8000000.0
Net Non Operating Interest Income Expense,2000000.0,8000000.0,-279000000.0,-183000000.0,
Total Other Finance Cost,9000000.0,8000000.0,8000000.0,9000000.0,
Interest Expense Non Operating,139000000.0,144000000.0,336000000.0,175000000.0,
Interest Income Non Operating,150000000.0,160000000.0,65000000.0,1000000.0,
Operating Income,1711000000.0,2252000000.0,5571000000.0,2184000000.0,
Operating Expense,345000000.0,293000000.0,290000000.0,203000000.0,
Other Operating Expenses,25000000.0,4000000.0,,-20000000.0,-3000000.0
Selling General And Administration,320000000.0,289000000.0,290000000.0,223000000.0,
General And Administrative Expense,320000000.0,289000000.0,290000000.0,223000000.0,
Other Gand A,320000000.0,289000000.0,290000000.0,223000000.0,
Gross Profit,2056000000.0,2545000000.0,5861000000.0,2387000000.0,
Cost Of Revenue,3880000000.0,4086000000.0,5325000000.0,4151000000.0,
Total Revenue,5936000000.0,6631000000.0,11186000000.0,6538000000.0,
Operating Revenue,5936000000.0,6631000000.0,11186000000.0,6538000000.0,
