,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.198,0.19,0.298271,0.197
Net Income From Continuing Operation Net Minority Interest,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Reconciled Depreciation,130000000.0,112000000.0,127000000.0,118000000.0
EBIT,2911000000.0,2330000000.0,-641000000.0,3751000000.0
Net Interest Income,-53000000.0,-54000000.0,-53000000.0,-53000000.0
Interest Expense,53000000.0,54000000.0,53000000.0,53000000.0
Interest Income,1016000000.0,882000000.0,785000000.0,723000000.0
Normalized Income,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Net Income From Continuing And Discontinued Operation,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Total Expenses,8479000000.0,7737000000.0,7257000000.0,5928000000.0
Diluted Average Shares,157800000.0,158100000.0,158823529.0,162700000.0
Basic Average Shares,156400000.0,156984668.0,158823529.0,161071624.0
Diluted EPS,14.53,11.66,-3.06,18.1
Basic EPS,14.65,11.74,-3.06,18.29
Diluted NI Availto Com Stockholders,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Net Income Common Stockholders,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Net Income,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Net Income Including Noncontrolling Interests,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Net Income Continuous Operations,2292000000.0,1843000000.0,-487000000.0,2968000000.0
Tax Provision,566000000.0,433000000.0,-207000000.0,730000000.0
Pretax Income,2858000000.0,2276000000.0,-694000000.0,3698000000.0
Other Income Expense,15000000.0,13000000.0,10000000.0,10000000.0
Net Non Operating Interest Income Expense,-53000000.0,-54000000.0,-53000000.0,-53000000.0
Interest Expense Non Operating,53000000.0,54000000.0,53000000.0,53000000.0
Other Operating Expenses,32000000.0,25000000.0,23000000.0,20000000.0
Total Revenue,11337000000.0,10013000000.0,6563000000.0,9626000000.0
Operating Revenue,11337000000.0,10013000000.0,6563000000.0,9626000000.0
Loss Adjustment Expense,5737000000.0,5274000000.0,5019000000.0,3909000000.0
Net Policyholder Benefits And Claims,5737000000.0,5274000000.0,5019000000.0,3909000000.0
Policyholder Benefits Gross,5819000000.0,5514000000.0,5285000000.0,4098000000.0
Policyholder Benefits Ceded,82000000.0,240000000.0,266000000.0,189000000.0
