,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,499800.0,0.0,5764500.0,-458000.0,
Tax Rate For Calcs,0.1666,0.2364,0.2135,0.229,
Normalized EBITDA,3305000000.0,3860000000.0,6857000000.0,2259000000.0,
Total Unusual Items,3000000.0,0.0,27000000.0,-2000000.0,
Total Unusual Items Excluding Goodwill,3000000.0,0.0,27000000.0,-2000000.0,
Net Income From Continuing Operation Net Minority Interest,1121000000.0,1625000000.0,4065000000.0,1158000000.0,
Reconciled Depreciation,1845000000.0,1641000000.0,1635000000.0,693000000.0,
Reconciled Cost Of Revenue,3463000000.0,3168000000.0,3050000000.0,1512000000.0,
EBITDA,3308000000.0,3860000000.0,6884000000.0,2257000000.0,
EBIT,1463000000.0,2219000000.0,5249000000.0,1564000000.0,
Net Interest Income,-44000000.0,-26000000.0,-70000000.0,-62000000.0,
Interest Expense,118000000.0,91000000.0,80000000.0,62000000.0,
Interest Income,83000000.0,68000000.0,10000000.0,0.0,
Normalized Income,1118499800.0,1625000000.0,4043764500.0,1159542000.0,
Net Income From Continuing And Discontinued Operation,1121000000.0,1625000000.0,4065000000.0,1158000000.0,
Total Expenses,4072000000.0,3760000000.0,3841000000.0,1883000000.0,
Total Operating Income As Reported,1389000000.0,2154000000.0,5209000000.0,1564000000.0,
Diluted Average Shares,745000000.0,756000000.0,796000000.0,503000000.0,
Basic Average Shares,742000000.0,756000000.0,796000000.0,503000000.0,
Diluted EPS,1.5,2.14,5.09,2.3,
Basic EPS,1.51,2.14,5.09,2.3,
Diluted NI Availto Com Stockholders,1120000000.0,1620000000.0,4057000000.0,1155000000.0,
Net Income Common Stockholders,1120000000.0,1620000000.0,4057000000.0,1155000000.0,
Otherunder Preferred Stock Dividend,1000000.0,5000000.0,7000000.0,2000000.0,
Preferred Stock Dividends,,,1000000.0,1000000.0,
Net Income,1121000000.0,1625000000.0,4065000000.0,1158000000.0,
Net Income Including Noncontrolling Interests,1121000000.0,1625000000.0,4065000000.0,1158000000.0,
Net Income Continuous Operations,1121000000.0,1625000000.0,4065000000.0,1158000000.0,
Tax Provision,224000000.0,503000000.0,1104000000.0,344000000.0,
Pretax Income,1345000000.0,2128000000.0,5169000000.0,1502000000.0,
Other Income Expense,3000000.0,,29000000.0,-2000000.0,-779000.0
Other Non Operating Income Expenses,,,2000000.0,,-229000.0
Special Income Charges,3000000.0,0.0,27000000.0,-2000000.0,
Gain On Sale Of Ppe,3000000.0,12000000.0,-1000000.0,-2000000.0,
Other Special Charges,,,-28000000.0,,
Restructuring And Mergern Acquisition,0.0,12000000.0,69000000.0,106000000.0,
Earnings From Equity Interest,,,,0.0,-59000.0
Net Non Operating Interest Income Expense,-44000000.0,-26000000.0,-70000000.0,-62000000.0,
Total Other Finance Cost,9000000.0,3000000.0,4000000.0,3000000.0,
Interest Expense Non Operating,118000000.0,91000000.0,80000000.0,62000000.0,
Interest Income Non Operating,83000000.0,68000000.0,10000000.0,0.0,
Operating Income,1386000000.0,2154000000.0,5210000000.0,1566000000.0,
Operating Expense,609000000.0,592000000.0,791000000.0,371000000.0,
Other Operating Expenses,36000000.0,30000000.0,29000000.0,18000000.0,
Other Taxes,271000000.0,283000000.0,366000000.0,83000000.0,
Depreciation Amortization Depletion Income Statement,,,1626000000.0,687000000.0,
Depletion Income Statement,,,1474000000.0,663000000.0,
Depreciation And Amortization In Income Statement,,,152000000.0,24000000.0,
Amortization,,,61000000.0,1000000.0,
Amortization Of Intangibles Income Statement,,,61000000.0,1000000.0,
Depreciation Income Statement,,,91000000.0,23000000.0,
Selling General And Administration,302000000.0,279000000.0,396000000.0,270000000.0,
General And Administrative Expense,302000000.0,279000000.0,396000000.0,270000000.0,
Other Gand A,240000000.0,220000000.0,396000000.0,270000000.0,
Salaries And Wages,62000000.0,59000000.0,86000000.0,57000000.0,
Gross Profit,1995000000.0,2746000000.0,6001000000.0,1937000000.0,
Cost Of Revenue,3463000000.0,3168000000.0,3050000000.0,1512000000.0,
Total Revenue,5458000000.0,5914000000.0,9051000000.0,3449000000.0,
Operating Revenue,5384000000.0,5603000000.0,9449000000.0,3657000000.0,
