,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-154068000.0,-215040000.0,-68085000.0,-2132000.0,
Tax Rate For Calcs,0.347,0.21,0.267,0.164,
Normalized EBITDA,3196000000.0,3071000000.0,3330000000.0,3094000000.0,
Total Unusual Items,-444000000.0,-1024000000.0,-255000000.0,-13000000.0,
Total Unusual Items Excluding Goodwill,-444000000.0,-1024000000.0,-255000000.0,-13000000.0,
Net Income From Continuing Operation Net Minority Interest,743000000.0,494000000.0,1012000000.0,1159000000.0,
Reconciled Depreciation,1194000000.0,1147000000.0,1135000000.0,1112000000.0,
Reconciled Cost Of Revenue,7280000000.0,7288000000.0,7857000000.0,7425000000.0,
EBITDA,2752000000.0,2047000000.0,3075000000.0,3081000000.0,
EBIT,1558000000.0,900000000.0,1940000000.0,1969000000.0,
Net Interest Income,-293000000.0,-241000000.0,-442000000.0,-513000000.0,
Interest Expense,366000000.0,396000000.0,492000000.0,525000000.0,
Interest Income,73000000.0,155000000.0,50000000.0,12000000.0,
Normalized Income,1032932000.0,1302960000.0,1198915000.0,1169868000.0,
Net Income From Continuing And Discontinued Operation,703000000.0,423000000.0,5868000000.0,6467000000.0,
Total Expenses,10557000000.0,10351000000.0,10995000000.0,10696000000.0,
Diluted Average Shares,420600000.0,451200000.0,499400000.0,544200000.0,
Basic Average Shares,419200000.0,449900000.0,498500000.0,542700000.0,
Diluted EPS,1.67,0.94,11.61,2.16,
Basic EPS,1.68,0.94,11.63,2.17,
Diluted NI Availto Com Stockholders,703000000.0,423000000.0,5868000000.0,6467000000.0,
Net Income Common Stockholders,703000000.0,423000000.0,5868000000.0,6467000000.0,
Otherunder Preferred Stock Dividend,,,,0.0,0.0
Net Income,703000000.0,423000000.0,5868000000.0,6467000000.0,
Minority Interests,-35000000.0,-39000000.0,-49000000.0,-48000000.0,
Net Income Including Noncontrolling Interests,738000000.0,462000000.0,5917000000.0,6515000000.0,
Net Income Discontinuous Operations,-40000000.0,-71000000.0,4856000000.0,5308000000.0,
Net Income Continuous Operations,778000000.0,533000000.0,1061000000.0,1207000000.0,
Tax Provision,414000000.0,-29000000.0,387000000.0,237000000.0,
Pretax Income,1192000000.0,504000000.0,1448000000.0,1444000000.0,
Other Income Expense,-344000000.0,-972000000.0,-132000000.0,87000000.0,
Other Non Operating Income Expenses,40000000.0,1000000.0,48000000.0,15000000.0,
Special Income Charges,-309000000.0,-951000000.0,-270000000.0,40000000.0,
Gain On Sale Of Ppe,,,,,642000000.0
Gain On Sale Of Business,20000000.0,19000000.0,78000000.0,171000000.0,
Other Special Charges,74000000.0,,,,
Impairment Of Capital Assets,0.0,804000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,255000000.0,166000000.0,348000000.0,131000000.0,
Earnings From Equity Interest,60000000.0,51000000.0,75000000.0,85000000.0,
Gain On Sale Of Security,-135000000.0,-73000000.0,15000000.0,-53000000.0,
Net Non Operating Interest Income Expense,-293000000.0,-241000000.0,-442000000.0,-513000000.0,
Interest Expense Non Operating,366000000.0,396000000.0,492000000.0,525000000.0,
Interest Income Non Operating,73000000.0,155000000.0,50000000.0,12000000.0,
Operating Income,1829000000.0,1717000000.0,2022000000.0,1870000000.0,
Operating Expense,2678000000.0,2516000000.0,2593000000.0,2725000000.0,
Depreciation Amortization Depletion Income Statement,595000000.0,600000000.0,590000000.0,566000000.0,
Depreciation And Amortization In Income Statement,595000000.0,600000000.0,590000000.0,566000000.0,
Amortization,595000000.0,600000000.0,590000000.0,566000000.0,
Amortization Of Intangibles Income Statement,595000000.0,600000000.0,590000000.0,566000000.0,
Research And Development,531000000.0,508000000.0,536000000.0,557000000.0,
Selling General And Administration,1552000000.0,1408000000.0,1467000000.0,1602000000.0,
General And Administrative Expense,,1408000000.0,1439000000.0,1602000000.0,
Other Gand A,,1408000000.0,1467000000.0,1602000000.0,
Salaries And Wages,,9000000.0,-28000000.0,-30000000.0,
Gross Profit,4507000000.0,4233000000.0,4615000000.0,4595000000.0,
Cost Of Revenue,7879000000.0,7835000000.0,8402000000.0,7971000000.0,
Total Revenue,12386000000.0,12068000000.0,13017000000.0,12566000000.0,
Operating Revenue,12386000000.0,12068000000.0,13017000000.0,12566000000.0,
