,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-4200000.0,5400000.0,9680000.0,-420000.0,
Tax Rate For Calcs,0.21,0.18,0.22,0.02,
Normalized EBITDA,7388000000.0,7516000000.0,10324000000.0,5465000000.0,
Total Unusual Items,-20000000.0,30000000.0,44000000.0,-21000000.0,
Total Unusual Items Excluding Goodwill,-20000000.0,30000000.0,44000000.0,-21000000.0,
Net Income From Continuing Operation Net Minority Interest,2891000000.0,3747000000.0,6015000000.0,2813000000.0,
Reconciled Depreciation,3255000000.0,2554000000.0,2223000000.0,2158000000.0,
Reconciled Cost Of Revenue,11230000000.0,9891000000.0,10800000000.0,8527000000.0,
EBITDA,7368000000.0,7546000000.0,10368000000.0,5444000000.0,
EBIT,4113000000.0,4992000000.0,8145000000.0,3286000000.0,
Net Interest Income,-363000000.0,-308000000.0,-309000000.0,-359000000.0,
Interest Expense,401000000.0,369000000.0,370000000.0,388000000.0,
Interest Income,62000000.0,55000000.0,38000000.0,2000000.0,
Normalized Income,2906800000.0,3722400000.0,5980680000.0,2833580000.0,
Net Income From Continuing And Discontinued Operation,2891000000.0,3747000000.0,6015000000.0,2813000000.0,
Total Expenses,11797000000.0,10348000000.0,11249000000.0,8960000000.0,
Diluted Average Shares,634000000.0,642000000.0,659000000.0,663000000.0,
Basic Average Shares,632000000.0,639000000.0,657250000.0,663000000.0,
Diluted EPS,4.56,5.84,9.12,4.19,
Basic EPS,4.58,5.86,9.151769,4.2,
Diluted NI Availto Com Stockholders,2891000000.0,3747000000.0,6015000000.0,2813000000.0,
Net Income Common Stockholders,2891000000.0,3747000000.0,6015000000.0,2813000000.0,
Otherunder Preferred Stock Dividend,,,57000000.0,30000000.0,
Net Income,2891000000.0,3747000000.0,6015000000.0,2813000000.0,
Minority Interests,-51000000.0,-35000000.0,-22000000.0,-20000000.0,
Net Income Including Noncontrolling Interests,2942000000.0,3782000000.0,6037000000.0,2833000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-128000000.0
Net Income Continuous Operations,2942000000.0,3782000000.0,6037000000.0,2833000000.0,
Tax Provision,770000000.0,841000000.0,1738000000.0,65000000.0,
Pretax Income,3712000000.0,4623000000.0,7775000000.0,2898000000.0,
Other Income Expense,-68000000.0,21000000.0,164000000.0,11000000.0,
Other Non Operating Income Expenses,-48000000.0,-9000000.0,120000000.0,32000000.0,
Special Income Charges,-20000000.0,30000000.0,44000000.0,-21000000.0,
Gain On Sale Of Ppe,-11000000.0,30000000.0,44000000.0,168000000.0,
Other Special Charges,,,,-30000000.0,
Write Off,,,0.0,0.0,29000000.0
Impairment Of Capital Assets,,,,0.0,2664000000.0
Restructuring And Mergern Acquisition,9000000.0,0.0,0.0,219000000.0,
Net Non Operating Interest Income Expense,-363000000.0,-308000000.0,-309000000.0,-359000000.0,
Total Other Finance Cost,24000000.0,-6000000.0,-23000000.0,-27000000.0,
Interest Expense Non Operating,401000000.0,369000000.0,370000000.0,388000000.0,
Interest Income Non Operating,62000000.0,55000000.0,38000000.0,2000000.0,
Operating Income,4143000000.0,4910000000.0,7920000000.0,3246000000.0,
Operating Expense,567000000.0,457000000.0,449000000.0,433000000.0,
Other Operating Expenses,67000000.0,49000000.0,54000000.0,42000000.0,
Selling General And Administration,500000000.0,408000000.0,395000000.0,391000000.0,
General And Administrative Expense,500000000.0,408000000.0,395000000.0,391000000.0,
Other Gand A,215000000.0,198000000.0,395000000.0,391000000.0,
Salaries And Wages,285000000.0,210000000.0,229000000.0,255000000.0,
Gross Profit,4710000000.0,5367000000.0,8369000000.0,3679000000.0,
Cost Of Revenue,11230000000.0,9891000000.0,10800000000.0,8527000000.0,
Total Revenue,15940000000.0,15258000000.0,19169000000.0,12206000000.0,
Operating Revenue,15940000000.0,15258000000.0,19169000000.0,12206000000.0,
