,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.080375,0.21,0.21,0.108021,
Net Income From Continuing Operation Net Minority Interest,1373000000.0,2517000000.0,597000000.0,1379000000.0,
EBIT,1642000000.0,2288000000.0,689000000.0,1616000000.0,
Net Interest Income,-149000000.0,-134000000.0,-101000000.0,-70000000.0,
Interest Expense,149000000.0,134000000.0,101000000.0,70000000.0,
Interest Income,26000000.0,10000000.0,2000000.0,12000000.0,
Normalized Income,1373000000.0,2517000000.0,597000000.0,1379000000.0,
Net Income From Continuing And Discontinued Operation,1373000000.0,2517000000.0,597000000.0,1379000000.0,
Total Expenses,15581000000.0,12310000000.0,11397000000.0,9756000000.0,
Diluted Average Shares,43203272.0,41817578.0,38800000.0,39800000.0,
Basic Average Shares,43203272.0,41817578.0,38800000.0,39300000.0,
Diluted EPS,31.78,60.19,15.19,34.62,
Basic EPS,31.78,60.19,15.19,34.66,
Diluted NI Availto Com Stockholders,1358000000.0,2488000000.0,589000000.0,1361000000.0,
Net Income Common Stockholders,1358000000.0,2488000000.0,589000000.0,1361000000.0,
Otherunder Preferred Stock Dividend,15000000.0,29000000.0,8000000.0,18000000.0,
Net Income,1373000000.0,2517000000.0,597000000.0,1379000000.0,
Net Income Including Noncontrolling Interests,1373000000.0,2517000000.0,597000000.0,1379000000.0,
Net Income Continuous Operations,1373000000.0,2517000000.0,597000000.0,1379000000.0,
Tax Provision,120000000.0,-363000000.0,-9000000.0,167000000.0,
Pretax Income,1493000000.0,2154000000.0,588000000.0,1546000000.0,
Other Income Expense,121000000.0,-14000000.0,-102000000.0,37000000.0,
Net Non Operating Interest Income Expense,-149000000.0,-134000000.0,-101000000.0,-70000000.0,
Interest Expense Non Operating,149000000.0,134000000.0,101000000.0,70000000.0,
Other Operating Expenses,95000000.0,73000000.0,61000000.0,68000000.0,
Selling General And Administration,,,61000000.0,68000000.0,41000000.0
General And Administrative Expense,,,61000000.0,68000000.0,41000000.0
Other Gand A,,,61000000.0,68000000.0,41000000.0
Total Revenue,17076000000.0,14464000000.0,11985000000.0,11301000000.0,
Operating Revenue,17076000000.0,14464000000.0,11985000000.0,11301000000.0,
Loss Adjustment Expense,11305000000.0,8427000000.0,8100000000.0,7391000000.0,
Net Policyholder Benefits And Claims,11305000000.0,8427000000.0,8100000000.0,7391000000.0,
Policyholder Benefits Gross,12929000000.0,9078000000.0,9088000000.0,8126000000.0,
Policyholder Benefits Ceded,1624000000.0,651000000.0,988000000.0,735000000.0,
