,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-51480000.0,-1104000.0,-3889022.91918,-22741771.0
Tax Rate For Calcs,0.165,0.138,0.149578,0.179
Normalized EBITDA,3753000000.0,3379000000.0,2948000000.0,2728373000.0
Total Unusual Items,-312000000.0,-8000000.0,-26000000.0,-127049000.0
Total Unusual Items Excluding Goodwill,-312000000.0,-8000000.0,-26000000.0,-127049000.0
Net Income From Continuing Operation Net Minority Interest,815000000.0,969000000.0,705000000.0,500191000.0
Reconciled Depreciation,2009000000.0,1845000000.0,1737000000.0,1656290000.0
Reconciled Cost Of Revenue,4467000000.0,4228000000.0,3751000000.0,3472422000.0
EBITDA,3441000000.0,3371000000.0,2922000000.0,2601324000.0
EBIT,1432000000.0,1526000000.0,1185000000.0,945034000.0
Net Interest Income,-320000000.0,-308000000.0,-320000000.0,-333438000.0
Interest Expense,457000000.0,402000000.0,356000000.0,336082000.0
Interest Income,137000000.0,94000000.0,36000000.0,2644000.0
Normalized Income,1075520000.0,975896000.0,727110977.08082,604498229.0
Net Income From Continuing And Discontinued Operation,815000000.0,969000000.0,705000000.0,500191000.0
Total Expenses,7124000000.0,6737000000.0,6037000000.0,5515451000.0
Total Operating Income As Reported,1328000000.0,1443000000.0,1200000000.0,1108162000.0
Diluted Average Shares,95827000.0,94009000.0,91828000.0,90409000.0
Basic Average Shares,95457000.0,93615000.0,91569000.0,89772000.0
Diluted EPS,8.5,10.31,7.67,5.53
Basic EPS,8.54,10.35,7.69,5.57
Diluted NI Availto Com Stockholders,815000000.0,969000000.0,705000000.0,500191000.0
Net Income Common Stockholders,815000000.0,969000000.0,705000000.0,500191000.0
Net Income,815000000.0,969000000.0,705000000.0,500191000.0
Minority Interests,1000000.0,0.0,0.0,463000.0
Net Income Including Noncontrolling Interests,814000000.0,969000000.0,705000000.0,499728000.0
Net Income Continuous Operations,814000000.0,969000000.0,705000000.0,499728000.0
Tax Provision,161000000.0,155000000.0,124000000.0,109224000.0
Pretax Income,975000000.0,1124000000.0,829000000.0,608952000.0
Other Income Expense,-329000000.0,-19000000.0,-77000000.0,-177696000.0
Other Non Operating Income Expenses,-17000000.0,-11000000.0,-51000000.0,-50647000.0
Special Income Charges,-312000000.0,-8000000.0,-26000000.0,-127049000.0
Gain On Sale Of Ppe,18000000.0,5000000.0,-4000000.0,10845000.0
Other Special Charges,16000000.0,35000.0,-327000.0,115125000.0
Impairment Of Capital Assets,233000000.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,81000000.0,13000000.0,22000000.0,22769000.0
Net Non Operating Interest Income Expense,-320000000.0,-308000000.0,-320000000.0,-333438000.0
Interest Expense Non Operating,457000000.0,402000000.0,356000000.0,336082000.0
Interest Income Non Operating,137000000.0,94000000.0,36000000.0,2644000.0
Operating Income,1624000000.0,1451000000.0,1226000000.0,1120086000.0
Operating Expense,2657000000.0,2509000000.0,2286000000.0,2043029000.0
Selling General And Administration,2657000000.0,2509000000.0,2286000000.0,2043029000.0
Selling And Marketing Expense,891000000.0,855000000.0,787000000.0,741232000.0
General And Administrative Expense,1766000000.0,1654000000.0,1499000000.0,1301797000.0
Other Gand A,1766000000.0,1654000000.0,1499000000.0,1301797000.0
Gross Profit,4281000000.0,3960000000.0,3512000000.0,3163115000.0
Cost Of Revenue,4467000000.0,4228000000.0,3751000000.0,3472422000.0
Total Revenue,8748000000.0,8188000000.0,7263000000.0,6635537000.0
Operating Revenue,8748000000.0,8188000000.0,7263000000.0,6635537000.0
