,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,34953576.0,291082400.0,-1228710384.0,-1103464089.0,
Tax Rate For Calcs,0.084,0.175,0.237,0.273,
Normalized EBITDA,2465255000.0,2391972000.0,9434711000.0,4471085000.0,
Total Unusual Items,416114000.0,1663328000.0,-5184432000.0,-4041993000.0,
Total Unusual Items Excluding Goodwill,416114000.0,1663328000.0,-5184432000.0,-4041993000.0,
Net Income From Continuing Operation Net Minority Interest,230577000.0,1735232000.0,1770965000.0,-1142747000.0,
Reconciled Depreciation,2162350000.0,1732142000.0,1665962000.0,1708877000.0,
Reconciled Cost Of Revenue,2539357000.0,1971143000.0,1964350000.0,1901981000.0,
EBITDA,2881369000.0,4055300000.0,4250279000.0,429092000.0,
EBIT,719019000.0,2323158000.0,2584317000.0,-1279785000.0,
Net Interest Income,-454825000.0,-219660000.0,-249655000.0,-289753000.0,
Interest Expense,454825000.0,219660000.0,249655000.0,289753000.0,
Normalized Income,-150583424.0,362986400.0,5726686616.0,1795781911.0,
Net Income From Continuing And Discontinued Operation,230577000.0,1735232000.0,1770965000.0,-1142747000.0,
Total Expenses,4945270000.0,4411383000.0,4383152000.0,4077497000.0,
Total Operating Income As Reported,685296000.0,2314411000.0,2717997000.0,-1360975000.0,
Diluted Average Shares,514593000.0,413224000.0,406495000.0,323196000.0,
Basic Average Shares,509597000.0,380902000.0,370048000.0,323196000.0,
Diluted EPS,0.45,4.22,4.38,-3.58,
Basic EPS,0.45,4.56,4.79,-3.58,
Diluted NI Availto Com Stockholders,230663000.0,1742783000.0,1778984000.0,-1142747000.0,
Average Dilution Earnings,86000.0,7551000.0,8019000.0,,
Net Income Common Stockholders,230577000.0,1735232000.0,1770965000.0,-1142747000.0,
Net Income,230577000.0,1735232000.0,1770965000.0,-1142747000.0,
Minority Interests,-11538000.0,688000.0,-9977000.0,-1246000.0,
Net Income Including Noncontrolling Interests,242115000.0,1734544000.0,1780942000.0,-1141501000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,242115000.0,1734544000.0,1780942000.0,-1141501000.0,
Tax Provision,22079000.0,368954000.0,553720000.0,-428037000.0,
Pretax Income,264194000.0,2103498000.0,2334662000.0,-1569538000.0,
Other Income Expense,442097000.0,1664559000.0,-5173152000.0,-4041993000.0,
Other Non Operating Income Expenses,25983000.0,1231000.0,11280000.0,,
Special Income Charges,288958000.0,-183209000.0,-536569000.0,-357897000.0,
Gain On Sale Of Ppe,764044000.0,-17445000.0,8446000.0,21124000.0,
Gain On Sale Of Business,,,0.0,0.0,187223000.0
Other Special Charges,68299000.0,80000.0,140029000.0,9756000.0,
Write Off,0.0,0.0,214195000.0,0.0,
Impairment Of Capital Assets,97368000.0,109421000.0,176606000.0,311835000.0,
Restructuring And Mergern Acquisition,309419000.0,56263000.0,14185000.0,57430000.0,
Earnings From Equity Interest,,,,,187223000.0
Gain On Sale Of Security,127156000.0,1846537000.0,-4647863000.0,-3684096000.0,
Net Non Operating Interest Income Expense,-454825000.0,-219660000.0,-249655000.0,-289753000.0,
Interest Expense Non Operating,454825000.0,219660000.0,249655000.0,289753000.0,
Operating Income,276922000.0,658599000.0,7757469000.0,2762208000.0,
Operating Expense,2405913000.0,2440240000.0,2418802000.0,2175516000.0,
Other Operating Expenses,1958796000.0,2188370000.0,2163560000.0,1979201000.0,
Selling General And Administration,336724000.0,236171000.0,252645000.0,196315000.0,
Gross Profit,2682835000.0,3098839000.0,10176271000.0,4937724000.0,
Cost Of Revenue,2539357000.0,1971143000.0,1964350000.0,1901981000.0,
Total Revenue,5222192000.0,5069982000.0,12140621000.0,6839705000.0,
Operating Revenue,5222192000.0,5069982000.0,12140621000.0,6839705000.0,
