,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-225953079.0,-439698000.0,11955600.0,-43800.0,
Tax Rate For Calcs,0.341,0.21,0.243,0.219,
Normalized EBITDA,4794158000.0,3489927000.0,4138180000.0,3489776000.0,
Total Unusual Items,-662619000.0,-2093800000.0,49200000.0,-200000.0,
Total Unusual Items Excluding Goodwill,-662619000.0,-2093800000.0,49200000.0,-200000.0,
Net Income From Continuing Operation Net Minority Interest,811653000.0,-442240000.0,1404875000.0,1220527000.0,
Reconciled Depreciation,1776367000.0,815723000.0,1643138000.0,1334973000.0,
Reconciled Cost Of Revenue,5749004000.0,7063944000.0,6879402000.0,5112029000.0,
EBITDA,4131539000.0,1396127000.0,4187380000.0,3489576000.0,
EBIT,2355172000.0,580404000.0,2544242000.0,2154603000.0,
Net Interest Income,-973136000.0,-761241000.0,-627774000.0,-556734000.0,
Interest Expense,1111336000.0,855441000.0,678274000.0,582334000.0,
Interest Income,138200000.0,94200000.0,50500000.0,25600000.0,
Normalized Income,1248318921.0,1211862000.0,1367630600.0,1220683200.0,
Net Income From Continuing And Discontinued Operation,811653000.0,-442240000.0,1404875000.0,1220527000.0,
Total Expenses,9195100000.0,9511370000.0,10091182000.0,7869764000.0,
Total Operating Income As Reported,2408709000.0,2399335000.0,2198154000.0,1993321000.0,
Diluted Average Shares,357779408.0,349840481.0,347246768.0,344631056.0,
Basic Average Shares,357482965.0,349580638.0,346783444.0,343972926.0,
Diluted EPS,2.27,-1.27,4.05,3.54,
Basic EPS,2.27,-1.27,4.05,3.55,
Diluted NI Availto Com Stockholders,811653000.0,-442240000.0,1404875000.0,1220527000.0,
Net Income Common Stockholders,811653000.0,-442240000.0,1404875000.0,1220527000.0,
Net Income,811653000.0,-442240000.0,1404875000.0,1220527000.0,
Minority Interests,-7519000.0,-7519000.0,-7519000.0,-7519000.0,
Net Income Including Noncontrolling Interests,819172000.0,-434721000.0,1412394000.0,1228046000.0,
Net Income Continuous Operations,819172000.0,-434721000.0,1412394000.0,1228046000.0,
Tax Provision,424664000.0,159684000.0,453574000.0,344223000.0,
Pretax Income,1243836000.0,-275037000.0,1865968000.0,1572269000.0,
Other Income Expense,-488719000.0,-1913100000.0,295600000.0,135700000.0,
Other Non Operating Income Expenses,122000000.0,165200000.0,223500000.0,121700000.0,
Special Income Charges,-663219000.0,-2088900000.0,47300000.0,0.0,
Gain On Sale Of Ppe,-297000000.0,0.0,0.0,100000.0,
Gain On Sale Of Business,-464019000.0,-2167000000.0,0.0,,
Other Special Charges,-97800000.0,-78100000.0,-47300000.0,-37300000.0,
Write Off,,2167000000.0,0.0,0.0,
Impairment Of Capital Assets,,,,,0.0
Earnings From Equity Interest,51900000.0,15500000.0,22900000.0,14200000.0,
Gain On Sale Of Security,600000.0,-4900000.0,1900000.0,-200000.0,
Net Non Operating Interest Income Expense,-973136000.0,-761241000.0,-627774000.0,-556734000.0,
Interest Expense Non Operating,1111336000.0,855441000.0,678274000.0,582334000.0,
Interest Income Non Operating,138200000.0,94200000.0,50500000.0,25600000.0,
Operating Income,2705709000.0,2399335000.0,2198154000.0,1993321000.0,
Operating Expense,3446096000.0,2447426000.0,3211780000.0,2757735000.0,
Other Operating Expenses,671828000.0,691344000.0,658051000.0,592775000.0,
Other Taxes,997901000.0,940359000.0,910591000.0,829987000.0,
Depreciation Amortization Depletion Income Statement,1776367000.0,815723000.0,1643138000.0,1334973000.0,
Depreciation And Amortization In Income Statement,1776367000.0,815723000.0,1643138000.0,1334973000.0,
Amortization,342864000.0,-490117000.0,448892000.0,231965000.0,
Amortization Of Intangibles Income Statement,342864000.0,-490117000.0,448892000.0,231965000.0,
Depreciation Income Statement,1433503000.0,1305840000.0,1194246000.0,1103008000.0,
Selling General And Administration,,-132900000.0,-219800000.0,-84400000.0,
General And Administrative Expense,,-132900000.0,-219800000.0,-84400000.0,
Salaries And Wages,,-132900000.0,-219800000.0,-84400000.0,
Gross Profit,6151805000.0,4846761000.0,5409934000.0,4751056000.0,
Cost Of Revenue,5749004000.0,7063944000.0,6879402000.0,5112029000.0,
Total Revenue,11900809000.0,11910705000.0,12289336000.0,9863085000.0,
Operating Revenue,11900809000.0,11910705000.0,12289336000.0,9863085000.0,
