,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.259,0.259,0.258886,0.262791,
Normalized EBITDA,1102413000.0,1007693000.0,1881709000.0,1976339000.0,
Net Income From Continuing Operation Net Minority Interest,810073000.0,752883000.0,1357399000.0,1415492000.0,
Reconciled Depreciation,61090000.0,67760000.0,57338000.0,51312000.0,
Reconciled Cost Of Revenue,9251475000.0,8054634000.0,14900154000.0,14358105000.0,
EBITDA,1102413000.0,1007693000.0,1881709000.0,1976339000.0,
EBIT,1041323000.0,939933000.0,1824371000.0,1925027000.0,
Net Interest Income,46706000.0,70451000.0,25554000.0,8396000.0,
Interest Expense,,4800000.0,23277000.0,411000.0,219000.0
Interest Income,46706000.0,70451000.0,25554000.0,8807000.0,
Normalized Income,810073000.0,752883000.0,1357399000.0,1415492000.0,
Net Income From Continuing And Discontinued Operation,810073000.0,752883000.0,1357399000.0,1415492000.0,
Total Expenses,9559192000.0,8360177000.0,15246913000.0,14614191000.0,
Rent Expense Supplemental,241013000.0,232358000.0,209532000.0,186287000.0,
Total Operating Income As Reported,1041323000.0,939933000.0,1824371000.0,1909326000.0,
Diluted Average Shares,141722000.0,150186000.0,164427000.0,171250000.0,
Basic Average Shares,140992000.0,149141000.0,163010000.0,169145000.0,
Diluted EPS,5.72,5.01,8.26,8.27,
Basic EPS,5.75,5.05,8.33,8.37,
Diluted NI Availto Com Stockholders,810073000.0,752883000.0,1357399000.0,1415492000.0,
Net Income Common Stockholders,810073000.0,752883000.0,1357399000.0,1415492000.0,
Net Income,810073000.0,752883000.0,1357399000.0,1415492000.0,
Minority Interests,-1560000.0,1104000.0,-3206000.0,-3353000.0,
Net Income Including Noncontrolling Interests,811633000.0,751779000.0,1360605000.0,1418845000.0,
Net Income Continuous Operations,811633000.0,751779000.0,1360605000.0,1418845000.0,
Tax Provision,283167000.0,263249000.0,475286000.0,505771000.0,
Pretax Income,1094800000.0,1015028000.0,1835891000.0,1924616000.0,
Other Income Expense,6771000.0,4644000.0,-14034000.0,6894000.0,
Other Non Operating Income Expenses,6771000.0,4644000.0,-14034000.0,6894000.0,
Net Non Operating Interest Income Expense,46706000.0,70451000.0,25554000.0,8396000.0,
Interest Expense Non Operating,,4800000.0,23277000.0,411000.0,219000.0
Interest Income Non Operating,46706000.0,70451000.0,25554000.0,8807000.0,
Operating Income,1041323000.0,939933000.0,1824371000.0,1909326000.0,
Operating Expense,307717000.0,305543000.0,346759000.0,256086000.0,
Other Operating Expenses,274386000.0,277630000.0,322466000.0,240060000.0,
Selling General And Administration,33331000.0,27913000.0,24293000.0,16026000.0,
Selling And Marketing Expense,33331000.0,27913000.0,24293000.0,16026000.0,
Gross Profit,1349040000.0,1245476000.0,2171130000.0,2165412000.0,
Cost Of Revenue,9251475000.0,8054634000.0,14900154000.0,14358105000.0,
Total Revenue,10600515000.0,9300110000.0,17071284000.0,16523517000.0,
Operating Revenue,10600515000.0,9300110000.0,17071284000.0,16523517000.0,
