,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-24102000.0,-154872000.0,-157108000.0,6210000.0,
Tax Rate For Calcs,0.206,0.324,0.362,0.27,
Normalized EBITDA,2743000000.0,2548000000.0,2041000000.0,1104000000.0,
Total Unusual Items,-117000000.0,-478000000.0,-434000000.0,23000000.0,
Total Unusual Items Excluding Goodwill,-117000000.0,-478000000.0,-434000000.0,23000000.0,
Net Income From Continuing Operation Net Minority Interest,1234000000.0,797000000.0,352000000.0,12000000.0,
Reconciled Depreciation,838000000.0,807000000.0,792000000.0,814000000.0,
Reconciled Cost Of Revenue,1443000000.0,1573000000.0,1657000000.0,1522000000.0,
EBITDA,2626000000.0,2070000000.0,1607000000.0,1127000000.0,
EBIT,1788000000.0,1263000000.0,815000000.0,313000000.0,
Net Interest Income,-11000000.0,-38000000.0,-217000000.0,-342000000.0,
Interest Expense,246000000.0,245000000.0,277000000.0,351000000.0,
Interest Income,235000000.0,207000000.0,60000000.0,9000000.0,
Normalized Income,1326898000.0,1120128000.0,628892000.0,-4790000.0,
Net Income From Continuing And Discontinued Operation,1234000000.0,797000000.0,352000000.0,12000000.0,
Total Expenses,12021000000.0,11305000000.0,10478000000.0,8336000000.0,
Total Operating Income As Reported,1319000000.0,1033000000.0,1085000000.0,186000000.0,
Diluted Average Shares,137919000.0,150228000.0,161751000.0,149734000.0,
Basic Average Shares,131432000.0,144967000.0,156672000.0,149734000.0,
Diluted EPS,8.95,5.31,2.17,-1.8,
Basic EPS,9.39,5.5,2.24,-1.8,
Diluted NI Availto Com Stockholders,1234000000.0,797000000.0,352000000.0,-269000000.0,
Net Income Common Stockholders,1234000000.0,797000000.0,352000000.0,-269000000.0,
Otherunder Preferred Stock Dividend,,0.0,0.0,214000000.0,0.0
Preferred Stock Dividends,,,,67000000.0,75000000.0
Net Income,1234000000.0,797000000.0,352000000.0,12000000.0,
Minority Interests,10000000.0,109000000.0,9000000.0,-3000000.0,
Net Income Including Noncontrolling Interests,1224000000.0,688000000.0,343000000.0,15000000.0,
Net Income Continuous Operations,1224000000.0,688000000.0,343000000.0,15000000.0,
Tax Provision,318000000.0,330000000.0,195000000.0,-53000000.0,
Pretax Income,1542000000.0,1018000000.0,538000000.0,-38000000.0,
Other Income Expense,-117000000.0,-478000000.0,-434000000.0,42000000.0,
Other Non Operating Income Expenses,,67000000.0,,19000000.0,-6000000.0
Special Income Charges,-340000000.0,-409000000.0,-49000000.0,100000000.0,
Gain On Sale Of Business,5000000.0,25000000.0,6000000.0,456000000.0,
Other Special Charges,118000000.0,8000000.0,-26000000.0,281000000.0,
Impairment Of Capital Assets,147000000.0,426000000.0,81000000.0,20000000.0,
Restructuring And Mergern Acquisition,80000000.0,0.0,0.0,55000000.0,
Gain On Sale Of Security,223000000.0,-69000000.0,-385000000.0,-77000000.0,
Net Non Operating Interest Income Expense,-11000000.0,-38000000.0,-217000000.0,-342000000.0,
Interest Expense Non Operating,246000000.0,245000000.0,277000000.0,351000000.0,
Interest Income Non Operating,235000000.0,207000000.0,60000000.0,9000000.0,
Operating Income,1670000000.0,1534000000.0,1189000000.0,262000000.0,
Operating Expense,10578000000.0,9732000000.0,8821000000.0,6814000000.0,
Other Taxes,-6000000.0,-67000000.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,838000000.0,807000000.0,792000000.0,814000000.0,
Depreciation And Amortization In Income Statement,838000000.0,807000000.0,792000000.0,814000000.0,
Amortization,57000000.0,59000000.0,88000000.0,99000000.0,
Amortization Of Intangibles Income Statement,57000000.0,59000000.0,88000000.0,99000000.0,
Depreciation Income Statement,781000000.0,748000000.0,704000000.0,715000000.0,
Research And Development,1314000000.0,1358000000.0,1181000000.0,1074000000.0,
Selling General And Administration,8432000000.0,7634000000.0,6848000000.0,4926000000.0,
Selling And Marketing Expense,7627000000.0,6863000000.0,6100000000.0,4221000000.0,
General And Administrative Expense,805000000.0,771000000.0,748000000.0,705000000.0,
Other Gand A,167000000.0,153000000.0,157000000.0,143000000.0,
Salaries And Wages,638000000.0,618000000.0,591000000.0,562000000.0,
Gross Profit,12248000000.0,11266000000.0,10010000000.0,7076000000.0,
Cost Of Revenue,1443000000.0,1573000000.0,1657000000.0,1522000000.0,
Total Revenue,13691000000.0,12839000000.0,11667000000.0,8598000000.0,
Operating Revenue,13691000000.0,12839000000.0,11667000000.0,8598000000.0,
