,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.206,0.315,0.224,0.208696,
Normalized EBITDA,3666000000.0,3513000000.0,3231000000.0,3540000000.0,
Net Income From Continuing Operation Net Minority Interest,1993000000.0,1572000000.0,1898000000.0,2229000000.0,
Reconciled Depreciation,580000000.0,610000000.0,633000000.0,625000000.0,
Reconciled Cost Of Revenue,11467000000.0,11630000000.0,11162000000.0,10411000000.0,
EBITDA,3666000000.0,3513000000.0,3231000000.0,3540000000.0,
EBIT,3086000000.0,2903000000.0,2598000000.0,2915000000.0,
Net Interest Income,-505000000.0,-516000000.0,-86000000.0,-6000000.0,
Interest Expense,505000000.0,542000000.0,86000000.0,40000000.0,
Interest Income,,26000000.0,,34000000.0,49000000.0
Normalized Income,1993000000.0,1572000000.0,1898000000.0,2229000000.0,
Net Income From Continuing And Discontinued Operation,1993000000.0,1568000000.0,1916000000.0,2247000000.0,
Total Expenses,17047000000.0,17117000000.0,15819000000.0,14790000000.0,
Total Operating Income As Reported,2625000000.0,2435000000.0,2522000000.0,2795000000.0,
Diluted Average Shares,459000000.0,458000000.0,454000000.0,454710004.0,
Basic Average Shares,456000000.0,455000000.0,454000000.0,454710004.0,
Diluted EPS,4.34,3.03,4.22,4.941611,
Basic EPS,4.37,3.05,4.22,4.941611,
Diluted NI Availto Com Stockholders,1993000000.0,1385000000.0,1916000000.0,2247000000.0,
Net Income Common Stockholders,1993000000.0,1385000000.0,1916000000.0,2247000000.0,
Preferred Stock Dividends,,183000000.0,,,
Net Income,1993000000.0,1568000000.0,1916000000.0,2247000000.0,
Minority Interests,-57000000.0,-46000000.0,-51000000.0,-46000000.0,
Net Income Including Noncontrolling Interests,2050000000.0,1614000000.0,1967000000.0,2293000000.0,
Net Income Discontinuous Operations,0.0,-4000000.0,18000000.0,18000000.0,
Net Income Continuous Operations,2050000000.0,1618000000.0,1949000000.0,2275000000.0,
Tax Provision,531000000.0,743000000.0,563000000.0,600000000.0,
Pretax Income,2581000000.0,2361000000.0,2512000000.0,2875000000.0,
Other Income Expense,462000000.0,442000000.0,76000000.0,86000000.0,
Other Non Operating Income Expenses,454000000.0,431000000.0,63000000.0,59000000.0,
Earnings From Equity Interest,8000000.0,11000000.0,13000000.0,27000000.0,
Net Non Operating Interest Income Expense,-505000000.0,-516000000.0,-86000000.0,-6000000.0,
Interest Expense Non Operating,505000000.0,542000000.0,86000000.0,40000000.0,
Interest Income Non Operating,,26000000.0,,34000000.0,49000000.0
Operating Income,2625000000.0,2435000000.0,2522000000.0,2795000000.0,
Operating Expense,5580000000.0,5487000000.0,4657000000.0,4379000000.0,
Research And Development,1311000000.0,1205000000.0,1026000000.0,816000000.0,
Selling General And Administration,4269000000.0,4282000000.0,3631000000.0,3563000000.0,
Gross Profit,8205000000.0,7922000000.0,7179000000.0,7174000000.0,
Cost Of Revenue,11467000000.0,11630000000.0,11162000000.0,10411000000.0,
Total Revenue,19672000000.0,19552000000.0,18341000000.0,17585000000.0,
Operating Revenue,19672000000.0,19552000000.0,18341000000.0,17585000000.0,
