,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,429392000.0,38640000.0,14490000.0,-15552000.0
Tax Rate For Calcs,0.376,0.21,0.21,0.162
Normalized EBITDA,501000000.0,748000000.0,-595000000.0,580000000.0
Total Unusual Items,1142000000.0,184000000.0,69000000.0,-96000000.0
Total Unusual Items Excluding Goodwill,1142000000.0,184000000.0,69000000.0,-96000000.0
Net Income From Continuing Operation Net Minority Interest,1552000000.0,-438000000.0,-2736000000.0,-633000000.0
Reconciled Depreciation,1172000000.0,964000000.0,1797000000.0,1176000000.0
Reconciled Cost Of Revenue,28850000000.0,28421000000.0,26196000000.0,28061000000.0
EBITDA,1643000000.0,932000000.0,-526000000.0,484000000.0
EBIT,471000000.0,-32000000.0,-2323000000.0,-692000000.0
Net Interest Income,186000000.0,-35000000.0,-109000000.0,-101000000.0
Interest Expense,,98000000.0,151000000.0,172000000.0
Interest Income,186000000.0,63000000.0,42000000.0,71000000.0
Normalized Income,839392000.0,-583360000.0,-2790510000.0,-552552000.0
Net Income From Continuing And Discontinued Operation,1552000000.0,-438000000.0,-2736000000.0,-633000000.0
Total Expenses,34464000000.0,34162000000.0,32535000000.0,33890000000.0
Total Operating Income As Reported,471000000.0,-923000000.0,-2881000000.0,-884000000.0
Diluted Average Shares,278000000.0,274085523.0,272083576.0,272083576.0
Basic Average Shares,275000000.0,274085523.0,272083576.0,272083576.0
Diluted EPS,5.58,-1.598041,-10.055734,-2.326491
Basic EPS,5.65,-1.598041,-10.055734,-2.326491
Diluted NI Availto Com Stockholders,1552000000.0,-438000000.0,-2736000000.0,-633000000.0
Net Income Common Stockholders,1552000000.0,-438000000.0,-2736000000.0,-633000000.0
Net Income,1552000000.0,-438000000.0,-2736000000.0,-633000000.0
Minority Interests,-7000000.0,36000000.0,-14000000.0,91000000.0
Net Income Including Noncontrolling Interests,1559000000.0,-474000000.0,-2722000000.0,-724000000.0
Net Income Continuous Operations,1559000000.0,-474000000.0,-2722000000.0,-724000000.0
Tax Provision,939000000.0,344000000.0,248000000.0,-140000000.0
Pretax Income,2498000000.0,-130000000.0,-2474000000.0,-864000000.0
Other Income Expense,1841000000.0,828000000.0,516000000.0,121000000.0
Other Non Operating Income Expenses,646000000.0,708000000.0,387000000.0,396000000.0
Special Income Charges,1147000000.0,209000000.0,22000000.0,-123000000.0
Gain On Sale Of Business,,,22000000.0,-123000000.0
Restructuring And Mergern Acquisition,-1147000000.0,-209000000.0,-22000000.0,123000000.0
Earnings From Equity Interest,53000000.0,-64000000.0,60000000.0,-179000000.0
Gain On Sale Of Security,-5000000.0,-25000000.0,47000000.0,27000000.0
Net Non Operating Interest Income Expense,186000000.0,-35000000.0,-109000000.0,-101000000.0
Interest Expense Non Operating,,98000000.0,151000000.0,172000000.0
Interest Income Non Operating,186000000.0,63000000.0,42000000.0,71000000.0
Operating Income,471000000.0,-923000000.0,-2881000000.0,-884000000.0
Operating Expense,5614000000.0,5741000000.0,6339000000.0,5829000000.0
Research And Development,982000000.0,896000000.0,979000000.0,1008000000.0
Selling General And Administration,4632000000.0,4845000000.0,5360000000.0,4821000000.0
Gross Profit,6085000000.0,4818000000.0,3458000000.0,4945000000.0
Cost Of Revenue,28850000000.0,28421000000.0,26196000000.0,28061000000.0
Total Revenue,34935000000.0,33239000000.0,29654000000.0,33006000000.0
Operating Revenue,34935000000.0,33239000000.0,29654000000.0,33006000000.0
