,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2780685000.0,-249704000.0,-923228070.175439,-235689000.0
Tax Rate For Calcs,0.305,0.182,0.214654,0.251
Normalized EBITDA,13551000000.0,11868000000.0,13153000000.0,12268000000.0
Total Unusual Items,-9117000000.0,-1372000000.0,-4301000000.0,-939000000.0
Total Unusual Items Excluding Goodwill,-9117000000.0,-1372000000.0,-4301000000.0,-939000000.0
Net Income From Continuing Operation Net Minority Interest,480000000.0,5665000000.0,4592000000.0,6225000000.0
Reconciled Depreciation,2767000000.0,2693000000.0,2103000000.0,2050000000.0
Reconciled Cost Of Revenue,6251000000.0,6498000000.0,5657000000.0,6601000000.0
EBITDA,4434000000.0,10496000000.0,8852000000.0,11329000000.0
EBIT,1667000000.0,7803000000.0,6749000000.0,9279000000.0
Net Interest Income,-696000000.0,-568000000.0,-829000000.0,-1001000000.0
Interest Expense,977000000.0,944000000.0,935000000.0,1001000000.0
Interest Income,281000000.0,376000000.0,106000000.0,
Normalized Income,6816315000.0,6787296000.0,7969771929.824561,6928311000.0
Net Income From Continuing And Discontinued Operation,480000000.0,5665000000.0,4592000000.0,6225000000.0
Total Expenses,18249000000.0,18306000000.0,16307000000.0,16448000000.0
Total Operating Income As Reported,1662000000.0,7605000000.0,7330000000.0,9918000000.0
Diluted Average Shares,1255000000.0,1258000000.0,1262000000.0,1262000000.0
Basic Average Shares,1247000000.0,1248000000.0,1255000000.0,1256000000.0
Diluted EPS,0.38,4.5,3.64,4.93
Basic EPS,0.38,4.54,3.66,4.96
Diluted NI Availto Com Stockholders,480000000.0,5665000000.0,4592000000.0,6225000000.0
Net Income Common Stockholders,480000000.0,5665000000.0,4592000000.0,6225000000.0
Net Income,480000000.0,5665000000.0,4592000000.0,6225000000.0
Minority Interests,0.0,52000000.0,26000000.0,24000000.0
Net Income Including Noncontrolling Interests,480000000.0,5613000000.0,4566000000.0,6201000000.0
Net Income Continuous Operations,479000000.0,5612000000.0,4566000000.0,6201000000.0
Tax Provision,211000000.0,1247000000.0,1248000000.0,2077000000.0
Pretax Income,690000000.0,6859000000.0,5814000000.0,8278000000.0
Other Income Expense,-9119000000.0,-1383000000.0,-4330000000.0,-1578000000.0
Other Non Operating Income Expenses,-2000000.0,-11000000.0,-29000000.0,-639000000.0
Special Income Charges,-8843000000.0,-1205000000.0,-3644000000.0,-939000000.0
Other Special Charges,4663000000.0,1155000000.0,944000000.0,939000000.0
Write Off,4180000000.0,50000000.0,2700000000.0,0.0
Gain On Sale Of Security,-274000000.0,-167000000.0,-657000000.0,
Net Non Operating Interest Income Expense,-696000000.0,-568000000.0,-829000000.0,-1001000000.0
Interest Expense Non Operating,977000000.0,944000000.0,935000000.0,1001000000.0
Interest Income Non Operating,281000000.0,376000000.0,106000000.0,
Operating Income,10505000000.0,8810000000.0,10974000000.0,10857000000.0
Operating Expense,11998000000.0,11808000000.0,10650000000.0,9847000000.0
Research And Development,5907000000.0,5718000000.0,4977000000.0,4601000000.0
Selling General And Administration,6091000000.0,6090000000.0,5673000000.0,5246000000.0
Gross Profit,22503000000.0,20618000000.0,21624000000.0,20704000000.0
Cost Of Revenue,6251000000.0,6498000000.0,5657000000.0,6601000000.0
Total Revenue,28754000000.0,27116000000.0,27281000000.0,27305000000.0
Operating Revenue,28754000000.0,27116000000.0,27281000000.0,27305000000.0
