,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-383476.227592,-1134715.025907,-2545977.011494,-183820.998279,
Tax Rate For Calcs,0.191738,0.189119,0.195844,0.183821,
Total Unusual Items,-2000000.0,-6000000.0,-13000000.0,-1000000.0,
Total Unusual Items Excluding Goodwill,-2000000.0,-6000000.0,-13000000.0,-1000000.0,
Net Income From Continuing Operation Net Minority Interest,3111000000.0,2504000000.0,1819000000.0,2371000000.0,
Reconciled Depreciation,356000000.0,510000000.0,625000000.0,680000000.0,
EBIT,4048000000.0,3287000000.0,2475000000.0,3139000000.0,
Net Interest Income,-199000000.0,-199000000.0,-213000000.0,-234000000.0,
Interest Expense,199000000.0,199000000.0,213000000.0,234000000.0,
Normalized Income,3112616523.772408,2508865284.974093,1829454022.988506,2371816179.001721,
Net Income From Continuing And Discontinued Operation,3111000000.0,2504000000.0,1819000000.0,2371000000.0,
Total Expenses,22535000000.0,21242000000.0,19592000000.0,18744000000.0,
Diluted Average Shares,,311500000.0,329779412.0,334925984.0,360600000.0
Basic Average Shares,,307100000.0,315111248.0,334925984.0,358300000.0
Diluted EPS,,7.97,5.44,1.47,4.76
Basic EPS,,8.09,5.693227,6.998561,4.79
Diluted NI Availto Com Stockholders,3090000000.0,2483000000.0,1798000000.0,2350000000.0,
Net Income Common Stockholders,3090000000.0,2483000000.0,1798000000.0,2350000000.0,
Preferred Stock Dividends,21000000.0,21000000.0,21000000.0,21000000.0,
Net Income,3111000000.0,2504000000.0,1819000000.0,2371000000.0,
Net Income Including Noncontrolling Interests,3111000000.0,2504000000.0,1819000000.0,2371000000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,3111000000.0,2504000000.0,1819000000.0,2371000000.0,
Tax Provision,738000000.0,584000000.0,443000000.0,534000000.0,
Pretax Income,3849000000.0,3088000000.0,2262000000.0,2905000000.0,
Other Income Expense,88000000.0,84000000.0,73000000.0,81000000.0,
Special Income Charges,-2000000.0,-6000000.0,-13000000.0,-1000000.0,
Restructuring And Mergern Acquisition,2000000.0,6000000.0,13000000.0,1000000.0,
Net Non Operating Interest Income Expense,-199000000.0,-199000000.0,-213000000.0,-234000000.0,
Interest Expense Non Operating,199000000.0,199000000.0,213000000.0,234000000.0,
Other Operating Expenses,-3000000.0,15000000.0,7000000.0,-9000000.0,
Depreciation And Amortization In Income Statement,71000000.0,71000000.0,71000000.0,71000000.0,
Amortization,71000000.0,71000000.0,71000000.0,71000000.0,
Total Revenue,26384000000.0,24330000000.0,21854000000.0,21649000000.0,
Operating Revenue,26384000000.0,24330000000.0,21854000000.0,21649000000.0,
Loss Adjustment Expense,20132000000.0,19119000000.0,17979000000.0,17511000000.0,
Net Policyholder Benefits And Claims,20132000000.0,19119000000.0,17979000000.0,17511000000.0,
