,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-10725000.0,-4300000.0,-31640000.0,-50388000.0,
Tax Rate For Calcs,0.165,0.215,0.226,0.204,
Normalized EBITDA,1907000000.0,1485000000.0,1240000000.0,1100000000.0,
Total Unusual Items,-65000000.0,-20000000.0,-140000000.0,-247000000.0,
Total Unusual Items Excluding Goodwill,-65000000.0,-20000000.0,-140000000.0,-247000000.0,
Net Income From Continuing Operation Net Minority Interest,1155000000.0,765000000.0,469000000.0,258000000.0,
Reconciled Depreciation,277000000.0,272000000.0,265000000.0,270000000.0,
Reconciled Cost Of Revenue,5119000000.0,4773000000.0,4103000000.0,3596000000.0,
EBITDA,1842000000.0,1465000000.0,1100000000.0,853000000.0,
EBIT,1565000000.0,1193000000.0,835000000.0,583000000.0,
Net Interest Income,-162000000.0,-195000000.0,-223000000.0,-257000000.0,
Interest Expense,182000000.0,218000000.0,229000000.0,259000000.0,
Interest Income,20000000.0,23000000.0,6000000.0,2000000.0,
Normalized Income,1209275000.0,780700000.0,577360000.0,454612000.0,
Net Income From Continuing And Discontinued Operation,1155000000.0,765000000.0,469000000.0,258000000.0,
Total Expenses,5791000000.0,5424000000.0,4680000000.0,4142000000.0,
Total Operating Income As Reported,1633000000.0,1203000000.0,919000000.0,748000000.0,
Diluted Average Shares,410000000.0,415956582.0,421438922.0,435471834.0,
Basic Average Shares,408000000.0,412173414.0,416043332.0,429834301.0,
Diluted EPS,2.81,1.83,1.11,0.59,
Basic EPS,2.83,1.85,1.12,0.6,
Diluted NI Availto Com Stockholders,1153000000.0,763000000.0,467000000.0,256000000.0,
Average Dilution Earnings,,,0.0,0.0,0.0
Net Income Common Stockholders,1153000000.0,763000000.0,467000000.0,256000000.0,
Preferred Stock Dividends,2000000.0,2000000.0,2000000.0,2000000.0,
Net Income,1155000000.0,765000000.0,469000000.0,258000000.0,
Net Income Including Noncontrolling Interests,1155000000.0,765000000.0,469000000.0,258000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,50000000.0
Net Income Continuous Operations,1155000000.0,765000000.0,469000000.0,258000000.0,
Tax Provision,228000000.0,210000000.0,137000000.0,66000000.0,
Pretax Income,1383000000.0,975000000.0,606000000.0,324000000.0,
Other Income Expense,-94000000.0,-46000000.0,-154000000.0,-249000000.0,
Other Non Operating Income Expenses,-29000000.0,-26000000.0,-14000000.0,-2000000.0,
Special Income Charges,-27000000.0,0.0,-123000000.0,-236000000.0,
Gain On Sale Of Ppe,-12000000.0,1000000.0,8000000.0,8000000.0,
Other Special Charges,6000000.0,-23000000.0,67000000.0,146000000.0,
Impairment Of Capital Assets,2000000.0,14000000.0,1000000.0,15000000.0,
Restructuring And Mergern Acquisition,7000000.0,10000000.0,63000000.0,83000000.0,
Gain On Sale Of Security,-38000000.0,-20000000.0,-17000000.0,-11000000.0,
Net Non Operating Interest Income Expense,-162000000.0,-195000000.0,-223000000.0,-257000000.0,
Interest Expense Non Operating,182000000.0,218000000.0,229000000.0,259000000.0,
Interest Income Non Operating,20000000.0,23000000.0,6000000.0,2000000.0,
Operating Income,1639000000.0,1216000000.0,983000000.0,830000000.0,
Operating Expense,672000000.0,651000000.0,577000000.0,546000000.0,
Depreciation Amortization Depletion Income Statement,277000000.0,272000000.0,265000000.0,270000000.0,
Depreciation And Amortization In Income Statement,277000000.0,272000000.0,265000000.0,270000000.0,
Research And Development,33000000.0,36000000.0,32000000.0,17000000.0,
Selling General And Administration,362000000.0,343000000.0,280000000.0,259000000.0,
General And Administrative Expense,362000000.0,343000000.0,280000000.0,259000000.0,
Other Gand A,347000000.0,333000000.0,288000000.0,251000000.0,
Salaries And Wages,15000000.0,10000000.0,-8000000.0,8000000.0,
Gross Profit,2311000000.0,1867000000.0,1560000000.0,1376000000.0,
Cost Of Revenue,5119000000.0,4773000000.0,4103000000.0,3596000000.0,
Total Revenue,7430000000.0,6640000000.0,5663000000.0,4972000000.0,
Operating Revenue,7430000000.0,6640000000.0,5663000000.0,4972000000.0,
